,census_tract,EDU_2019
0,101,25.7
1,102.01,22.2
2,102.02,28
3,103,41.9
4,104,80.8
5,105.01,67.5
6,105.02,71.4
7,105.03,85.3
8,106,45
9,107.01,34
10,107.02,30.1
11,201,32.5
12,202,15
13,203.01,14
14,203.02,16.1
15,204,24.7
16,205,25.2
17,206.01,18
18,206.02,20.9
19,207.01,34
20,207.02,23.4
21,208.01,35.9
22,208.02,25
23,209.01,34.4
24,209.02,36.4
25,301.01,39.6
26,301.02,85.9
27,301.03,98
28,301.04,95.7
29,302,46.5
30,303,24.8
31,304,35.8
32,305,40.1
33,306.01,45.2
34,306.03,46.4
35,306.04,66.3
36,307.01,74.6
37,307.02,49
38,307.03,69.3
39,307.06,76.2
40,308,34.1
41,309,41.7
42,310,49.4
43,311,45.5
44,312,24.3
45,313,35.5
46,314,61.8
47,315.01,39.3
48,315.02,37
49,317,59.6
50,318,38.7
51,319,44.5
52,321,67.3
53,401,36.9
54,402.01,49.4
55,402.02,23.4
56,403,43
57,404.01,48.6
58,404.02,33.2
59,406,38.2
60,407,25.5
61,408,15.4
62,409,43.9
63,501,19.4
64,502,20.3
65,503,25.7
66,505,11.3
67,506,34.3
68,507,19.5
69,508,25.3
70,509,23.5
71,510,16.1
72,511,7.2
73,512,18.3
74,513,13.8
75,514,29.6
76,601,13.2
77,602,44.5
78,603,39.6
79,604,41.6
80,605,41.8
81,608,68.3
82,609,72.2
83,610,89
84,611,53.3
85,612,40.9
86,615,61.7
87,618,78
88,619.01,60.4
89,619.02,68.7
90,620,67.1
91,621,79.1
92,622,55.4
93,623,36.3
94,624,46.9
95,625,33.2
96,626,33
97,627,37.4
98,628,44.7
99,629,50.1
100,630,56.7
101,631,62.8
102,632,63.4
103,633.01,64.1
104,633.02,84
105,633.03,71.9
106,634,62.1
107,701.01,58.1
108,701.02,60.2
109,701.03,88.3
110,702,49.2
111,703,53.6
112,704,45.3
113,705,33.7
114,706,20.1
115,707,31.3
116,710,91.2
117,711,66.2
