Inspection ID,DBA Name,AKA Name,License #,Address,Zip,Inspection Date,Latitude,Longitude,Location
2305214,WENDY'S,WENDY'S,2636249,8740 S LAFAYETTE AVE ,60620,12/12/2019,41.73488062,-87.62555194,"(-87.6255519405575, 41.734880618955415)"
2355247,SUSHI O SUSHI,SUSHI O SUSHI,1044746,346 W ARMITAGE AVE ,60614,12/12/2019,41.91844043,-87.63825829,"(-87.63825828564545, 41.91844043280386)"
2355246,MARGES STILL,MARGES STILL,1353734,1758 N SEDGWICK ST ,60614,12/12/2019,41.91468061,-87.63885012,"(-87.63885012170836, 41.91468061339467)"
2355231,BLUE FOOD CO.,BLUE FOOD CO.,2658811,3288 N ELSTON AVE ,60618,12/12/2019,41.94112044,-87.7010517,"(-87.70105170478843, 41.941120441967804)"
2355229,AU BON PAIN,AU BON PAIN,1984957,1 W RANDOLPH ST STE 1,60601,12/12/2019,41.88438065,-87.62798705,"(-87.62798704568728, 41.88438065063339)"
2355224,BLUE FOOD CO.,BLUE FOOD CO.,2658810,3288 N ELSTON AVE ,60618,12/12/2019,41.94112044,-87.7010517,"(-87.70105170478843, 41.941120441967804)"
2355219,TAI NANG,TAI NANG,2615533,937 N DAMEN AVE ,60622,12/12/2019,41.89886802,-87.67698935,"(-87.67698934844901, 41.89886801783141)"
2353206,FOUR STAR WINGS,FOUR STAR WINGS,2609644,5926 S PULASKI RD ,60629,12/12/2019,41.78518089,-87.72308692,"(-87.72308691684015, 41.78518088919182)"
2353209,THE FAREHOUSE MARKET,THE FAREHOUSE MARKET,2694073,600 W CHICAGO AVE ,60654,12/12/2019,41.89658519,-87.64299618,"(-87.64299618172501, 41.896585191199556)"
2353197,EAT ME MILK ME,EAT ME MILK ME,2641876,1111 W RANDOLPH ST ,60607,12/12/2019,41.88416574,-87.65492937,"(-87.65492937323211, 41.88416573767363)"
2353181,CHECKERS/ RALLY'S,CHECKERS,2704237,11449 S HALSTED ST ,60628,12/12/2019,41.68545881,-87.64201677,"(-87.64201677375817, 41.685458811028944)"
2353176,BIBLIOPHILE,BIBLIOPHILE,2575508,1644 E 53RD ST ,60615,12/11/2019,41.79970466,-87.58502961,"(-87.58502960921741, 41.79970465653982)"
2353136,III FORKS #425,III FORKS,2003503,180 N FIELD BLVD ,60601,12/11/2019,41.88550434,-87.61755078,"(-87.6175507807259, 41.885504343975974)"
2353120,GENE'S SNACKS & SUNDRIES,CAFE,2621857,536 S CLARK ST ,60605,12/11/2019,41.87494507,-87.6308325,"(-87.6308324955019, 41.874945069002806)"
2353122,CHECKERS/RALLY'S,CHECKERS/RALLY'S,2704236,5451 S WENTWORTH AVE ,60609,12/11/2019,41.79491574,-87.63037667,"(-87.63037666540296, 41.79491574083117)"
2353101,TOCCO RESTAURANT,TOCCO RESTAURANT,1914120,1266 N MILWAUKEE AVE ,60622,12/10/2019,41.90468983,-87.66878127,"(-87.66878127418673, 41.90468982848127)"
2353077,IRELAND'S,LOYOLA UNIVERSITY OF CHICAGO /DAMEN STUDENT CENTER,2348862,6511 N SHERIDAN RD ,60626,12/10/2019,42.00055166,-87.66056947,"(-87.66056946651258, 42.00055166015462)"
2353068,KAI ZAN,KAI ZAN,2156904,2557 W CHICAGO AVE ,60622,12/10/2019,41.89559157,-87.69163314,"(-87.69163313910478, 41.89559157280934)"
2353056,CHICAGO SMERQS,CHICAGO SMERQS,2523833,213 E 79TH ST ,60619,12/10/2019,41.75093515,-87.61917155,"(-87.61917154970587, 41.75093514744422)"
2353033,MINIGROW BY HONEYGROW,MINIGROW,2569565,28 S WABASH AVE ,60603,12/10/2019,41.8813832,-87.62633723,"(-87.62633722918358, 41.881383203572746)"
2353019,HAN 202,HAN 202 CHINESE AND SEAFOOD,1959609,605 W 31ST ST ,60616,12/10/2019,41.8379936,-87.64164283,"(-87.64164283333236, 41.837993600331586)"
2353017,HOOTS ON DIVERSEY,HOOTS ON DIVERSEY,2699262,4059 W DIVERSEY AVE ,60639,12/10/2019,41.93164684,-87.72930493,"(-87.72930493180735, 41.93164683561585)"
2353018,KIE-GOL-LANEE COMIDA TRADICIONAL OAXAQUENA,KIE-GOL-LANEE,2670189,5004 N SHERIDAN RD ,60640,12/10/2019,41.97347815,-87.65507959,"(-87.65507958945189, 41.973478149511195)"
2353002,DAMENZO'S,DAMENZO'S,2536465,901-903 W 35TH ST ,60609,12/9/2019,41.83061955,-87.64775316,"(-87.64775315527635, 41.830619546460845)"
2352977,YA KWANG,SEOUL DAN LAN II OR NOODLES SOUP,2235049,5116 N LINCOLN AVE ,60625,12/9/2019,41.97459679,-87.69235541,"(-87.69235541072091, 41.97459679112475)"
2305212,POPEYES,POPEYES,2578263,9516 S VINCENNES AVE ,60643,12/9/2019,41.72093183,-87.65094179,"(-87.65094179046467, 41.7209318257351)"
2352979,BLAZE PIZZA,BLAZE PIZZA,2446460,6550 N SHERIDAN RD ,60626,12/9/2019,42.00162445,-87.66089553,"(-87.66089553005129, 42.00162445069301)"
2352956,BEAUMONT,BEAUMONT,40491,2020 N HALSTED ST ,60614,12/9/2019,41.91883059,-87.64868109,"(-87.64868108652085, 41.91883058862089)"
2352960,AFTERNOON,AFTERNOON,2492686,2464 N CLARK ST ,60614,12/9/2019,41.92715143,-87.64157936,"(-87.64157936056027, 41.927151434559896)"
2352948,"VHC LOWER, LLC",MISS RICKY'S,2314219,203 N WABASH AVE ,60601,12/9/2019,41.88582829,-87.62613826,"(-87.62613826248786, 41.885828292802344)"
2352954,CAFE BA BA REEBA,CAFE BA BA REEBA,4378,2024-2028 N HALSTED ST ,60614,12/9/2019,41.9189432,-87.64868497,"(-87.64868497024028, 41.918943198725025)"
2352974,UPSTAIRS VIRGIN HOTELS,25TH FLOOR - LOWER LEVEL KITCHEN,2314250,203 N WABASH AVE ,60601,12/9/2019,41.88582829,-87.62613826,"(-87.62613826248786, 41.885828292802344)"
2352945,"VHC LOWER, LLC",1ST FLOOR - MISS RICKY'S,2314219,203 N WABASH AVE ,60601,12/9/2019,41.88582829,-87.62613826,"(-87.62613826248786, 41.885828292802344)"
2352934,CHICK-FIL-A STATE AND LAKE INLINE,CHICK-FIL-A STATE AND LAKE INLINE,2703897,177 N State ST ,60601,12/9/2019,41.88527796,-87.62778288,"(-87.62778287517119, 41.88527795660976)"
2352932,"CHICK-FIL-A,INC.","CHICK-FIL-A,INC.",2688841,177 N State ST ,60601,12/9/2019,41.88527796,-87.62778288,"(-87.62778287517119, 41.88527795660976)"
2353023,TORO JAPANESE RESTARANT INC,TORO SUSHI,2560884,2546 N CLARK ST ,60614,12/9/2019,41.92895659,-87.64263975,"(-87.6426397468366, 41.9289565890134)"
2352913,DUNKIN DONUTS,DUNKIN DONUTS,2548783,10351 S TORRENCE AVE ,60617,12/9/2019,41.70670703,-87.55949919,"(-87.5594991851019, 41.706707034021825)"
