,census_tract,MHI_2016
0,101,"29,861"
1,102.01,"38,861"
2,102.02,"29,432"
3,103,"37,515"
4,104,"37,228"
5,105.01,"26,750"
6,105.02,"29,870"
7,105.03,"17,569"
8,106,"43,958"
9,107.01,"57,109"
10,107.02,"36,464"
11,201,"51,458"
12,202,"74,595"
13,203.01,"53,199"
14,203.02,"68,919"
15,204,"64,073"
16,205,"39,349"
17,206.01,"40,913"
18,206.02,"45,349"
19,207.01,"77,292"
20,207.02,"51,840"
21,208.01,"53,661"
22,208.02,"48,450"
23,209.01,"40,272"
24,209.02,"36,848"
25,301.01,"48,487"
26,301.02,"43,520"
27,301.03,"39,058"
28,301.04,"39,096"
29,302,"65,298"
30,303,"35,463"
31,304,"43,681"
32,305,"72,911"
33,306.01,"39,068"
34,306.03,"29,091"
35,306.04,"27,931"
36,307.01,"34,671"
37,307.02,"56,635"
38,307.03,"41,566"
39,307.06,"35,286"
40,308,"72,232"
41,309,"82,926"
42,310,"68,886"
43,311,"58,947"
44,312,"27,018"
45,313,"36,412"
46,314,"66,753"
47,315.01,"22,647"
48,315.02,"23,700"
49,317,"42,316"
50,318,"57,898"
51,319,"61,379"
52,321,"45,591"
53,401,"71,004"
54,402.01,"62,073"
55,402.02,"38,571"
56,403,"91,667"
57,404.01,"80,840"
58,404.02,"72,218"
59,406,"77,288"
60,407,"72,763"
61,408,"76,125"
62,409,"71,125"
63,501,"82,500"
64,502,"69,623"
65,503,"81,953"
66,505,"105,234"
67,506,"96,728"
68,507,"114,833"
69,508,"105,000"
70,509,"77,500"
71,510,"103,750"
72,511,"118,750"
73,512,"110,500"
74,513,"153,631"
75,514,"95,469"
76,601,"103,750"
77,602,"66,519"
78,603,"104,718"
79,604,"120,909"
80,605,"31,696"
81,608,"83,790"
82,609,"55,568"
83,610,"105,568"
84,611,"95,476"
85,612,"101,579"
86,615,"108,239"
87,618,"59,583"
88,619.01,"60,390"
89,619.02,"59,355"
90,620,"74,615"
91,621,"77,667"
92,622,"114,607"
93,623,"135,521"
94,624,"129,479"
95,625,"107,083"
96,626,"117,137"
97,627,"113,281"
98,628,"143,424"
99,629,"119,375"
100,630,"91,327"
101,631,"91,034"
102,632,"64,275"
103,633.01,"43,895"
104,633.02,"68,686"
105,633.03,"77,552"
106,634,"88,340"
107,701.01,"70,948"
108,701.02,"61,848"
109,701.03,"51,432"
110,702,"86,000"
111,703,"105,817"
112,704,"88,047"
113,705,"128,523"
114,706,"137,283"
115,707,"112,350"
116,710,"107,716"
117,711,"104,219"
118,712,"90,982"
119,713,"103,882"
120,714,"72,520"
121,715,"86,735"
122,716,"129,821"
123,717,"146,750"
124,718,"136,813"
125,801,"105,492"
126,802.01,"73,087"
127,802.02,"81,133"
128,803,"111,019"
129,804,-
130,810,"42,077"
131,811,"58,827"
132,812.01,"86,708"
133,812.02,"100,889"
134,813,"87,258"
135,814.01,"69,722"
136,814.02,"108,030"
137,814.03,"101,142"
138,815,"97,875"
139,816,"87,306"
140,817,"92,841"
141,818,"103,194"
142,819,"135,500"
143,901,"83,906"
144,902,"88,443"
145,903,"84,000"
146,1001,"63,058"
147,1002,"68,779"
148,1003,"66,343"
149,1004,"87,206"
150,1005,"93,359"
151,1006,"67,955"
152,1007,"72,214"
153,1101,"53,141"
154,1102,"78,034"
155,1103,"72,198"
156,1104,"69,201"
157,1105.01,"77,843"
158,1105.02,"50,337"
159,1201,"122,500"
160,1202,"106,522"
161,1203,"119,868"
162,1204,"85,188"
163,1301,"31,752"
164,1302,"76,171"
165,1303,"62,634"
166,1401,"36,159"
167,1402,"42,280"
168,1403.01,"45,417"
169,1403.02,"60,994"
170,1404,"68,529"
171,1405,"56,779"
172,1406.01,"48,357"
173,1406.02,"51,250"
174,1407.01,"60,203"
175,1407.02,"52,074"
176,1408,"74,750"
177,1502,"65,139"
178,1503,"71,468"
179,1504.01,"61,224"
180,1504.02,"59,000"
181,1505.01,"64,286"
182,1505.02,"51,432"
183,1506,"56,062"
184,1507,"63,594"
