RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31
84654,1,60657,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,312893,314346,316319,320112,323988,327777,331690,336098,339936,343749,347684,352012,356186,359516,363332,366248,369207,371626,374031,376703,379700,383814,387432,389986,392185,394568,397871,399695,401298,401779,403083,404911,407109,409092,410402,412644,415519,418921,421506,423600,423584,423256,422672,423078,423825,425103,426793,428473,430285,431970,433694,436092,438611,441111,442383,444066,445365,447401,449802,452607,455468,457861,460015,461964,464542,466902,469367,471330,474473,477441,480596,483428,486566,489513,492573,494538,496188,496121,495878,494935,494266,493493,493447,493883,495286,496556,497243,496527,495229,493571,492270,491876,490865,490039,488620,486723,486195,480912,,,478569,471013,474470,469984,469865,463798,460520,453375,445921,441291,436169,436896,434380,436189,436018,438030,435144,432737,428108,428938,427929,430502,428300,431808,430657,433596,427980,425198,419067,415385,409915,405815,403455,401954,402323,401378,402450,401538,403243,401964,400809,396025,395583,391311,389504,382436,383943,384302,387103,386682,384356,384133,383109,386618,388126,389336,392864,397331,402098,406272,410583,416423,420550,424709,426837,433669,436174,441186,442203,447324,449402,449620,449999,451155,450794,448233,448338,449226,450593,451643,452754,455050,457205,460565,462551,461837,460748,459593,458488,456838,455528,457392,460649,467728,472142,474501,473646,472910,474097,474860,475555,475972,478413,479879,482481,484221,488215,489841,490169,488397,487102,486632,487520,485975,484962,485798,491123,495598,496341,495057,493976,493552,492661,491738,492142,492666,494573,495639,494132,492308,490443,490347,489356,488303,488062,487091,486296,484816,484164,483685,483831,485453,486827,487963,487055,486786,488365,490512,494717,497833,501772,504405,505534,506892,506909,508863,509396,512225,516042,520532,523117,525702,528495,530491,531877,532090,534766
84616,4,60614,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,405296,406436,408589,412349,416897,421254,425844,430719,434873,439836,445142,450865,455809,459507,464163,468420,472281,475306,477733,481105,484393,488137,491312,493921,496711,499622,503297,505212,506923,507358,509399,511808,514870,517502,519853,523093,526720,530379,532771,534893,535343,535310,534392,534402,534899,536220,537589,539333,541916,544017,546070,548710,551826,555279,557007,558755,559546,561410,564123,567530,570592,573529,576368,579789,583595,587076,590165,592997,597240,601124,605166,608667,612412,615826,619688,622465,624244,624046,624059,623420,622913,622028,622449,623538,625954,628027,629386,628647,627440,625845,624663,624014,622458,621328,619725,617575,616783,609149,,,,596094,600913,596017,596789,589404,585269,576540,566870,560724,553474,554361,551467,553540,553517,555564,551975,549563,544534,546088,543934,545812,541652,545673,543697,547537,539623,536052,527460,522900,515890,509650,505583,501906,502435,501706,504689,504191,506852,505948,505094,498648,497405,492001,490319,481561,484300,485691,490504,490314,487316,486857,485015,489272,490921,493104,498371,504483,510694,515894,522029,530512,536355,541545,543965,551779,554109,559408,560884,567928,571026,571063,571843,574414,575429,573039,573302,574554,576522,578617,580595,584422,587914,593597,597123,597208,596786,596323,596057,594950,594355,596885,601025,609533,614874,617493,615476,613960,614110,614507,614557,614940,618055,619938,623217,625672,630957,634095,635055,633323,631682,630458,631354,628519,626625,627084,633558,639669,640738,639342,637499,636675,635550,634462,635221,635936,638341,639678,636974,634877,632677,633399,631942,630115,629103,628109,627389,626334,625589,624759,624636,625075,624849,624058,622597,621418,622869,624421,629610,633480,638560,641999,642975,644585,644790,647377,647527,650071,653814,658818,661985,665873,670492,673398,675298,675062,678138
84640,9,60640,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,188795,189174,190363,192514,194902,197130,199272,202145,205342,209292,213640,217504,221012,223569,227107,230000,233123,235348,238015,240853,243784,246719,249641,251933,253943,255471,257339,258448,259533,259754,260477,261573,263987,266290,268353,270299,272585,274763,276484,277663,277996,278268,278348,279100,280042,281863,283879,285960,288102,289757,291348,293108,294600,295815,296519,297824,299563,301767,304694,307257,309496,310959,312646,314595,316804,318588,320048,321354,323348,325132,327689,330208,333037,335418,337896,339617,340913,340743,340342,339268,338813,338505,338573,338942,340319,342060,343198,343120,341994,340862,339563,338767,337156,335841,334740,333589,333252,329410,331061,326534,327216,321069,321371,317167,316182,311921,309560,304583,298516,294482,289742,289999,288127,289515,289461,290333,288629,287070,284273,284517,283836,285321,283617,286023,284910,286343,280973,278387,273640,270831,266595,262007,258665,255808,256206,255293,255612,253796,253292,251510,249097,244634,241129,237101,235027,231558,231493,231136,231659,230841,229230,228107,226700,227765,228670,230103,231942,235029,237477,239699,241370,244254,247158,250171,251753,255564,256941,259409,260173,262865,265333,266442,268188,269150,269068,267498,267580,267809,268556,269453,270721,272365,273500,275051,275905,275415,275020,274360,274127,273423,273050,274111,275815,279297,281215,282541,282548,282792,283537,284286,285097,286125,288032,289809,292501,294221,296798,297787,298289,297723,297351,297027,297758,297049,297110,297664,301377,304352,304990,303924,303336,303694,304121,303996,304613,305090,307105,308166,306535,304548,302749,303769,304011,304381,304601,304994,304976,304639,304453,304483,304706,305824,306869,307713,307190,307371,309064,311650,315722,319031,322151,323963,324790,325692,325794,327447,328649,330652,333036,335648,337714,339511,341563,343434,344707,345313,346524
84646,18,60647,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,225874,226774,228728,231296,233755,236130,239608,243964,248271,252459,257380,261638,266052,268774,272363,274597,276984,278585,280519,283641,286687,290615,293402,295229,297345,299978,304015,306268,307894,308844,310632,312596,315676,318595,321389,323768,325906,328017,329204,331191,332796,335008,336801,338945,340730,342739,345108,346993,349618,351518,354574,357463,361012,364416,367276,369987,372823,376510,380694,384245,387456,390525,394078,397190,399674,401874,404394,408198,412864,417093,421271,424897,429062,432327,435747,437825,439237,439272,439532,439716,440066,439258,438720,438805,440325,442391,444046,445475,445517,444703,443220,442577,441405,440870,439767,438559,438251,434055,435970,430820,433580,428361,430577,425347,424142,417581,413823,406413,398620,393483,389234,389684,386950,386519,384829,384626,380997,377342,372073,371135,369703,371751,369522,372063,370820,373424,368020,364885,358956,355305,350868,346603,343487,339693,339459,338641,338917,336561,337000,335125,334317,330595,329879,325053,321591,315662,316582,317140,319753,319814,317904,317677,317712,322049,323903,325485,329739,335451,340621,344088,347989,353293,359362,364586,367935,373446,376460,381549,382012,385165,386025,387024,389623,393238,395251,395006,396900,398313,399616,401150,404477,408642,411460,414571,416249,415733,415141,414251,413398,412099,411821,414543,418632,425738,430591,434391,434713,436254,437519,439918,440936,442957,446343,447492,449331,449805,452668,453188,453115,451979,451166,450129,450570,449160,448621,450092,455399,460084,460702,459240,457801,457118,456169,455845,456793,457815,459991,461954,461817,460821,458989,458799,457209,456221,455957,456139,456352,455610,456155,456369,457375,460560,463570,466833,466468,467351,470537,474796,481157,485359,489439,492539,493509,496149,497377,500869,500514,502138,504468,508590,510560,513394,517060,520083,522688,523445,526435
84620,28,60618,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,260513,261345,263561,266742,270212,273576,277835,281873,285767,290421,296870,303742,309417,313046,316504,319512,323324,326726,329756,333664,336358,339293,341120,342615,344321,346607,350338,353067,354056,354384,355210,357589,360044,363337,365134,368096,371200,375353,378205,381142,383192,385855,387178,388907,390313,392048,394845,397540,400859,403063,406101,410443,415009,419181,421959,425322,428026,431577,435090,439408,444201,449193,453607,457240,460492,463660,466379,469658,473532,477447,481873,485291,488588,490860,494070,496877,498260,498361,497505,496957,495777,494579,493734,494035,495515,498100,500019,500937,500406,500323,499833,499776,499262,499465,498968,497031,496325,490871,490655,,480874,473778,476721,472280,470584,461921,455344,446337,438199,433292,427807,427225,423447,422884,420022,418337,412622,407281,400560,398953,394996,395503,391600,395497,394388,398032,392520,390392,384567,381093,376102,370818,366844,362439,362396,361194,362160,360515,362293,360935,359986,355696,355215,351210,347999,341858,342530,344470,347970,349734,348991,349063,347834,350535,351785,353845,357228,362504,366935,372077,377836,385110,392032,397692,402412,408091,411045,415219,416505,419869,421234,421405,424395,426899,427845,426052,427200,429244,429936,431252,433011,436909,439117,441402,441681,440058,439444,438353,437423,435730,435416,438243,442467,450173,455020,458360,458638,459611,460584,462336,463880,467255,471660,473887,477121,478241,482004,481907,480001,476658,474549,474411,475680,475801,477147,479986,485960,490319,490663,488753,486155,484380,482133,480992,481094,481522,483094,484679,484125,483331,481623,481296,479146,477468,476078,475013,473788,472316,471583,471513,473211,476387,478670,479860,478459,477292,478559,481814,488645,493841,497792,499663,500557,505389,509943,516118,514573,514483,515063,519897,522362,524927,529078,533479,537657,539731,544137
84615,51,60613,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,223638,224539,226337,229063,232539,235504,238679,241785,245046,248338,251521,254689,258966,262591,266590,268700,270581,272101,274334,277364,280261,283210,286332,288940,291488,293450,296157,297503,298428,297894,298264,299476,301952,304201,305954,307392,309396,311674,313475,314891,314413,314020,313385,313814,314840,316257,318029,319572,321659,323224,324921,326497,328057,329293,330077,331270,332802,334723,337285,339506,341523,343099,344877,346901,348955,350240,351136,352417,354758,357091,359707,362108,364538,366316,368135,369042,369305,368398,367615,366615,365849,365026,364973,365325,366662,367973,368728,368632,367434,366213,364852,364423,363263,362879,362347,361665,361208,357078,359059,354510,355649,349397,350360,346189,345173,340013,337167,331649,325851,322225,318185,319043,317167,318986,319032,320110,317773,316074,313469,314019,312652,313696,311503,313947,312804,314894,310286,308501,304030,301564,296937,292778,289811,287289,287181,285532,285711,283474,283583,281976,281356,277973,276780,273809,272747,269127,269843,270271,272271,271999,270135,268677,266688,267366,267711,268350,270549,273807,277027,279966,282524,285938,288544,291514,293510,298894,301117,304638,305257,308151,309859,309761,309957,309770,309490,307884,307756,307330,307396,308065,309396,311071,312682,314792,316402,316144,316045,315606,315431,314174,313315,314104,316335,321029,323939,325372,324654,324107,324686,325450,326173,326812,328670,330666,333781,335828,338940,340262,341096,340576,340263,340228,341141,340445,340353,341196,345109,348240,348576,347090,345478,344568,343882,343143,343367,343468,345140,346122,345514,344437,343361,343864,343635,343609,343623,343528,342908,341793,340890,340336,340486,341437,342317,342663,341805,341404,342605,344644,348256,351181,353880,355483,355752,356621,356699,358323,359344,361668,364435,367550,369630,371660,373825,375276,376419,376702,378189
84627,57,60625,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,215790,216793,218273,220784,223393,225531,228180,231646,235681,239991,244704,249580,253927,256347,258926,261406,264373,267229,270336,273914,276720,278831,280889,282749,284495,286471,289145,290988,291848,292143,293646,296182,299197,302603,306049,309460,312960,315776,317715,318847,320405,322647,324276,324850,325626,327305,330242,333468,337273,340170,343042,347384,350960,354589,356899,360173,363650,367416,372230,376821,381420,385699,389456,392832,396253,399182,402397,405583,409522,412794,416510,419993,423377,426208,429190,432115,433660,433919,433804,433773,433412,432140,430799,429940,430298,431027,432229,432608,432228,430597,428375,426888,425390,425180,424688,423465,422541,417607,418092,412664,414263,408745,409753,404179,402289,394725,389651,381744,374475,369479,364378,364193,360685,360492,357825,356589,351508,346338,340204,338566,335839,337046,333368,336703,334796,338592,332972,331872,326097,323410,317637,312723,308641,305174,304315,302620,302977,301843,302557,301248,299034,294899,292412,287942,285324,281103,283250,284715,287171,286914,285361,284590,283894,285570,286623,288255,291319,295369,298661,302346,306298,310364,313859,316677,319570,323667,325378,328392,329455,332695,334703,336535,339645,341844,342887,340966,341173,341206,341967,342563,343159,344558,345878,347575,348746,347872,348355,348040,348592,348385,349161,351638,354770,359978,363333,365324,365356,365273,366005,366893,368045,369858,372789,373607,375517,375964,379404,380251,381137,380415,380366,380007,381157,382269,384445,387434,392002,395819,397053,395859,393689,391477,389643,387767,387134,386374,387481,387578,387011,386384,385560,384504,382322,381259,380624,380542,379989,379830,380114,381458,383145,386254,387495,388355,387023,386803,388866,391919,397780,402625,405984,406872,406605,409497,411953,415477,415039,416813,419625,424838,427835,430703,433808,437236,440225,441406,444035
84630,63,60629,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,134106,134275,134779,135738,136848,137976,139176,140505,141713,142892,144437,146030,147483,148470,149723,151164,152703,154146,155459,157073,158557,160205,161445,162546,163575,164658,166049,167014,168112,169006,170635,172719,175005,177093,178776,180804,182796,184836,186487,188302,189599,190978,191985,193399,194787,196566,198462,200444,202816,204760,206562,208297,210444,212802,214751,216902,218988,221509,224046,226802,229235,231575,233796,236290,239035,241568,244342,246976,250207,252799,255426,258058,260753,263293,265432,267376,268932,269886,270600,271277,271867,271978,272188,272632,274006,275184,275961,275714,275049,274567,273923,273256,271228,269626,268149,266928,265668,261186,260349,256000,255678,250238,247745,240481,235064,226749,221577,214083,208041,202824,198102,194938,190929,189129,186659,183682,177560,172378,168204,168000,166072,165188,162367,163588,163222,164576,161434,159605,157054,155319,152720,149527,147381,144836,143460,140651,139683,137361,137322,136213,135605,133308,131603,128033,126624,123903,125296,125234,125784,124297,122520,121252,120539,121356,122539,123175,124145,124587,124677,125053,125548,127634,129447,131469,132344,134500,135164,136954,137522,139931,141606,142163,142775,143789,145735,146895,148619,149472,150034,150195,150535,151067,151562,152423,153371,153986,155286,156607,157509,157700,158178,159609,160770,162981,164421,166258,167336,168922,170643,171712,172417,173039,174339,175885,177441,179290,181423,183191,184193,184266,184453,184906,186012,186673,187621,189202,191608,193164,192967,192613,193104,193916,194511,194721,195940,197174,198772,200347,200828,201743,202333,204379,205396,206196,205698,205089,204342,204180,204484,204958,205821,206257,206473,206445,206568,207220,209877,212975,217672,221079,223781,225177,225126,227184,228532,231360,231788,233630,235568,238834,241489,243911,246836,249661,252867,254779,256630
84612,70,60610,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,276303,277007,278676,281753,285842,289634,293379,297529,302319,308012,313453,318127,322002,324898,328404,330882,333255,334944,336960,340196,343675,347734,351249,354164,357260,359737,362853,364472,365459,364941,364962,365774,367544,369160,370739,372920,375296,377283,378509,379579,379373,378755,377412,376959,377129,378188,379495,381232,383764,385597,386928,387816,389513,391181,392691,394632,396292,398425,400632,403299,405975,408280,410272,412382,414742,417132,418576,420392,423836,427575,431406,434155,437138,439874,442641,444365,444976,444291,443771,442819,441688,440257,439707,439886,441229,442710,443284,442799,441819,441055,440507,440630,440696,440626,440346,438960,439308,435023,,,436411,430489,433452,430509,430406,425015,421699,414582,408215,405001,401935,403569,401692,402197,400823,401997,399283,397593,393323,394381,394296,396163,393949,395641,394154,395478,389056,385544,379969,377205,373451,370105,367864,365654,364758,363957,364756,364089,364557,363186,361877,356889,355426,351135,349481,343244,344889,345794,348875,348459,347438,347977,348348,351564,352497,353703,356424,360612,364355,369125,373850,380528,384809,389129,391335,396439,398220,402014,403080,407925,410515,411717,412951,415135,416400,416156,416656,417827,418108,418726,418917,420573,422449,425399,427138,427253,427119,426648,425514,423551,422105,422605,424523,429748,433412,435822,435122,434348,434544,435190,436184,437053,439481,440451,442478,443780,447397,448369,448137,446035,445167,444384,445218,444420,444488,445634,449169,452314,452800,451684,450084,448237,446690,444934,444643,443762,444122,443404,440743,438383,435851,435384,435066,435054,435268,433856,432770,432093,431902,431801,431296,432123,432508,432858,431826,431573,433178,434301,436331,437715,440683,443132,443920,444236,443751,444523,443887,444499,445639,447435,447854,448235,449926,451210,452469,452598,454138
84621,92,60619,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,102634,102870,103374,103938,104393,104852,105671,106965,108013,109232,110008,111036,111825,112474,113110,113585,114147,114141,114115,114361,114998,116077,116591,116712,117201,118734,120866,122277,122855,123003,123161,124279,125579,126920,127041,127636,127932,128564,128516,128748,128629,129025,129778,131100,132991,134768,136124,136363,136715,137166,138246,139297,140852,142398,143441,144899,146308,148209,149455,150740,151979,153350,154665,155856,157232,158510,160133,161594,162932,164358,165675,167557,169129,171336,172984,174385,175461,176584,177375,177804,177730,177773,178488,180062,182324,184177,185493,186392,187174,187987,188367,189232,189907,190879,190431,189479,188670,186141,186676,184272,185291,182014,182085,178536,177053,173256,171495,167739,163881,161375,159048,158898,156152,154014,150150,147253,142171,138210,135731,137224,137520,137091,135264,136083,136519,138282,136880,135973,134396,134967,135315,134784,133104,131077,129934,128289,127309,125183,125172,124280,123987,121632,119982,117088,115870,113728,113601,112412,112909,111532,110326,106725,105089,103805,104298,102594,102443,101853,102965,103670,104877,106944,107985,109203,108068,108473,106720,106792,106132,106618,107419,108363,110883,112175,113505,114152,116066,117112,117906,117830,117421,117316,117255,117535,117401,117813,117929,117532,117081,115865,115732,115841,117772,120134,123082,125611,127511,128723,130746,132621,134411,134932,136613,138179,140979,143140,145139,145405,145352,145423,146096,147590,148912,150265,149714,150479,150350,151854,151920,152614,152060,151465,151677,153258,156382,158507,159757,160592,161062,163043,163599,166021,165884,166134,164198,163407,162538,162227,161944,161533,161643,159882,158405,156350,155660,155556,156202,158191,160565,164319,167611,170733,172440,175825,178665,182699,182224,183149,184174,188598,192018,195684,199367,203349,206221,208007,208965
