zipcode,male_2019,white_2019,median_age_2019
60002,0.50,0.91,43.30
60004,0.48,0.84,43.00
60005,0.51,0.83,44.40
60007,0.48,0.83,43.80
60008,0.50,0.74,37.80
60010,0.49,0.84,47.60
60012,0.49,0.96,46.70
60013,0.51,0.94,40.50
60014,0.50,0.93,39.90
60015,0.49,0.88,43.40
60016,0.48,0.67,41.10
60018,0.50,0.80,39.00
60020,0.47,0.94,43.50
60021,0.48,0.93,40.20
60022,0.50,0.90,45.50
60025,0.49,0.82,44.60
60026,0.48,0.75,45.00
60029,0.51,0.92,41.10
60030,0.50,0.86,41.40
60031,0.49,0.73,40.20
60033,0.50,0.93,34.60
60034,0.57,0.98,36.70
60035,0.49,0.91,47.10
60040,0.52,0.73,35.30
60041,0.53,0.93,42.60
60042,0.52,0.94,43.30
60043,0.51,0.94,42.60
60044,0.45,0.85,42.00
60045,0.49,0.88,47.20
60046,0.49,0.89,40.40
60047,0.50,0.83,42.30
60048,0.49,0.88,44.60
60050,0.50,0.94,39.30
60051,0.50,0.94,42.20
60053,0.49,0.60,47.80
60056,0.49,0.77,40.40
60060,0.51,0.76,37.90
60061,0.49,0.66,39.20
60062,0.47,0.79,49.70
60064,0.51,0.33,29.90
60067,0.47,0.77,44.00
60068,0.48,0.90,44.90
60069,0.49,0.83,53.40
60070,0.53,0.66,37.90
60071,0.50,0.96,41.50
60072,0.51,0.95,46.70
60073,0.51,0.77,33.30
60074,0.52,0.61,34.70
60076,0.48,0.56,44.90
60077,0.49,0.56,42.50
60081,0.52,0.96,45.00
60083,0.48,0.74,40.60
60084,0.49,0.87,39.70
60085,0.50,0.49,30.70
60087,0.50,0.58,35.10
60088,0.74,0.68,21.20
60089,0.49,0.72,41.70
60090,0.50,0.62,37.50
60091,0.48,0.83,45.50
60093,0.48,0.92,43.70
60096,0.49,0.94,46.00
60097,0.52,0.96,41.10
60098,0.48,0.91,39.20
60099,0.48,0.58,33.50
60101,0.49,0.69,36.60
60102,0.49,0.87,41.90
60103,0.50,0.75,39.90
60104,0.46,0.13,36.70
60106,0.51,0.75,36.40
60107,0.50,0.64,38.70
60108,0.47,0.78,42.00
60109,0.44,0.98,40.70
60110,0.50,0.53,30.00
60111,0.52,1.00,67.70
60112,0.53,0.84,30.70
60113,0.52,0.74,36.80
60115,0.49,0.73,25.20
60118,0.51,0.85,45.80
60119,0.49,0.94,42.30
60120,0.50,0.57,33.40
60123,0.50,0.62,36.00
60124,0.50,0.81,42.00
60126,0.49,0.90,39.90
60129,0.59,1.00,37.70
60130,0.46,0.58,39.50
60131,0.51,0.78,39.10
60133,0.48,0.53,33.80
60134,0.49,0.94,40.70
60135,0.52,0.91,39.70
60136,0.52,0.71,31.80
60137,0.48,0.88,41.50
60139,0.50,0.54,33.60
60140,0.48,0.90,39.40
60141,0.91,0.49,70.50
60142,0.47,0.89,49.00
60143,0.48,0.87,45.90
60144,0.59,1.00,54.10
60145,0.57,0.95,31.90
60146,0.50,0.94,40.90
60148,0.49,0.77,37.70
60150,0.53,0.98,42.70
60151,0.49,0.96,44.20
60152,0.50,0.97,42.90
60153,0.49,0.18,37.90
60154,0.47,0.69,46.00
60155,0.49,0.20,41.50
60156,0.49,0.88,34.80
60157,0.53,0.93,42.40
60160,0.51,0.58,32.90
60162,0.49,0.34,37.40
60163,0.53,0.51,38.80
60164,0.51,0.72,36.70
60165,0.53,0.49,32.80
60169,0.48,0.53,36.40
60171,0.50,0.83,37.50
60172,0.49,0.82,40.60
60173,0.50,0.47,34.60
60174,0.48,0.87,43.10
60175,0.52,0.90,41.60
60176,0.51,0.79,41.00
60177,0.51,0.82,37.80
60178,0.48,0.92,37.30
60180,0.47,0.97,40.00
60181,0.49,0.79,37.40
60184,0.49,0.89,51.00
60185,0.51,0.75,35.90
60187,0.50,0.86,34.80
60188,0.49,0.68,38.70
60189,0.49,0.84,40.30
60190,0.50,0.92,48.70
60191,0.50,0.78,42.00
60192,0.50,0.60,42.60
60193,0.49,0.72,41.30
60194,0.47,0.57,40.40
60195,0.45,0.40,32.00
60201,0.47,0.69,31.90
60202,0.47,0.63,39.70
60203,0.43,0.74,42.90
60301,0.49,0.64,36.70
60302,0.47,0.68,41.40
60304,0.47,0.71,37.30
60305,0.48,0.85,41.70
60401,0.49,0.97,44.20
60402,0.51,0.53,35.30
60403,0.53,0.68,39.30
60404,0.49,0.86,42.30
60406,0.50,0.49,33.40
60407,0.54,0.98,40.90
60408,0.54,0.96,38.30
60409,0.45,0.23,37.20
60410,0.51,0.94,38.20
60411,0.47,0.29,34.00
60415,0.49,0.81,34.80
60416,0.52,0.96,36.20
60417,0.49,0.63,48.70
60419,0.44,0.05,36.30
60420,0.51,0.97,42.70
60421,0.51,0.98,41.30
60422,0.47,0.37,45.20
60423,0.49,0.89,42.60
60424,0.49,0.98,45.00
