TRACT,TRACT
17031010201,424
17031020200,237
17031020602,631
17031030706,388
17031040402,838
17031040800,857
17031051000,1333
17031063302,976
17031070400,1021
17031081100,553
17031081500,920
17031090300,380
17031100100,367
17031100500,169
17031130200,645
17031151100,728
17031160300,904
17031221200,1256
17031241200,1093
17031250700,652
17031252102,390
17031280100,1100
17031282800,1146
17031292200,924
17031320100,687
17031320400,495
17031351400,873
17031390400,297
17031390500,344
17031430200,390
17031440700,660
17031460100,707
17031530400,492
17031540102,512
17031550100,68
17031560100,1027
17031630100,1679
17031650500,1070
17031670100,330
17031691100,182
17031710400,579
17031740100,185
17031770901,1
17031800800,1
17031813701,1
17031820502,473
17031820603,1
17031821002,1
17031821402,17
17031823001,7
17031824003,1
17031824503,1
17031825803,1
17031826600,1
17031826800,1
17031829500,11
17031830700,714
17031831500,1355
17031832300,456
17031834400,295
17031836800,361
17031837400,621
17031838200,771
17031839100,884
17031842300,767
17031980000,82
17043841324,9
17075950300,1
17097861604,1
17097863201,2
17097864520,1
17097866200,1
17197880314,1
