,census_tract,EDU_2016
0,101,24
1,102.01,24.6
2,102.02,36
3,103,38.2
4,104,77.7
5,105.01,79.8
6,105.02,75.4
7,105.03,85.3
8,106,50.6
9,107.01,28.9
10,107.02,29.1
11,201,28.8
12,202,20.2
13,203.01,21.5
14,203.02,24.2
15,204,23.3
16,205,33.6
17,206.01,13.5
18,206.02,20.1
19,207.01,29.2
20,207.02,30.7
21,208.01,36.1
22,208.02,35.9
23,209.01,32.9
24,209.02,30.2
25,301.01,57.3
26,301.02,74.7
27,301.03,90.4
28,301.04,96.7
29,302,53.3
30,303,34.7
31,304,38.2
32,305,22.9
33,306.01,43.6
34,306.03,41.4
35,306.04,77.5
36,307.01,57.3
37,307.02,78.8
38,307.03,70.9
39,307.06,64.3
40,308,52.2
41,309,58.6
42,310,44.5
43,311,73.8
44,312,48.5
45,313,40.2
46,314,80.3
47,315.01,40.1
48,315.02,55.9
49,317,52.3
50,318,33.1
51,319,42.1
52,321,77.2
53,401,23.1
54,402.01,51.5
55,402.02,35.1
56,403,42.5
57,404.01,39
58,404.02,40.2
59,406,48.7
60,407,45.7
61,408,43.3
62,409,52.4
63,501,25.1
64,502,18.4
65,503,38.5
66,505,21.1
67,506,53.8
68,507,36.7
69,508,26.9
70,509,30.5
71,510,19
72,511,27.5
73,512,20
74,513,18.7
75,514,37.5
76,601,20.5
77,602,36.3
78,603,24.2
79,604,42.2
80,605,55.9
81,608,64.7
82,609,74.3
83,610,97.1
84,611,76.2
85,612,59.4
86,615,53.1
87,618,83.7
88,619.01,62.7
89,619.02,76.5
90,620,74.6
91,621,84.3
92,622,71.5
93,623,35.4
94,624,33
95,625,29.1
96,626,33.9
97,627,49.8
98,628,39.3
99,629,70
100,630,59.3
101,631,70.5
102,632,67.3
103,633.01,85.1
104,633.02,88.8
105,633.03,76.9
106,634,86
107,701.01,52.3
108,701.02,69.2
109,701.03,89.2
110,702,61.9
111,703,75.2
112,704,52
113,705,36.3
114,706,25
115,707,25.5
116,710,88.2
117,711,77.8
118,712,49.3
119,713,38.2
120,714,54.9
121,715,57.1
122,716,21.2
123,717,18.9
124,718,26.1
125,801,47.3
126,802.01,66.1
127,802.02,59.9
128,803,54.6
129,804,12.9
130,810,91.2
131,811,95.1
132,812.01,90.2
133,812.02,77.3
134,813,76.5
135,814.01,64
136,814.02,71.1
137,814.03,79
138,815,86.4
139,816,79.7
140,817,87.9
141,818,72.7
142,819,13.5
143,901,29.2
144,902,25.4
145,903,28
146,1001,29.3
147,1002,34.8
148,1003,26.8
149,1004,17.9
150,1005,27.5
151,1006,18
152,1007,25.7
153,1101,18.6
154,1102,28.9
155,1103,29.8
156,1104,40
157,1105.01,33.2
158,1105.02,31.9
159,1201,9.8
160,1202,10.8
161,1203,25.6
162,1204,31.6
163,1301,24.7
164,1302,31.4
165,1303,37.2
166,1401,26.2
167,1402,65.4
168,1403.01,22.5
169,1403.02,25.9
170,1404,32
171,1405,26.9
172,1406.01,26.8
173,1406.02,18.4
174,1407.01,33.3
175,1407.02,20.7
176,1408,30.4
177,1502,38.1
178,1503,35.6
179,1504.01,28.4
180,1504.02,35.9
181,1505.01,30.5
182,1505.02,29.5
183,1506,26.8
184,1507,27.8
185,1508,26.5
186,1510.01,23.5
187,1510.02,24
188,1511,22.3
189,1512,21.1
190,1601,31.7
191,1602,27
192,1603,55.8
193,1604,30.2
194,1605.01,20.5
195,1605.02,31.6
196,1606.01,29.7
197,1606.02,40.3
198,1607,24.1
199,1608,41.5
200,1609,35.7
201,1610,29.4
202,1611,22.9
203,1612,30.3
204,1613,34.2
205,1701,51.2
206,1702,27
207,1703,23.6
208,1704,25.1
209,1705,27.5
210,1706,31
211,1707,31.2
212,1708,37.7
213,1709,24.7
214,1710,36.6
215,1711,30.7
216,1801,30.8
217,1901,16.4
218,1902,17.5
219,1903,39
220,1904.01,23.4
221,1904.02,18.2
222,1906.01,25.9
223,1906.02,20
224,1907.01,17.8
225,1907.02,19.1
226,1908,17.2
227,1909,29.9
228,1910,27
229,1911,14.3
230,1912,12.7
231,1913.01,19.6
232,1913.02,17.9
233,2001,23.6
234,2002,29
235,2003,25.8
236,2004.01,15.8
237,2004.02,27.5
238,2101,40.3
239,2104,26.6
240,2105.01,26.2
241,2105.02,21.1
242,2106.01,36.3
243,2106.02,40.8
244,2107,31.5
245,2108,45
246,2109,25.3
247,2203,31.6
248,2204,33.7
249,2205,60.6
250,2206.01,30.8
251,2206.02,46.6
252,2207.01,25.9
253,2207.02,28.1
254,2209.01,14.1
255,2209.02,22.2
256,2210,22.7
257,2211,37.7
258,2212,35.7
259,2213,58.3
260,2214,35.2
261,2215,43
262,2216,31
263,2222,37.5
264,2225,24.4
265,2226,42.1
266,2227,16.1
267,2228,32.7
268,2229,27.3
269,2301,23.3
270,2302,21.3
271,2303,14.2
272,2304,25.5
273,2305,23.7
274,2306,19.4
275,2307,13.8
276,2308,27.7
277,2309,20.9
278,2311,18.6
279,2312,15.6
280,2315,15.9
281,2402,38.2
282,2403,43.2
283,2405,29.8
284,2406,34.6
285,2407,23.7
286,2408,29.3
287,2409,12.6
288,2410,13.3
289,2411,52.4
290,2412,31.4
291,2413,32.6
292,2414,58.4
293,2415,34.7
294,2416,80.4
295,2420,65.9
296,2421,53.9
297,2422,39.1
298,2423,69.5
299,2424,59.6
300,2425,36.6
301,2426,29.4
302,2427,19.1
303,2428,40.8
304,2429,46.1
305,2430,35
306,2431,41.3
307,2432,25.4
308,2433,46.3
309,2434,48.4
310,2435,42.6
311,2502,16.6
312,2503,27.7
313,2504,25
314,2505,23.9
315,2506,19.5
316,2507,8.7
317,2508,17.6
318,2510,18
319,2511,15.6
320,2512,23.9
321,2513,33.5
322,2514,30.7
323,2515,18.9
324,2516,21.8
325,2517,24.5
326,2518,14.7
327,2519,19.5
328,2520,24.8
329,2521.01,32.4
330,2521.02,20.1
331,2522.01,42.5
332,2522.02,22.3
333,2601,21.1
334,2602,29.9
335,2603,18.1
336,2604,11
337,2605,21.8
338,2606,9.5
339,2607,9.8
340,2608,23.5
341,2609,7
342,2610,18.3
343,2705,9.8
344,2712,16.9
345,2713,17.2
346,2714,13.3
347,2715,14
348,2718,12.5
349,2801,89.3
350,2804,14.9
351,2808,35.2
352,2809,19.7
353,2819,92.2
354,2827,45.4
355,2828,70
356,2831,61.3
357,2832,61.3
358,2838,38.3
359,2909,23.1
360,2912,20.5
361,2916,38.1
362,2922,12.4
363,2924,23.5
364,2925,27.9
365,3005,18.3
366,3006,27.2
367,3007,18.8
368,3008,13.8
369,3009,24.6
370,3011,20.4
371,3012,11.8
372,3016,17.3
373,3017.01,18.2
374,3017.02,18.9
375,3018.01,6.5
376,3018.02,19.6
377,3018.03,18.1
378,3102,40.1
379,3103,42.4
380,3104,42.8
381,3105,36.1
382,3106,49.3
383,3107,57.6
384,3108,29.7
385,3109,28.9
386,3201,85.6
387,3204,98.9
388,3206,81.5
389,3301,47.3
390,3302,25
391,3403,32.8
392,3404,53.3
393,3405,47.5
394,3406,28.4
395,3501,91.4
396,3504,16.1
397,3510,77.8
398,3511,24.2
399,3514,19.6
400,3515,74.2
401,3602,22.9
402,3801,27.6
403,3802,33.2
404,3805,19.4
405,3807,33.9
406,3812,46.8
407,3814,21.5
408,3815,19.8
409,3817,-
410,3818,32.8
411,3819,34.6
412,3901,35
413,3902,37.2
414,3903,25
415,3904,23.8
416,3905,36.4
417,3906,46.9
418,3907,79.5
419,4003,7.3
420,4004,34.1
421,4005,12.3
422,4008,16.6
423,4101,74.9
424,4102,88.5
425,4105,66.6
426,4106,77.1
427,4107,74.8
428,4108,59.9
429,4109,62.5
430,4110,83.8
431,4111,69.6
432,4112,60
433,4201,24.9
434,4202,42.2
435,4203,90.1
436,4204,73.3
437,4205,26.6
438,4206,26.9
439,4207,31.6
440,4208,25.6
441,4212,20.6
442,4301.01,23.2
443,4301.02,51.7
444,4302,17
445,4303,20.3
446,4304,22
447,4305,28.7
448,4306,28.5
449,4307,39.8
450,4308,42.1
451,4309,43.8
452,4312,21.6
453,4313.01,34.6
454,4313.02,25.9
455,4314,30.7
456,4401.01,11.8
457,4401.02,30.9
458,4402.01,26.7
459,4402.02,24.7
460,4403,44
461,4406,21.3
462,4407,20.8
463,4408,32.9
464,4409,16.8
465,4503,38.8
466,4601,22.1
467,4602,21.8
468,4603.01,19
469,4603.02,14
470,4604,11.5
471,4605,54.6
472,4606,21.8
473,4607,19.8
474,4610,27.1
475,4701,30.5
476,4801,39.2
477,4802,29.4
478,4803,39.7
479,4804,37.3
480,4805,21.7
481,4903,29
482,4904,44.3
483,4905,50.9
484,4906,34.8
485,4907,27.3
486,4908,24.3
487,4909.01,28.2
488,4909.02,20.9
489,4910,10.7
490,4911,15
491,4912,18.7
492,4913,34.2
493,4914,23.8
494,5001,28.1
495,5002,35.6
496,5003,22
497,5101,25
498,5102,30.3
499,5103,16.2
500,5201,12.2
501,5202,18.1
502,5203,16.1
503,5204,28.1
504,5205,30
505,5206,15.4
506,5301,26.3
507,5302,15.1
508,5303,24.3
509,5304,25.4
510,5305.01,14.5
511,5305.02,35.4
512,5305.03,27.4
513,5306,26.9
514,5401.01,9.8
515,5401.02,13.8
516,5501,28
517,5502,16.4
518,5601,15
519,5602,26.4
520,5603,26.4
521,5604,29.9
522,5607,17.9
523,5608,27.1
524,5609,29.8
525,5610,33.1
526,5611,25.6
527,5701,30.3
528,5702,37.5
529,5703,18.3
530,5704,32.1
531,5705,26.2
532,5801,25.2
533,5802,15.7
534,5803,25.6
535,5804,12.7
536,5805.01,21.7
537,5805.02,27.5
538,5806,15.4
539,5807,17.4
540,5808,21.8
541,5905,38.5
542,5906,23.5
543,5907,17.1
544,6004,31.1
545,6006,31.3
546,6007,46.2
547,6009,39.7
548,6103,17.3
549,6104,19.5
550,6108,19.9
551,6110,18.6
552,6111,11.5
553,6112,11
554,6113,15.4
555,6114,14.9
556,6115,16.4
557,6116,24.4
558,6117,20.1
559,6118,23.5
560,6119,9
561,6120,19.3
562,6121,43.3
563,6201,18.9
564,6202,34.9
565,6203,20.1
566,6204,22.1
567,6301,16.4
