GEOID,MHI_2018
17031010100,37985
17031010201,39549
17031010202,38370
17031010300,38866
17031010400,39152
17031010501,34455
17031010502,37500
17031010503,20357
17031010600,47549
17031010701,55529
17031010702,41161
17031020100,51346
17031020200,66831
17031020301,54496
17031020302,72572
17031020400,63977
17031020500,41432
17031020601,41308
17031020602,53234
17031020701,91477
17031020702,47063
17031020801,51467
17031020802,48067
17031020901,49901
17031020902,37405
17031030101,48927
17031030102,45086
17031030103,49103
17031030104,37586
17031030200,65810
17031030300,38427
17031030400,50781
17031030500,79414
17031030601,41675
17031030603,34415
17031030604,35096
17031030701,41042
17031030702,59414
17031030703,40195
17031030706,39308
17031030800,90288
17031030900,95958
17031031000,81291
17031031100,68304
17031031200,40380
17031031300,41445
17031031400,69590
17031031501,25257
17031031502,25317
17031031700,56175
17031031800,78558
17031031900,67760
17031032100,53013
17031040100,85368
17031040201,71322
17031040202,40011
17031040300,90250
17031040401,89063
17031040402,82798
17031040600,82383
17031040700,76915
17031040800,76809
17031040900,76964
17031050100,114012
17031050200,85671
17031050300,84844
17031050500,133845
17031050600,105513
17031050700,124500
17031050800,116000
17031050900,91719
17031051000,109130
17031051100,136131
17031051200,129167
17031051300,178750
17031051400,116364
17031060100,92593
17031060200,72679
17031060300,117415
17031060400,122708
17031060500,34130
17031060800,87723
17031060900,59942
17031061000,116389
17031061100,107500
17031061200,112292
17031061500,125000
17031061800,73523
17031061901,60909
17031061902,64508
17031062000,80595
17031062100,94500
17031062200,119392
17031062300,154000
17031062400,127059
17031062500,131818
17031062600,158125
17031062700,168352
17031062800,143667
17031062900,128750
17031063000,99213
17031063100,95365
17031063200,65426
17031063301,58371
17031063302,78720
17031063303,81705
17031063400,97305
17031070101,64968
17031070102,70057
17031070103,58914
17031070200,92441
17031070300,143221
17031070400,113409
17031070500,155729
17031070600,157125
17031070700,120192
17031071000,138934
17031071100,119432
17031071200,109191
17031071300,112788
17031071400,93529
17031071500,94598
17031071600,142583
17031071700,162054
17031071800,141806
17031080100,111372
17031080201,87221
17031080202,83806
17031080300,122479
17031080400,36927
17031081000,60566
17031081100,77267
17031081201,98186
17031081202,133079
17031081300,84223
17031081401,67313
17031081402,111970
17031081403,121318
17031081500,103664
17031081600,116897
17031081700,100708
17031081800,128243
17031081900,158375
17031090100,95990
17031090200,103733
17031090300,97102
17031100100,79665
17031100200,74201
17031100300,83197
17031100400,93778
17031100500,75759
17031100600,75601
17031100700,81458
17031110100,79122
17031110200,81731
17031110300,81014
17031110400,69736
17031110501,86512
17031110502,59875
17031120100,133622
17031120200,105833
17031120300,123818
17031120400,78750
17031130100,43438
17031130200,79167
17031130300,56882
17031140100,42868
17031140200,43125
17031140301,46534
17031140302,72713
17031140400,70682
17031140500,62264
17031140601,48077
17031140602,51982
17031140701,63571
17031140702,58824
17031140800,71366
17031150200,68157
17031150300,76545
17031150401,64225
17031150402,76017
17031150501,69320
17031150502,61967
17031150600,67500
17031150700,71190
17031150800,56917
17031151001,62734
17031151002,55125
17031151100,59917
17031151200,64875
17031160100,69844
17031160200,82765
17031160300,56790
17031160400,56029
17031160501,56190
17031160502,57400
17031160601,68902
17031160602,64917
17031160700,79671
17031160800,60409
17031160900,82872
17031161000,82740
17031161100,116563
17031161200,62250
