,GEOID,business_licenses_2016
0,17031010201,130
1,17031020200,40
2,17031020602,87
3,17031030706,74
4,17031040402,181
5,17031040800,151
6,17031051000,450
7,17031063302,176
8,17031070400,163
9,17031081100,344
10,17031081500,198
11,17031090300,129
12,17031100100,115
13,17031100500,22
14,17031130200,115
15,17031151100,104
16,17031160300,122
17,17031221200,239
18,17031241200,353
19,17031250700,102
20,17031252102,59
21,17031280100,458
22,17031282800,239
23,17031292200,336
24,17031320100,305
25,17031320400,355
26,17031351400,250
27,17031390400,66
28,17031390500,108
29,17031430200,92
30,17031440700,202
31,17031460100,227
32,17031530400,60
33,17031540102,75
34,17031550100,10
35,17031560100,147
36,17031630100,268
37,17031650500,163
38,17031670100,53
39,17031691100,70
40,17031710400,177
41,17031740100,36
42,17031820502,136
43,17031821402,7
44,17031823001,2
45,17031830700,232
46,17031831500,353
47,17031832300,164
48,17031834400,50
49,17031836800,117
50,17031837400,257
51,17031838200,332
52,17031839100,410
53,17031842300,320
54,17031980000,29
55,17043841324,2
