GEOID,YEAR,house_value
"Census Tract 101, Cook County, Illinois!!Estimate",2016,230700
"Census Tract 102.01, Cook County, Illinois!!Estimate",2016,151100
"Census Tract 102.02, Cook County, Illinois!!Estimate",2016,133300
"Census Tract 103, Cook County, Illinois!!Estimate",2016,189100
"Census Tract 104, Cook County, Illinois!!Estimate",2016,215200
"Census Tract 105.01, Cook County, Illinois!!Estimate",2016,152000
"Census Tract 105.02, Cook County, Illinois!!Estimate",2016,217400
"Census Tract 105.03, Cook County, Illinois!!Estimate",2016,406300
"Census Tract 106, Cook County, Illinois!!Estimate",2016,208200
"Census Tract 107.01, Cook County, Illinois!!Estimate",2016,196600
"Census Tract 107.02, Cook County, Illinois!!Estimate",2016,155000
"Census Tract 201, Cook County, Illinois!!Estimate",2016,133900
"Census Tract 202, Cook County, Illinois!!Estimate",2016,328500
"Census Tract 203.01, Cook County, Illinois!!Estimate",2016,176100
"Census Tract 203.02, Cook County, Illinois!!Estimate",2016,327400
"Census Tract 204, Cook County, Illinois!!Estimate",2016,241300
"Census Tract 205, Cook County, Illinois!!Estimate",2016,99900
"Census Tract 206.01, Cook County, Illinois!!Estimate",2016,321400
"Census Tract 206.02, Cook County, Illinois!!Estimate",2016,314200
"Census Tract 207.01, Cook County, Illinois!!Estimate",2016,342200
"Census Tract 207.02, Cook County, Illinois!!Estimate",2016,242000
"Census Tract 208.01, Cook County, Illinois!!Estimate",2016,322700
"Census Tract 208.02, Cook County, Illinois!!Estimate",2016,231400
"Census Tract 209.01, Cook County, Illinois!!Estimate",2016,146300
"Census Tract 209.02, Cook County, Illinois!!Estimate",2016,94000
"Census Tract 301.01, Cook County, Illinois!!Estimate",2016,206900
"Census Tract 301.02, Cook County, Illinois!!Estimate",2016,185200
"Census Tract 301.03, Cook County, Illinois!!Estimate",2016,118100
"Census Tract 301.04, Cook County, Illinois!!Estimate",2016,111500
"Census Tract 302, Cook County, Illinois!!Estimate",2016,354600
"Census Tract 303, Cook County, Illinois!!Estimate",2016,261100
"Census Tract 304, Cook County, Illinois!!Estimate",2016,319600
"Census Tract 305, Cook County, Illinois!!Estimate",2016,298300
"Census Tract 306.01, Cook County, Illinois!!Estimate",2016,168600
"Census Tract 306.03, Cook County, Illinois!!Estimate",2016,240300
"Census Tract 306.04, Cook County, Illinois!!Estimate",2016,172000
"Census Tract 307.01, Cook County, Illinois!!Estimate",2016,157100
"Census Tract 307.02, Cook County, Illinois!!Estimate",2016,182200
"Census Tract 307.03, Cook County, Illinois!!Estimate",2016,268000
"Census Tract 307.06, Cook County, Illinois!!Estimate",2016,168700
