GEOID,median_gross_rent_2018
17031010100,874
17031010201,1023
17031010202,973
17031010300,976
17031010400,1010
17031010501,965
17031010502,991
17031010503,690
17031010600,993
17031010701,1038
17031010702,1029
17031020100,1063
17031020200,997
17031020301,867
17031020302,1206
17031020400,1161
17031020500,1038
17031020601,1134
17031020602,1144
17031020701,1367
17031020702,1070
17031020801,1142
17031020802,1112
17031020901,1202
17031020902,979
17031030101,976
17031030102,1005
17031030103,1019
17031030104,1009
17031030200,1161
17031030300,980
17031030400,909
17031030500,1363
17031030601,944
17031030603,848
17031030604,1029
17031030701,871
17031030702,1286
17031030703,879
17031030706,1005
17031030800,1388
17031030900,1320
17031031000,1241
17031031100,1228
17031031200,782
17031031300,956
17031031400,1191
17031031501,631
17031031502,786
17031031700,944
17031031800,1123
17031031900,1161
17031032100,1124
17031040100,1226
17031040201,1321
17031040202,1146
17031040300,1347
17031040401,1389
17031040402,1235
17031040600,1369
17031040700,1349
17031040800,1396
17031040900,1138
17031050100,1568
17031050200,1281
17031050300,1375
17031050500,1705
17031050600,1730
17031050700,1801
17031050800,1525
17031050900,1626
17031051000,1715
17031051100,1427
17031051200,1686
17031051300,1960
17031051400,1686
17031060100,1461
17031060200,1238
17031060300,1474
17031060400,1451
17031060500,429
17031060800,1625
17031060900,1274
17031061000,1940
17031061100,1807
17031061200,1781
17031061500,1773
17031061800,1365
17031061901,1329
17031061902,1336
17031062000,1394
17031062100,1630
17031062200,1659
17031062300,1923
17031062400,1846
17031062500,1983
17031062600,1584
17031062700,1786
17031062800,2018
17031062900,1550
17031063000,1327
17031063100,1430
17031063200,1374
17031063301,1236
17031063302,1438
17031063303,2553
17031063400,1453
17031070101,1368
17031070102,1332
17031070103,1366
17031070200,1509
17031070300,1858
17031070400,1209
17031070500,1780
17031070600,1863
17031070700,1659
17031071000,2055
17031071100,1789
17031071200,1628
17031071300,1497
17031071400,1550
17031071500,1670
17031071600,1582
17031071700,2086
17031071800,1753
17031080100,1737
17031080201,1582
17031080202,1409
17031080300,2042
17031080400,590
17031081000,1210
17031081100,1699
17031081201,1823
17031081202,1587
17031081300,1563
17031081401,1871
17031081402,2201
17031081403,2133
17031081500,2046
17031081600,2174
17031081700,2028
17031081800,2344
17031081900,668
17031090100,931
17031090200,1292
17031090300,1257
17031100100,1239
17031100200,1082
17031100300,1348
17031100400,1650
17031100500,1039
17031100600,1106
17031100700,1445
17031110100,1071
17031110200,1071
17031110300,992
17031110400,1209
17031110501,1127
17031110502,1174
17031120100,1806
17031120200,2031
17031120300,1184
17031120400,1289
17031130100,392
17031130200,960
17031130300,1186
17031140100,1148
17031140200,1041
17031140301,1096
17031140302,1039
17031140400,902
17031140500,1092
17031140601,992
17031140602,1062
17031140701,1171
17031140702,990
17031140800,1118
17031150200,955
17031150300,1002
17031150401,1070
17031150402,1095
17031150501,1103
17031150502,1115
17031150600,1047
17031150700,1202
17031150800,1044
17031151001,1021
17031151002,1048
17031151100,1038
17031151200,948
17031160100,1150
17031160200,961
17031160300,959
17031160400,1062
17031160501,1119
17031160502,1118
17031160601,1211
17031160602,1028
17031160700,1266
17031160800,1123
17031160900,1099
17031161000,1183
17031161100,1354
17031161200,1080
17031161300,966
17031170100,1435
17031170200,1112
17031170300,1009
17031170400,1145
17031170500,1148
17031170600,1098
17031170700,1083
17031170800,1085
17031170900,1000
17031171000,1036
17031171100,1068
17031180100,898
17031190100,902
17031190200,1085
17031190300,855
17031190401,1167
17031190402,1076
17031190601,1164
17031190602,1009
17031190701,987
17031190702,1008
17031190800,1057
17031190900,943
17031191000,972
17031191100,938
17031191200,987
17031191301,991
17031191302,1030
17031200100,980
17031200200,1039
17031200300,988
17031200401,972
17031200402,901
17031210100,1193
17031210400,1062
17031210501,1042
17031210502,1084
17031210601,1130
17031210602,1137
17031210700,1186
17031210800,1095
17031210900,1214
17031220300,1340
17031220400,1632
17031220500,1602
17031220601,1396
17031220602,1099
17031220701,1136
17031220702,1091
17031220901,986
17031220902,1114
17031221000,1182
17031221100,1152
17031221200,1403
17031221300,1131
17031221400,1459
17031221500,1104
17031221600,1714
17031222200,1956
17031222500,1225
17031222600,1243
17031222700,1177
17031222800,986
17031222900,1166
17031230100,1064
17031230200,1099
17031230300,923
17031230400,1106
17031230500,837
17031230600,982
17031230700,1063
17031230800,944
17031230900,1094
17031231100,840
17031231200,986
17031231500,945
17031240200,1508
17031240300,1750
17031240500,2124
17031240600,1582
17031240700,1150
17031240800,1019
17031240900,1076
17031241000,1198
17031241100,1380
17031241200,1585
17031241300,2124
17031241400,2003
17031241500,1704
17031241600,1617
17031242000,1216
17031242100,1726
17031242200,1660
17031242300,1523
17031242400,1475
17031242500,1281
17031242600,1126
17031242700,1044
17031242800,1500
17031242900,1361
17031243000,1333
17031243100,1398
17031243200,1554
17031243300,1438
17031243400,1252
17031243500,1978
17031250200,1030
17031250300,997
17031250400,1092
17031250500,864
17031250600,1014
17031250700,970
17031250800,933
17031251000,943
17031251100,879
17031251200,1141
17031251300,1042
17031251400,824
17031251500,976
17031251600,1096
17031251700,1131
17031251800,938
17031251900,863
17031252000,845
17031252101,758
17031252102,1012
17031252201,987
17031252202,905
17031260100,542
17031260200,1116
17031260300,881
17031260400,888
17031260500,1221
17031260600,1067
17031260700,1068
17031260800,1026
17031260900,829
17031261000,999
17031270500,860
17031271200,1046
17031271300,768
17031271400,1039
17031271500,1076
17031271800,547
17031280100,2212
17031280400,1177
17031280800,460
17031280900,505
17031281900,1812
17031282700,1484
17031282800,1481
17031283100,1488
17031283200,1408
17031283800,1340
17031290900,848
17031291200,1031
17031291600,944
17031292200,1052
17031292400,1066
17031292500,992
17031300500,839
17031300600,871
17031300700,841
17031300800,806
17031300900,763
17031301100,712
17031301200,811
17031301600,799
17031301701,777
17031301702,802
17031301801,892
17031301802,766
17031301803,829
17031310200,1364
17031310300,1083
17031310400,946
17031310500,941
17031310600,771
17031310700,864
17031310800,883
17031310900,976
17031320100,2300
17031320400,2314
17031320600,1905
17031330100,1821
17031330200,722
17031340300,641
17031340400,899
17031340500,763
17031340600,289
17031350100,1144
17031350400,280
17031351000,1145
17031351100,357
17031351400,346
17031351500,888
17031360200,898
17031380100,453
17031380200,694
17031380500,900
17031380700,891
17031381200,829
17031381400,1005
17031381500,847
17031381700,-
17031381800,1076
17031381900,819
17031390100,1078
17031390200,1134
17031390300,743
17031390400,803
17031390500,1154
17031390600,978
17031390700,1404
17031400300,1125
17031400400,1037
17031400500,916
17031400800,913
17031410100,1202
17031410200,1072
17031410500,1272
17031410600,1343
17031410700,1154
17031410800,1022
17031410900,1141
17031411000,1154
17031411100,1360
17031411200,1310
17031420100,787
17031420200,976
17031420300,949
17031420400,771
17031420500,939
17031420600,894
17031420700,1037
17031420800,1157
17031421200,483
17031430101,940
17031430102,741
17031430200,849
17031430300,975
17031430400,946
17031430500,875
17031430600,748
17031430700,915
17031430800,1173
17031430900,894
17031431200,1216
17031431301,840
17031431302,914
17031431400,857
17031440101,827
17031440102,861
17031440201,868
17031440202,792
17031440300,982
17031440600,1618
17031440700,897
17031440800,877
17031440900,897
17031450300,975
17031460100,1056
17031460200,761
17031460301,1015
17031460302,850
17031460400,993
17031460500,854
17031460600,880
17031460700,689
17031461000,338
17031470100,672
17031480100,991
17031480200,1041
17031480300,981
17031480400,1000
17031480500,943
17031490300,1121
17031490400,1076
17031490500,1095
17031490600,1551
17031490700,1068
17031490800,926
17031490901,894
17031490902,880
17031491000,1047
17031491100,1193
17031491200,1097
17031491300,1084
17031491400,952
17031500100,911
17031500200,913
17031500300,867
17031510100,746
17031510200,1198
17031510300,1134
17031520100,796
17031520200,746
17031520300,864
17031520400,914
17031520500,799
17031520600,1047
17031530100,709
17031530200,986
17031530300,982
17031530400,1322
17031530501,794
17031530502,1350
17031530503,1301
17031530600,899
17031540101,365
17031540102,452
17031550100,827
17031550200,1076
17031560100,829
17031560200,984
17031560300,1377
17031560400,1175
17031560700,1015
17031560800,1123
17031560900,1495
17031561000,905
17031561100,750
17031570100,872
17031570200,675
17031570300,970
17031570400,855
17031570500,966
17031580100,993
17031580200,921
17031580300,838
17031580400,852
17031580501,835
17031580502,814
17031580600,755
17031580700,844
17031580800,869
17031590500,938
17031590600,925
17031590700,907
17031600400,933
17031600600,865
17031600700,1023
17031600900,998
17031610300,711
17031610400,762
17031610800,962
17031611000,828
17031611100,738
17031611200,740
17031611300,749
17031611400,729
17031611500,774
17031611600,684
17031611700,850
17031611800,888
17031611900,774
17031612000,910
17031612100,866
17031620100,1052
17031620200,989
17031620300,1137
17031620400,1070
17031630100,678
17031630200,791
17031630300,911
17031630400,841
17031630500,905
17031630800,787
17031630900,908
17031640100,986
17031640300,1024
17031640400,913
17031640500,954
17031640600,898
17031640700,1284
17031640800,931
17031650100,883
17031650200,965
17031650301,1044
17031650302,1045
17031650400,1109
17031650500,981
17031660301,756
17031660302,896
17031660400,754
17031660500,803
17031660600,845
17031660700,922
17031660800,871
17031660900,993
17031661000,1006
17031661100,1104
17031670100,752
17031670200,907
17031670300,785
17031670400,934
17031670500,873
17031670600,785
17031670700,989
17031670800,792
17031670900,987
17031671100,996
17031671200,1011
17031671300,690
17031671400,1185
17031671500,864
17031671600,794
17031671800,1125
17031671900,1099
17031672000,1131
17031680500,888
17031680600,840
17031680900,646
17031681000,797
17031681100,987
17031681200,874
17031681300,837
17031681400,946
17031690300,708
17031690400,866
17031690500,865
17031690900,894
17031691000,902
17031691100,953
17031691200,918
17031691300,889
17031691400,1055
17031691500,842
17031700100,1016
17031700200,1124
17031700301,1185
17031700302,1140
17031700401,1360
17031700402,1510
17031700501,1135
17031700502,-
17031710100,731
17031710200,893
17031710300,1011
17031710400,975
17031710500,902
17031710600,870
17031710700,679
17031710800,876
17031710900,760
17031711000,845
17031711100,747
17031711200,864
17031711300,1079
17031711400,890
17031711500,1425
17031720100,-
17031720200,848
17031720300,-
17031720400,1183
17031720500,1141
17031720600,1254
17031720700,891
17031730100,1020
17031730201,810
17031730202,1233
17031730300,970
17031730400,1243
17031730500,984
17031730600,782
17031730700,1136
17031740100,1208
17031740200,1205
17031740300,1187
17031740400,1109
17031750100,768
17031750200,987
17031750300,1074
17031750400,865
17031750500,1164
17031750600,1290
17031760801,1171
17031760802,1056
17031760803,1060
17031770201,1157
17031770202,1849
17031770300,1295
17031770400,1051
17031770500,1003
17031770601,776
17031770602,973
17031770700,957
17031770800,1151
17031770901,985
17031770902,979
17031800100,"3,500+"
17031800200,1225
17031800300,1534
17031800400,2528
17031800500,2083
17031800600,"3,500+"
17031800700,1750
17031800800,1714
17031800900,2581
17031801000,1849
17031801100,2282
17031801200,1750
17031801300,1000
17031801400,2648
17031801500,2031
17031801601,1722
17031801603,1236
17031801605,2706
17031801606,2144
17031801607,1399
17031801608,2142
17031801701,-
17031801702,1869
17031801800,1288
17031801901,1760
17031801902,1695
17031802002,1476
17031802003,1225
17031802004,1083
17031802100,618
17031802200,1718
17031802300,1922
17031802402,981
17031802403,1400
17031802404,1264
17031802503,1395
17031802504,1543
17031802505,1040
17031802506,1156
17031802605,1526
17031802607,1903
17031802608,1064
17031802609,1147
17031802610,1479
17031802701,1038
17031802702,547
17031802801,1107
17031802802,1603
17031802900,1936
17031803005,984
17031803007,1456
17031803008,1166
17031803010,1306
17031803012,1313
17031803013,1302
17031803014,1261
17031803015,1048
17031803016,1612
17031803017,1347
17031803100,2145
17031803200,1101
17031803300,1401
17031803400,1203
17031803500,2124
17031803603,1465
17031803604,1249
17031803605,1092
17031803606,1073
17031803607,1550
17031803608,1263
17031803610,1246
17031803611,1070
17031803612,1135
17031803701,1216
17031803702,1633
17031803800,1282
17031803901,1240
17031803902,1871
17031804000,1292
17031804102,1371
17031804104,1989
17031804105,-
17031804106,1701
17031804108,1387
17031804109,960
17031804201,1293
17031804202,1553
17031804305,1437
17031804306,1677
17031804308,1726
17031804309,1607
17031804310,1843
17031804311,2524
17031804403,1200
17031804404,1739
17031804405,983
17031804406,1269
17031804505,1326
17031804506,2071
17031804507,1845
17031804508,1294
17031804509,1244
17031804510,997
17031804511,1046
17031804603,1331
17031804606,1511
17031804607,1463
17031804608,1615
17031804609,1572
17031804610,1417
17031804611,1330
17031804701,1317
17031804705,1279
17031804706,2114
17031804709,1163
17031804710,1343
17031804711,1367
17031804712,1691
17031804713,1381
17031804714,1753
17031804715,1059
17031804716,1397
17031804803,1292
17031804804,1431
17031804805,1668
17031804806,1665
17031804807,1320
17031804808,1813
17031804809,1716
17031804810,1095
17031804901,1118
17031804902,1580
17031805001,-
17031805002,1039
17031805105,1285
17031805106,1276
17031805107,1141
17031805108,1167
17031805109,-
17031805110,1777
17031805111,1095
17031805112,1004
17031805201,1288
17031805202,1324
17031805301,910
17031805302,1774
17031805401,1186
17031805402,1375
17031805501,1700
17031805502,1631
17031805600,1171
17031805701,1372
17031805702,2047
17031805801,1810
17031805802,1383
17031805901,1663
17031805902,1141
17031806001,1032
17031806002,1243
17031806003,1329
17031806004,970
17031806102,883
17031806103,1239
17031806104,970
17031806201,1105
17031806202,1018
17031806300,981
17031806400,1375
17031806501,1127
17031806502,1213
17031806600,992
17031806700,-
17031806801,1317
17031806802,1226
17031806900,1726
17031807000,1170
17031807100,1939
17031807200,1240
17031807300,1316
17031807400,1181
17031807500,-
17031807600,1728
17031807700,1061
17031807800,2714
17031807900,-
17031808001,1641
17031808002,1828
17031808100,1156
17031808200,1496
17031808301,1802
17031808302,1102
17031808400,1417
17031808500,-
17031808600,1946
17031808702,-
17031808800,1310
17031808900,1469
17031809000,2098
17031809100,1490
17031809200,1101
17031809300,1354
17031809400,1724
17031809500,1619
17031809600,1585
17031809700,1338
17031809800,1179
17031809900,1604
17031810000,1451
17031810100,1259
17031810200,1203
17031810301,1085
17031810302,1284
17031810400,1280
17031810501,1125
17031810502,898
17031810600,1011
17031810701,1130
17031810702,871
17031810800,1156
17031810900,1072
17031811000,1185
17031811100,923
17031811200,1151
17031811301,899
17031811302,951
17031811401,650
17031811402,1032
17031811500,1213
17031811600,934
17031811701,775
17031811702,905
17031811800,1774
17031811900,1152
17031812000,1194
17031812100,1112
17031812200,973
17031812301,1806
17031812302,1234
17031812400,1412
17031812500,892
17031812600,1025
17031812700,1229
17031812801,988
17031812802,983
17031812900,1225
17031813000,1234
17031813100,1126
17031813200,1161
17031813301,858
17031813302,893
17031813400,1029
17031813500,967
17031813600,912
17031813701,963
17031813702,957
17031813801,881
17031813802,822
17031813900,883
17031814000,820
17031814100,863
17031814200,905
17031814300,923
17031814400,916
17031814500,972
17031814600,1004
17031814700,982
17031814800,924
17031814900,902
17031815000,1095
17031815100,934
17031815200,919
17031815300,844
17031815400,914
17031815500,1075
17031815600,916
17031815701,1375
17031815702,1094
17031815800,990
17031815900,985
17031816000,1183
17031816100,1061
17031816200,931
17031816300,1258
17031816401,1051
17031816402,1042
17031816500,818
17031816600,1079
17031816700,838
17031816800,948
17031816900,1292
17031817000,1059
17031817101,1019
17031817102,1105
17031817200,1076
17031817300,1085
17031817400,983
17031817500,758
17031817600,949
17031817700,1522
17031817900,971
17031818000,1040
17031818100,1466
17031818200,1170
17031818300,1082
17031818401,1219
17031818402,1187
17031818500,2179
17031818600,990
17031818700,1240
17031818800,1124
17031818900,1176
17031819000,2417
17031819100,961
17031819200,1085
17031819300,872
17031819400,1039
17031819500,1195
17031819600,-
17031819700,-
17031819801,1806
17031819802,868
17031819900,2068
17031820000,2558
17031820101,948
17031820103,1131
17031820104,1112
17031820201,1098
17031820202,943
17031820300,884
17031820400,879
17031820501,896
17031820502,990
17031820603,1241
17031820604,935
17031820605,1025
17031820606,1148
17031820700,1033
17031820800,732
17031820901,950
17031820902,1366
17031821001,1242
17031821002,1120
17031821101,1064
17031821102,1110
17031821200,761
17031821300,825
17031821401,880
17031821402,895
17031821500,946
17031821600,1035
17031821700,987
17031821800,1009
17031821900,1655
17031822000,-
17031822101,944
17031822102,876
17031822200,1590
17031822301,1325
17031822302,1105
17031822400,1147
17031822500,1083
17031822601,1082
17031822602,1130
17031822701,960
17031822702,890
17031822801,972
17031822802,1152
17031822900,1069
17031823001,981
17031823002,979
17031823101,1048
17031823102,881
17031823200,983
17031823302,958
17031823303,981
17031823304,927
17031823400,964
17031823500,965
17031823602,864
17031823603,933
17031823604,1307
17031823605,822
17031823702,1051
17031823703,994
17031823704,2069
17031823705,924
17031823801,1722
17031823803,1046
17031823805,1181
17031823806,878
17031823901,1750
17031823903,2211
17031823904,1031
17031824003,1348
17031824004,807
17031824005,853
17031824006,1325
17031824105,1639
17031824106,1178
17031824107,1321
17031824108,1045
17031824113,-
17031824114,2361
17031824115,1151
17031824116,1220
17031824117,1150
17031824119,1156
17031824120,1659
17031824121,1737
17031824122,1684
17031824123,1222
17031824300,763
17031824400,835
17031824503,978
17031824505,1100
17031824506,1176
17031824507,1167
17031824601,1145
17031824602,1075
17031824701,1006
17031824702,1054
17031824800,1007
17031824900,1275
17031825000,873
17031825200,1602
17031825302,1090
17031825303,1222
17031825304,1107
17031825400,1076
17031825501,1123
17031825503,1748
17031825504,1329
17031825505,1377
17031825600,1308
17031825700,980
17031825801,977
17031825802,1193
17031825803,910
17031825900,859
17031826000,874
17031826100,1326
17031826201,856
17031826202,922
17031826301,1046
17031826303,1444
17031826304,1008
17031826401,1236
17031826402,1419
17031826500,1201
17031826600,994
17031826700,866
17031826800,956
17031826901,952
17031826902,920
17031827000,966
17031827100,806
17031827200,951
17031827300,756
17031827400,903
17031827500,1030
17031827600,1199
17031827700,1396
17031827801,1486
17031827802,1367
17031827804,2098
17031827805,1733
17031827901,2263
17031827902,1175
17031828000,990
17031828100,993
17031828201,1007
17031828202,924
17031828300,893
17031828401,1185
17031828402,967
17031828503,1058
17031828504,1208
17031828505,995
17031828506,833
17031828601,1039
17031828602,1712
17031828701,860
17031828702,1232
17031828801,1672
17031828802,1525
17031828900,974
17031829000,830
17031829100,877
17031829200,1013
17031829301,1276
17031829302,906
17031829401,1294
17031829402,848
17031829500,923
17031829600,856
17031829700,842
17031829800,1512
17031829901,1347
17031829902,1696
17031830001,830
17031830003,1533
17031830004,1259
17031830005,1770
17031830006,783
17031830007,988
17031830008,1921
17031830100,1753
17031830201,975
17031830202,1515
17031830300,1017
17031830400,1295
17031830500,956
17031830600,971
17031830700,771
17031830800,1176
17031830900,1379
17031831000,1997
17031831100,1080
17031831200,862
17031831300,1006
17031831400,1048
17031831500,1060
17031831600,1004
17031831700,1092
17031831800,1089
17031831900,1703
17031832000,1820
17031832100,1309
17031832200,1402
17031832300,1716
17031832400,1722
17031832500,1747
17031832600,2097
