GEOID,median_monthly_housing_costs_2017
17031010100,944
17031010201,1039
17031010202,962
17031010300,973
17031010400,980
17031010501,977
17031010502,968
17031010503,772
17031010600,1041
17031010701,1068
17031010702,1007
17031020100,1064
17031020200,1392
17031020301,1067
17031020302,1200
17031020400,1151
17031020500,999
17031020601,1202
17031020602,1173
17031020701,1495
17031020702,1190
17031020801,1100
17031020802,1148
17031020901,1165
17031020902,875
17031030101,1006
17031030102,1077
17031030103,987
17031030104,994
17031030200,1285
17031030300,975
17031030400,1070
17031030500,1594
17031030601,1028
17031030603,799
17031030604,1034
17031030701,889
17031030702,1232
17031030703,943
17031030706,1086
17031030800,1522
17031030900,1450
17031031000,1404
17031031100,1179
17031031200,786
17031031300,980
17031031400,1240
17031031501,901
17031031502,831
17031031700,1101
17031031800,1259
17031031900,1251
17031032100,1198
17031040100,1324
17031040201,1300
17031040202,1102
17031040300,1545
17031040401,1535
17031040402,1348
17031040600,1434
17031040700,1562
17031040800,1439
17031040900,1194
17031050100,1642
17031050200,1677
17031050300,1483
17031050500,1919
17031050600,1862
17031050700,2307
17031050800,1951
17031050900,1569
17031051000,1816
17031051100,2304
17031051200,1872
17031051300,2402
17031051400,1923
17031060100,1720
17031060200,1265
17031060300,1927
17031060400,1920
17031060500,1000
17031060800,1484
17031060900,1369
17031061000,2025
17031061100,2134
17031061200,1840
17031061500,1774
17031061800,1326
17031061901,1478
17031061902,1455
17031062000,1474
17031062100,1681
17031062200,2008
17031062300,2250
17031062400,2364
17031062500,2160
17031062600,2533
17031062700,1889
17031062800,2198
17031062900,1871
17031063000,1559
17031063100,1632
17031063200,1407
17031063301,1188
17031063302,1476
17031063303,1904
17031063400,1717
17031070101,1481
17031070102,1343
17031070103,1336
17031070200,1582
17031070300,1929
17031070400,1633
17031070500,2125
17031070600,2588
17031070700,2117
17031071000,2194
17031071100,2270
17031071200,1852
17031071300,1953
17031071400,1577
17031071500,1649
17031071600,2124
17031071700,2297
17031071800,2464
17031080100,1835
17031080201,1599
17031080202,1481
17031080300,1999
17031080400,873
17031081000,1239
17031081100,1582
17031081201,1921
17031081202,2124
17031081300,1771
17031081401,1874
17031081402,2171
17031081403,1921
17031081500,2156
17031081600,2124
17031081700,1961
17031081800,2192
17031081900,2288
17031090100,1331
17031090200,1432
17031090300,1597
17031100100,1247
17031100200,1051
17031100300,1509
17031100400,1546
17031100500,1488
17031100600,1255
17031100700,1451
17031110100,1074
17031110200,1263
17031110300,1175
17031110400,1210
17031110501,1370
17031110502,1168
17031120100,1957
17031120200,1994
17031120300,1620
17031120400,1458
17031130100,812
17031130200,1167
17031130300,1228
17031140100,1130
17031140200,1040
17031140301,1086
17031140302,1152
17031140400,1102
17031140500,1169
17031140601,1036
17031140602,1140
17031140701,1275
17031140702,1053
17031140800,1207
17031150200,1154
17031150300,1214
17031150401,998
17031150402,1292
17031150501,1208
17031150502,1233
17031150600,1136
17031150700,1306
17031150800,1099
17031151001,1076
17031151002,1058
17031151100,1095
17031151200,1400
17031160100,1330
17031160200,1278
17031160300,976
17031160400,1076
17031160501,1217
17031160502,1235
17031160601,1334
17031160602,1076
17031160700,1376
17031160800,1204
17031160900,1193
17031161000,1423
17031161100,1522
17031161200,1429
17031161300,1085
17031170100,862
17031170200,1530
17031170300,1109
17031170400,1310
17031170500,1291
17031170600,1151
17031170700,1132
17031170800,981
17031170900,984
17031171000,1044
17031171100,1254
17031180100,1177
17031190100,957
17031190200,1343
17031190300,917
17031190401,1253
17031190402,1137
17031190601,1219
17031190602,1259
17031190701,1080
17031190702,1082
17031190800,1078
17031190900,1008
17031191000,1162
17031191100,1056
17031191200,1066
17031191301,1079
17031191302,1230
17031200100,1012
17031200200,1114
17031200300,975
17031200401,989
17031200402,1093
17031210100,1363
17031210400,1057
17031210501,989
17031210502,1089
17031210601,1177
17031210602,1076
17031210700,1176
17031210800,1159
17031210900,1297
17031220300,1453
17031220400,1636
17031220500,1670
17031220601,1403
17031220602,1145
17031220701,1194
17031220702,1185
17031220901,1006
17031220902,1134
17031221000,1243
17031221100,1231
17031221200,1491
17031221300,1224
17031221400,1507
17031221500,1176
17031221600,1792
17031222200,2063
17031222500,1292
17031222600,1441
17031222700,1297
17031222800,982
17031222900,1191
17031230100,1055
17031230200,1096
17031230300,970
17031230400,1177
17031230500,911
17031230600,998
17031230700,1116
17031230800,1218
17031230900,1089
17031231100,910
17031231200,936
17031231500,1084
17031240200,2073
17031240300,2081
17031240500,2309
17031240600,1725
17031240700,1315
17031240800,1136
17031240900,1110
17031241000,1190
17031241100,1438
17031241200,1829
17031241300,2206
17031241400,2075
17031241500,1877
17031241600,1686
17031242000,1309
17031242100,2044
17031242200,1810
17031242300,1525
17031242400,1450
17031242500,1333
17031242600,1205
17031242700,1082
17031242800,1504
17031242900,1439
17031243000,1464
17031243100,1741
17031243200,1715
17031243300,1477
17031243400,1784
17031243500,2019
17031250200,1193
17031250300,1063
17031250400,1114
17031250500,1362
17031250600,1273
17031250700,1047
17031250800,1050
17031251000,895
17031251100,848
17031251200,1116
17031251300,1079
17031251400,886
17031251500,947
17031251600,922
17031251700,1027
17031251800,966
17031251900,913
17031252000,873
17031252101,704
17031252102,1028
17031252201,910
17031252202,864
17031260100,564
17031260200,1083
17031260300,835
17031260400,850
17031260500,1099
17031260600,1051
17031260700,938
17031260800,981
17031260900,804
17031261000,1017
17031270500,908
17031271200,988
17031271300,834
17031271400,925
17031271500,1160
17031271800,542
17031280100,2225
17031280400,1171
17031280800,586
17031280900,603
17031281900,1745
17031282700,1410
17031282800,1327
17031283100,1431
17031283200,1840
17031283800,1627
17031290900,838
17031291200,1032
17031291600,982
17031292200,1073
17031292400,1002
17031292500,983
17031300500,835
17031300600,883
17031300700,839
17031300800,815
17031300900,758
17031301100,725
17031301200,766
17031301600,803
17031301701,785
17031301702,867
17031301801,889
17031301802,803
17031301803,845
17031310200,1156
17031310300,1002
17031310400,936
17031310500,895
17031310600,786
17031310700,842
17031310800,851
17031310900,943
17031320100,2247
17031320400,2689
17031320600,1987
17031330100,1957
17031330200,1627
17031340300,762
17031340400,905
17031340500,858
17031340600,288
17031350100,1112
17031350400,282
17031351000,1139
17031351100,417
17031351400,433
17031351500,1029
17031360200,795
17031380100,690
17031380200,755
17031380500,875
17031380700,904
17031381200,877
17031381400,1087
17031381500,887
17031381700,-
