GEOID,new_housing_2017
17031010100,3.9
17031010201,1.3
17031010202,9.3
17031010300,3.7
17031010400,0.6
17031010501,2.8
17031010502,1.1
17031010503,13.1
17031010600,4.1
17031010701,0
17031010702,3.8
17031020100,4.7
17031020200,0.5
17031020301,2.9
17031020302,1.2
17031020400,6
17031020500,3.6
17031020601,2.7
17031020602,0
17031020701,6
17031020702,4.5
17031020801,1.5
17031020802,1.6
17031020901,0.5
17031020902,10.6
17031030101,0
17031030102,2.1
17031030103,12.1
17031030104,2.2
17031030200,1.5
17031030300,4.8
17031030400,4.2
17031030500,7.6
17031030601,0.8
17031030603,1.6
17031030604,1.6
17031030701,9.8
17031030702,1.1
17031030703,4.3
17031030706,1.9
17031030800,0
17031030900,3.9
17031031000,11.6
17031031100,4.2
17031031200,8.2
17031031300,6
17031031400,1.8
17031031501,5.5
17031031502,1.9
17031031700,7.2
17031031800,9.4
17031031900,3.4
17031032100,7.4
17031040100,12.2
17031040201,9.9
17031040202,14.4
17031040300,5.5
17031040401,1.7
17031040402,14.1
17031040600,8.9
17031040700,4.8
17031040800,2.6
17031040900,5.4
17031050100,15.4
17031050200,15.7
17031050300,16.6
17031050500,17.3
17031050600,15.4
17031050700,9.9
17031050800,13.1
17031050900,9.5
17031051000,28.9
17031051100,28.5
17031051200,18.1
17031051300,23.3
17031051400,22.8
17031060100,9
17031060200,5.9
17031060300,16.6
17031060400,21.3
17031060500,6.1
17031060800,0.2
17031060900,0
17031061000,35.4
17031061100,26.9
17031061200,7.9
17031061500,4.7
17031061800,1.1
17031061901,1.1
17031061902,2.8
17031062000,5
17031062100,16.9
17031062200,23.6
17031062300,22.2
17031062400,25.4
17031062500,14.4
17031062600,37.4
17031062700,18.7
17031062800,15.2
17031062900,26.6
17031063000,14
17031063100,16.3
17031063200,1.4
17031063301,5.1
17031063302,0.9
17031063303,0.5
17031063400,10.1
17031070101,1.1
17031070102,7.7
17031070103,0.7
17031070200,10.2
17031070300,26.5
17031070400,15
17031070500,17.7
17031070600,22.4
17031070700,25.9
17031071000,3
17031071100,8.6
17031071200,4.7
17031071300,5.9
17031071400,0.8
17031071500,1.3
17031071600,11.1
17031071700,2.1
17031071800,9.6
17031080100,0
17031080201,0.7
17031080202,0
17031080300,36.1
17031080400,28.7
17031081000,9.6
17031081100,7.9
17031081201,23.5
17031081202,1
17031081300,7.6
17031081401,0.5
17031081402,34.6
17031081403,43.9
17031081500,35.9
17031081600,39.3
17031081700,47.9
17031081800,59.3
17031081900,22.2
17031090100,0.7
17031090200,3.8
17031090300,1.1
17031100100,0.7
17031100200,0.8
17031100300,2.3
17031100400,1.1
17031100500,2.8
17031100600,0.4
17031100700,0.7
17031110100,3.4
17031110200,5.4
17031110300,1.5
17031110400,2
17031110501,0.8
17031110502,13.6
17031120100,3.1
17031120200,5.5
17031120300,3
17031120400,2
17031130100,3.6
17031130200,9
17031130300,1
17031140100,7.5
17031140200,1.2
17031140301,3.5
17031140302,2.6
17031140400,0
17031140500,3.1
17031140601,3.7
17031140602,5
17031140701,13.2
17031140702,4.2
17031140800,6.3
17031150200,5.2
17031150300,2.3
17031150401,1.4
17031150402,3
17031150501,1.1
17031150502,4.1
17031150600,0.9
17031150700,0.5
17031150800,0
17031151001,0
17031151002,1.7
17031151100,1.6
17031151200,2.9
17031160100,10.3
17031160200,8
17031160300,1.1
17031160400,6.6
17031160501,2.6
17031160502,4.6
17031160601,8.9
17031160602,9.7
17031160700,8
17031160800,3.9
17031160900,1
17031161000,3
17031161100,17.6
17031161200,11.9
17031161300,2.6
17031170100,22.7
17031170200,0.9
17031170300,0
17031170400,13.3
17031170500,1
17031170600,2.2
17031170700,3.7
17031170800,4.6
17031170900,3.7
17031171000,3.8
17031171100,0
17031180100,14.2
17031190100,21.8
17031190200,1.8
17031190300,1.3
17031190401,11.3
17031190402,0.8
17031190601,4.5
17031190602,1
17031190701,2.3
17031190702,1.8
17031190800,1.6
17031190900,22.6
17031191000,0
17031191100,0
17031191200,0.5
17031191301,2.7
17031191302,1.1
17031200100,2.2
17031200200,2.4
17031200300,3.7
17031200401,0.6
17031200402,1.4
17031210100,24.8
17031210400,3.8
17031210501,0.5
17031210502,2.1
17031210601,2.8
17031210602,8.2
17031210700,0.8
17031210800,7.7
17031210900,26.3
17031220300,11.4
17031220400,3.9
17031220500,11.1
17031220601,1.4
17031220602,0.6
17031220701,0
17031220702,2.7
17031220901,0
17031220902,0
17031221000,0.6
17031221100,4
17031221200,11.8
17031221300,6.2
17031221400,18.9
17031221500,4.8
17031221600,15
17031222200,22.2
17031222500,3.5
17031222600,10.3
17031222700,15.6
17031222800,14.1
17031222900,7.1
17031230100,3.3
17031230200,18.3
17031230300,3.3
17031230400,1.6
17031230500,2.5
17031230600,1.6
17031230700,3.7
17031230800,2.3
17031230900,3.1
17031231100,0
17031231200,3.4
17031231500,2.6
17031240200,14.7
17031240300,9.1
17031240500,28.6
17031240600,32.7
17031240700,24.6
17031240800,12
17031240900,17.4
17031241000,11.5
17031241100,20
17031241200,5.1
17031241300,21.2
17031241400,19.8
17031241500,21.1
17031241600,24.5
17031242000,19.1
17031242100,39.1
17031242200,26.4
17031242300,12.7
17031242400,0
17031242500,17.8
17031242600,12.2
17031242700,8.5
17031242800,13.1
17031242900,10.6
17031243000,18.9
17031243100,14.4
17031243200,15
17031243300,24.8
17031243400,28.2
17031243500,45.6
17031250200,1.5
17031250300,20.8
17031250400,0
17031250500,2.5
17031250600,0
17031250700,1.4
17031250800,0
17031251000,0
17031251100,1.5
17031251200,7.3
17031251300,3.2
17031251400,0
17031251500,0.5
17031251600,2.9
17031251700,1.3
17031251800,2.1
17031251900,3.8
17031252000,9.6
17031252101,0
17031252102,4.1
17031252201,0
17031252202,11.6
17031260100,8.5
17031260200,1
17031260300,5.9
17031260400,2.9
17031260500,9.1
17031260600,3.3
17031260700,3.5
17031260800,0
17031260900,5.1
17031261000,2
17031270500,9.5
17031271200,6.3
17031271300,3.9
17031271400,0
17031271500,0
17031271800,1.3
17031280100,74.1
17031280400,60.5
17031280800,50.3
17031280900,30.2
17031281900,25.1
17031282700,41.2
17031282800,14.9
17031283100,5
17031283200,48.6
17031283800,35.5
17031290900,30.2
17031291200,17
17031291600,6.8
17031292200,7.1
17031292400,0
17031292500,0
17031300500,2.1
17031300600,0
17031300700,0
17031300800,1.8
17031300900,1.6
17031301100,1.3
17031301200,0.7
17031301600,0.4
17031301701,0
17031301702,0
17031301801,0
17031301802,1.7
17031301803,0
17031310200,17.1
17031310300,31.9
17031310400,16.7
17031310500,0
17031310600,7.4
17031310700,5.3
17031310800,4
17031310900,3.8
17031320100,39.3
17031320400,46
17031320600,49.3
17031330100,67.7
17031330200,24.2
17031340300,5.4
17031340400,21.5
17031340500,9.8
17031340600,0
17031350100,2.3
17031350400,3.5
17031351000,3.9
17031351100,8.2
17031351400,16.5
17031351500,83.5
17031360200,50.4
17031380100,45.3
17031380200,11
17031380500,94.4
17031380700,43.4
17031381200,7.4
17031381400,19.6
17031381500,12.1
17031381700,0
17031381800,19.8
17031381900,14
17031390100,27.6
17031390200,37.6
17031390300,2.8
17031390400,17.6
17031390500,0.7
17031390600,0
17031390700,1.3
17031400300,7
17031400400,20.3
17031400500,2.9
17031400800,6.2
17031410100,3.2
17031410200,2.8
17031410500,3.2
17031410600,4.9
17031410700,0
17031410800,3.8
17031410900,0
17031411000,1.8
17031411100,0.3
17031411200,0.6
17031420100,6.2
17031420200,10
17031420300,8.4
17031420400,3.9
17031420500,4.9
17031420600,4.3
17031420700,0
17031420800,22.7
17031421200,0
17031430101,4.1
17031430102,4.9
17031430200,0
17031430300,4.5
17031430400,8.4
17031430500,2.3
17031430600,9.3
17031430700,0
17031430800,0.4
17031430900,0
17031431200,0.4
17031431301,1
17031431302,8.1
17031431400,2
17031440101,2.6
17031440102,3.2
17031440201,1.6
17031440202,6.6
17031440300,0.5
17031440600,2.8
17031440700,2
17031440800,4.5
17031440900,4.5
17031450300,0
17031460100,0
17031460200,0
17031460301,2.7
17031460302,0.9
17031460400,2.6
17031460500,3.5
17031460600,0.4
17031460700,0
17031461000,12.5
17031470100,15.4
17031480100,0
17031480200,2.2
17031480300,6.7
17031480400,2.3
17031480500,0
17031490300,0
17031490400,0
17031490500,0.6
17031490600,2.6
17031490700,1
17031490800,1.5
17031490901,4.2
17031490902,14.7
17031491000,14.2
17031491100,1.1
17031491200,1.8
17031491300,0
17031491400,5.6
17031500100,0
17031500200,0
17031500300,0
17031510100,0
17031510200,1.4
17031510300,0.6
17031520100,0
17031520200,1.3
17031520300,1.9
17031520400,0
17031520500,2.1
17031520600,1.7
17031530100,5.5
17031530200,1.8
17031530300,0.6
17031530400,7.6
17031530501,5.2
17031530502,0
17031530503,2.8
17031530600,0.8
17031540101,2.4
17031540102,3.1
17031550100,7.6
17031550200,6.5
17031560100,4.5
17031560200,3.8
17031560300,0
17031560400,3.5
17031560700,3.9
17031560800,2
17031560900,1.9
17031561000,5.2
17031561100,3.2
17031570100,0
17031570200,0
17031570300,0
17031570400,0
17031570500,1.8
17031580100,20.4
17031580200,3.1
17031580300,6.5
17031580400,0.7
17031580501,2
17031580502,2.1
17031580600,1
17031580700,5.2
17031580800,1.2
17031590500,17.3
17031590600,0
17031590700,6.4
17031600400,12
17031600600,8.8
17031600700,20
17031600900,5.2
17031610300,5.2
17031610400,2.5
17031610800,9
17031611000,1.6
17031611100,1.5
17031611200,1
17031611300,0.9
17031611400,3.2
17031611500,20.4
17031611600,1.4
17031611700,0
17031611800,0
17031611900,4.9
17031612000,1.4
17031612100,17.5
17031620100,3
17031620200,3.1
17031620300,0.3
17031620400,2.9
17031630100,1.1
17031630200,5.8
17031630300,0.5
17031630400,0.3
17031630500,0
17031630800,0
17031630900,2.1
17031640100,1.4
17031640300,3.8
17031640400,1.9
17031640500,9.5
17031640600,5.4
17031640700,0
17031640800,0
17031650100,0
17031650200,0
17031650301,1.6
17031650302,0
17031650400,0
17031650500,12.9
17031660301,0
17031660302,0.5
17031660400,0
17031660500,4.7
17031660600,0.3
17031660700,0
17031660800,0
17031660900,0.5
17031661000,2.3
17031661100,0.4
17031670100,3.1
17031670200,0
17031670300,1
17031670400,0
17031670500,1.3
17031670600,2.9
17031670700,3.6
