GEOID,perc_below_poverty_2017
17031010100,36.8
17031010201,33.2
17031010202,17.5
17031010300,18.6
17031010400,18.8
17031010501,21
17031010502,28.4
17031010503,47.9
17031010600,24.4
17031010701,18.4
17031010702,33.4
17031020100,18.9
17031020200,11.3
17031020301,10.9
17031020302,14.7
17031020400,18.2
17031020500,28.1
17031020601,27.2
17031020602,23.1
17031020701,7.2
17031020702,22.3
17031020801,14.3
17031020802,24.8
17031020901,29.9
17031020902,26.2
17031030101,14
17031030102,13.5
17031030103,17.1
17031030104,27.8
17031030200,11.4
17031030300,22.6
17031030400,21.8
17031030500,9.4
17031030601,17.7
17031030603,28.8
17031030604,24
17031030701,26.2
17031030702,5.9
17031030703,22.2
17031030706,19.8
17031030800,7.6
17031030900,8.3
17031031000,7.1
17031031100,10.9
17031031200,32.5
17031031300,22.5
17031031400,9.5
17031031501,44.2
17031031502,25.7
17031031700,33.3
17031031800,8.8
17031031900,16.2
17031032100,22.4
17031040100,10
17031040201,11.9
17031040202,24.6
17031040300,2.9
17031040401,3
17031040402,6.9
17031040600,6.8
17031040700,11.8
17031040800,5.6
17031040900,7.8
17031050100,4.9
17031050200,2.4
17031050300,11.4
17031050500,4.1
17031050600,7
17031050700,3
17031050800,3.9
17031050900,5.1
17031051000,5.8
17031051100,4
17031051200,5.8
17031051300,2.6
17031051400,8.2
17031060100,5.3
17031060200,16.6
17031060300,1.1
17031060400,10.7
17031060500,19.4
17031060800,6.2
17031060900,8.4
17031061000,9.2
17031061100,8.1
17031061200,8.8
17031061500,5.2
17031061800,10.4
17031061901,10
17031061902,12.8
17031062000,8
17031062100,15.3
17031062200,9.8
17031062300,3.4
17031062400,4.5
17031062500,8.7
17031062600,1.1
17031062700,8.6
17031062800,4.3
17031062900,9.2
17031063000,7.8
17031063100,8.7
17031063200,11.3
17031063301,20.5
17031063302,11.4
17031063303,5.6
17031063400,8.9
17031070101,15
17031070102,6.9
17031070103,15.6
17031070200,13.2
17031070300,12.8
17031070400,12.5
17031070500,6.2
17031070600,2.9
17031070700,15.1
17031071000,9.1
17031071100,12.4
17031071200,9.9
17031071300,10.1
17031071400,18.6
17031071500,3.9
17031071600,10.9
17031071700,2.9
17031071800,4.7
17031080100,7.1
17031080201,1.7
17031080202,8.1
17031080300,6.2
17031080400,25.1
17031081000,21.3
17031081100,16.1
17031081201,6.1
17031081202,3.4
17031081300,11.8
17031081401,14.2
17031081402,6.7
17031081403,9.7
17031081500,10.6
17031081600,11.9
17031081700,5.9
17031081800,2.6
17031081900,24.3
17031090100,3
17031090200,2.1
17031090300,4.9
17031100100,8.2
17031100200,6.4
17031100300,5.6
17031100400,7.1
17031100500,5
17031100600,5.8
17031100700,4.2
17031110100,9.2
17031110200,8.6
17031110300,6.6
17031110400,9
17031110501,4.6
17031110502,10.4
17031120100,2.7
17031120200,4.1
17031120300,3.9
17031120400,7.5
17031130100,13.8
17031130200,6.4
17031130300,17.9
17031140100,35
17031140200,21.9
17031140301,27.1
17031140302,14.7
17031140400,9.3
17031140500,13.8
17031140601,11.7
17031140602,24.7
17031140701,14.8
17031140702,23.2
17031140800,13.4
17031150200,14.3
17031150300,13.2
17031150401,9.6
17031150402,6.1
17031150501,6.5
17031150502,17
17031150600,8.1
17031150700,13.7
17031150800,6.2
17031151001,19.8
17031151002,12.6
17031151100,18.4
17031151200,10.3
17031160100,7.9
17031160200,6.9
17031160300,13.2
17031160400,14.3
17031160501,12.9
17031160502,10.6
17031160601,11.8
17031160602,9.1
17031160700,16.4
17031160800,7
17031160900,10.6
17031161000,7.4
17031161100,1.8
17031161200,13.2
17031161300,9.3
17031170100,16
17031170200,10.7
17031170300,11.9
17031170400,10.8
17031170500,6
17031170600,6.7
17031170700,8.3
17031170800,6.5
17031170900,10.7
17031171000,8.5
17031171100,10.3
17031180100,14.4
17031190100,25.2
17031190200,16.1
17031190300,18.2
17031190401,17.7
17031190402,12.2
17031190601,19.5
17031190602,14.6
17031190701,20
17031190702,32.5
17031190800,21.4
17031190900,19.4
17031191000,28.7
17031191100,22.2
17031191200,30.2
17031191301,20.6
17031191302,16.2
17031200100,7.3
17031200200,19.7
17031200300,30.2
17031200401,23.8
17031200402,27.9
17031210100,18.4
17031210400,22.9
17031210501,22.2
17031210502,28.9
17031210601,12.9
17031210602,20.3
17031210700,23.8
17031210800,4.3
17031210900,16.5
17031220300,10.2
17031220400,4
17031220500,7.2
17031220601,25.5
17031220602,20.6
17031220701,13.2
17031220702,10.5
17031220901,34.6
17031220902,17.2
17031221000,27.6
17031221100,25.8
17031221200,14.2
17031221300,18.1
17031221400,10.3
17031221500,12.4
17031221600,6.6
17031222200,5
17031222500,24.4
17031222600,10.7
17031222700,24.6
17031222800,17.6
17031222900,18.4
17031230100,29.9
17031230200,22.5
17031230300,20.2
17031230400,17.1
17031230500,38.2
17031230600,34
17031230700,18.8
17031230800,13.8
17031230900,38.2
17031231100,25.3
17031231200,32
17031231500,33.4
17031240200,7.2
17031240300,3.6
17031240500,2.9
17031240600,9.9
17031240700,23.2
17031240800,24.6
17031240900,28.5
17031241000,31.1
17031241100,23.7
17031241200,7.8
17031241300,18.8
17031241400,10.2
17031241500,13.4
17031241600,12
17031242000,18.8
17031242100,6.1
17031242200,9
17031242300,7.2
17031242400,10.9
17031242500,17.8
17031242600,14.4
17031242700,29.8
17031242800,9.2
17031242900,8.3
17031243000,5.9
17031243100,5.2
17031243200,10.8
17031243300,11.5
17031243400,16.8
17031243500,6.7
17031250200,20.9
17031250300,34.4
17031250400,26.7
17031250500,11.8
17031250600,10
17031250700,26
17031250800,36.5
17031251000,15.5
17031251100,39.6
17031251200,26.5
17031251300,25
17031251400,28.2
17031251500,42.1
17031251600,33.5
17031251700,34.9
17031251800,34.1
17031251900,47.7
17031252000,32.8
17031252101,33.7
17031252102,28
17031252201,31.7
17031252202,34.5
