GEOID,perc_college_grad_2017
17031010100,20.1
17031010201,20.9
17031010202,20.2
17031010300,17.7
17031010400,35.6
17031010501,31.8
17031010502,31.8
17031010503,19.9
17031010600,25.9
17031010701,23.4
17031010702,26.5
17031020100,22.6
17031020200,25.5
17031020301,35.6
17031020302,33.7
17031020400,26.4
17031020500,22.1
17031020601,25.8
17031020602,28
17031020701,24.4
17031020702,22.4
17031020801,18
17031020802,21.4
17031020901,24.6
17031020902,23.4
17031030101,37
17031030102,32.8
17031030103,38.9
17031030104,34.7
17031030200,29.6
17031030300,21.3
17031030400,34.3
17031030500,30.7
17031030601,28.1
17031030603,25.6
17031030604,31.3
17031030701,27.3
17031030702,36.5
17031030703,32
17031030706,32
17031030800,36.4
17031030900,35.5
17031031000,35.9
17031031100,41.6
17031031200,30.8
17031031300,30.8
17031031400,43.1
17031031501,25.9
17031031502,27.7
17031031700,35.6
17031031800,44.8
17031031900,48
17031032100,43
17031040100,35.1
17031040201,42.4
17031040202,29
17031040300,29.3
17031040401,38.6
17031040402,40.9
17031040600,41.9
17031040700,42.4
17031040800,37.8
17031040900,43.3
17031050100,43
17031050200,38.1
17031050300,36.6
17031050500,44.1
17031050600,52.5
17031050700,42.1
17031050800,48.2
17031050900,39.3
17031051000,40.3
17031051100,45.7
17031051200,43.4
17031051300,46.8
17031051400,42.3
17031060100,41.1
17031060200,49.5
17031060300,47
17031060400,48.5
17031060500,29.9
17031060800,51.1
17031060900,40.3
17031061000,49.4
17031061100,57
17031061200,59.2
17031061500,46.6
17031061800,44.3
17031061901,44.2
17031061902,43.8
17031062000,51.4
17031062100,48.4
17031062200,55.2
17031062300,51.2
17031062400,51.8
17031062500,52.7
17031062600,43.5
17031062700,41.7
17031062800,56
17031062900,56
17031063000,53.3
17031063100,48.4
17031063200,42.1
17031063301,43.6
17031063302,47.6
17031063303,39
17031063400,54.4
17031070101,49.2
17031070102,40.9
17031070103,47.1
17031070200,45.5
17031070300,55.9
17031070400,40.7
17031070500,40.5
17031070600,50
17031070700,44.7
17031071000,63.5
17031071100,57.7
17031071200,52.2
17031071300,52.9
17031071400,42.7
17031071500,55.7
17031071600,37.3
17031071700,44.2
17031071800,52.1
17031080100,40.2
17031080201,40.2
17031080202,42.9
17031080300,43.3
17031080400,29
17031081000,32.4
17031081100,47.6
17031081201,40.3
17031081202,35.1
17031081300,33.1
17031081401,27.7
17031081402,36.2
17031081403,40.3
17031081500,43.5
17031081600,42.3
17031081700,47.2
17031081800,54.3
17031081900,38.2
17031090100,30.1
17031090200,26.4
17031090300,32.7
17031100100,28.9
17031100200,21.9
17031100300,22.7
17031100400,26.7
17031100500,26.4
17031100600,26.4
17031100700,24.6
17031110100,25.9
17031110200,19.5
17031110300,19.7
17031110400,21.8
17031110501,26.5
17031110502,25.9
17031120100,36.5
17031120200,29
17031120300,39.6
17031120400,23.3
17031130100,31.4
17031130200,38.3
17031130300,28.6
17031140100,21.1
17031140200,20.5
17031140301,19.6
17031140302,21.6
17031140400,20.7
17031140500,23.3
17031140601,13.5
17031140602,20.5
17031140701,23.1
17031140702,20.6
17031140800,29.7
17031150200,22.9
17031150300,22.5
17031150401,20.4
17031150402,22.3
17031150501,22.3
17031150502,18.8
17031150600,16.8
17031150700,15.4
17031150800,15.6
17031151001,15.7
17031151002,14.3
17031151100,13
17031151200,15.9
17031160100,25.7
17031160200,28.1
17031160300,29.9
17031160400,24.1
17031160501,23.7
17031160502,21.3
17031160601,29.1
17031160602,27.7
17031160700,26.6
17031160800,24.4
17031160900,30.2
17031161000,29
17031161100,35.3
17031161200,24.5
17031161300,16.9
17031170100,15.9
17031170200,16.1
17031170300,19.8
17031170400,19.3
17031170500,19
17031170600,14.7
17031170700,18.5
17031170800,13.8
17031170900,12.9
17031171000,14
17031171100,20.8
17031180100,10.2
17031190100,8.4
17031190200,11.4
17031190300,10.7
17031190401,16.2
17031190402,11.2
17031190601,9.9
17031190602,9.2
17031190701,9.6
17031190702,6.9
17031190800,7.8
17031190900,6.5
17031191000,8.3
17031191100,4.6
17031191200,3.9
17031191301,11
17031191302,5.9
17031200100,15.7
17031200200,7.4
17031200300,5
17031200401,5
17031200402,11.9
17031210100,36
17031210400,18.1
17031210501,13.5
17031210502,15.1
17031210601,22.6
17031210602,18.6
17031210700,21.9
17031210800,26.9
17031210900,34.6
17031220300,40.3
17031220400,36.7
17031220500,45.5
17031220601,30.2
17031220602,35.1
17031220701,22.5
17031220702,21.4
17031220901,14.6
17031220902,10.4
17031221000,24.5
17031221100,30.5
17031221200,35.4
17031221300,35
17031221400,35.2
17031221500,33.3
17031221600,43.4
17031222200,49.1
17031222500,24.9
17031222600,38.9
17031222700,24.7
17031222800,21.1
17031222900,8.4
17031230100,22.5
17031230200,12.3
17031230300,10.4
17031230400,11.4
17031230500,10.9
17031230600,7.9
17031230700,8
17031230800,8
17031230900,20.1
17031231100,6.1
17031231200,7.9
17031231500,2.9
17031240200,51.1
17031240300,48.1
17031240500,49.7
17031240600,35.8
17031240700,28.7
17031240800,22.9
17031240900,20.5
17031241000,28.4
17031241100,43.7
17031241200,39.5
17031241300,44.9
17031241400,51.4
17031241500,50.8
17031241600,49.1
17031242000,38.9
17031242100,50.9
17031242200,42.7
17031242300,53
17031242400,37.4
17031242500,36.9
17031242600,34.6
17031242700,28.1
17031242800,25
17031242900,32.8
17031243000,26.6
17031243100,38.9
17031243200,49.8
17031243300,39.5
17031243400,32.2
17031243500,45.5
17031250200,7.5
17031250300,15.3
17031250400,10.3
17031250500,20.9
17031250600,9.4
17031250700,7.6
17031250800,4.2
17031251000,4.1
17031251100,5.5
17031251200,9.3
17031251300,6.6
17031251400,10.1
17031251500,4.4
17031251600,6.3
17031251700,11.7
17031251800,5
17031251900,4.6
17031252000,6.3
17031252101,15
17031252102,10
17031252201,10
17031252202,8.4
17031260100,7.3
17031260200,2.7
17031260300,4.8
17031260400,0.7
17031260500,3.4
17031260600,0.9
17031260700,2.9
17031260800,2.1
17031260900,2.2
17031261000,7.8
17031270500,5.1
17031271200,5.5
17031271300,8
17031271400,14.1
17031271500,9.1
17031271800,6.5
17031280100,45.3
17031280400,10.9
17031280800,13.9
17031280900,12.8
17031281900,43.7
17031282700,23.2
17031282800,30
17031283100,34.3
17031283200,36.2
17031283800,30
17031290900,5.6
17031291200,12.9
17031291600,7.7
17031292200,11.7
17031292400,5.8
17031292500,13
17031300500,8.4
17031300600,11.1
17031300700,6
17031300800,4.8
17031300900,4.7
17031301100,8.5
17031301200,7.8
17031301600,8
17031301701,5.8
17031301702,5.6
17031301801,6.3
17031301802,6.7
17031301803,2.4
17031310200,33
17031310300,25.2
17031310400,27.3
17031310500,17.3
17031310600,22.9
17031310700,14.1
17031310800,14.6
17031310900,19.2
17031320100,38.9
17031320400,33.5
17031320600,36.3
17031330100,35.7
17031330200,34.7
17031340300,11.9
17031340400,17.2
17031340500,13
17031340600,5.3
17031350100,34.8
17031350400,3.2
17031351000,27.8
17031351100,10.6
17031351400,12.7
17031351500,16.2
17031360200,9.5
17031380100,17
17031380200,19.9
17031380500,9.4
17031380700,3.2
17031381200,15.4
17031381400,11
17031381500,19.5
17031381700,-
17031381800,13.2
17031381900,19.7
17031390100,22
17031390200,26.4
17031390300,20.5
17031390400,18.3
17031390500,27.6
17031390600,23.6
17031390700,27.9
17031400300,9.9
17031400400,14.5
17031400500,10.5
17031400800,13.8
17031410100,28.2
17031410200,21.3
17031410500,22.8
17031410600,30.1
17031410700,25.7
17031410800,27.3
17031410900,32.3
