GEOID,perc_hs_grad_2019
17031010100,88.3
17031010201,80.3
17031010202,79
17031010300,89.8
17031010400,96.2
17031010501,96.5
17031010502,93.9
17031010503,80.9
17031010600,90.3
17031010701,92.7
17031010702,81.7
17031020100,81.6
17031020200,84.1
17031020301,90.4
17031020302,94
17031020400,88.9
17031020500,68.7
17031020601,86.9
17031020602,84.4
17031020701,92.1
17031020702,76.6
17031020801,74.5
17031020802,72.7
17031020901,79.2
17031020902,76.2
17031030101,90.3
17031030102,95.7
17031030103,94.2
17031030104,88.2
17031030200,93.4
17031030300,84.6
17031030400,91
17031030500,88.7
17031030601,78.4
17031030603,93.8
17031030604,94.7
17031030701,86.2
17031030702,96.5
17031030703,86.8
17031030706,95.6
17031030800,94.5
17031030900,92.2
17031031000,94.5
17031031100,93.5
17031031200,73.4
17031031300,89.3
17031031400,96.1
17031031501,81
17031031502,86.6
17031031700,93.3
17031031800,96.8
17031031900,93
17031032100,94.3
17031040100,92.6
17031040201,91.9
17031040202,86.9
17031040300,87.8
17031040401,94.2
17031040402,98.9
17031040600,99
17031040700,92.2
17031040800,92.7
17031040900,98
17031050100,93.9
17031050200,93.3
17031050300,96.8
17031050500,97.1
17031050600,100
17031050700,97.4
17031050800,99.3
17031050900,94
17031051000,94
17031051100,93.7
17031051200,95.7
17031051300,99.2
17031051400,95.2
17031060100,95.8
17031060200,93.8
17031060300,98
17031060400,98.9
17031060500,78
17031060800,99.3
17031060900,96.7
17031061000,99.4
17031061100,99.3
17031061200,98.1
17031061500,99.5
17031061800,99.6
17031061901,98.2
17031061902,99.1
17031062000,100
17031062100,97.4
17031062200,97.6
17031062300,98.6
17031062400,93.7
17031062500,98.9
17031062600,98.4
17031062700,94.4
17031062800,98.6
17031062900,99.5
17031063000,96.9
17031063100,99.3
17031063200,98
17031063301,97.7
17031063302,100
17031063303,99.5
17031063400,99.6
17031070101,98.8
17031070102,98.5
17031070103,98.3
17031070200,97.9
17031070300,99.1
17031070400,92.2
17031070500,95.8
17031070600,98.4
17031070700,96.5
17031071000,99.7
17031071100,100
17031071200,98.7
17031071300,100
17031071400,97.1
17031071500,99.4
17031071600,98.3
17031071700,99.2
17031071800,96.5
17031080100,99.2
17031080201,98.8
17031080202,98.6
17031080300,98.1
17031080400,91.7
17031081000,95.9
17031081100,95.8
17031081201,100
17031081202,99.2
17031081300,98.9
17031081401,98.2
17031081402,98.1
17031081403,99.6
17031081500,99.3
17031081600,98.9
17031081700,99.5
17031081800,99.7
17031081900,98
17031090100,92.8
17031090200,96.5
17031090300,98.5
17031100100,90.5
17031100200,92.9
17031100300,94.8
17031100400,92.1
17031100500,88.3
17031100600,92.7
17031100700,93
17031110100,92.6
17031110200,92.9
17031110300,88.7
17031110400,91.6
17031110501,87.2
17031110502,91.8
17031120100,97.1
17031120200,94
17031120300,94.6
17031120400,90.1
17031130100,89.4
17031130200,92
17031130300,80.5
17031140100,76.7
17031140200,73
17031140301,65.9
17031140302,82.8
17031140400,84.9
17031140500,87.7
17031140601,75.4
17031140602,82.1
17031140701,81.5
17031140702,72.8
17031140800,87.9
17031150200,87
17031150300,89.5
17031150401,91.4
17031150402,92.6
17031150501,90.7
17031150502,90.6
17031150600,91.3
17031150700,86
17031150800,74.2
17031151001,82.6
17031151002,69.4
17031151100,79.6
17031151200,85.9
17031160100,87.6
17031160200,93.5
17031160300,88.2
17031160400,85.8
17031160501,77
17031160502,77.7
17031160601,89
17031160602,86.9
17031160700,84.9
17031160800,77
17031160900,98.4
17031161000,95.4
17031161100,95
17031161200,77.5
17031161300,78.6
17031170100,90
17031170200,91
17031170300,87.8
17031170400,86.9
17031170500,94.5
17031170600,91
17031170700,91
17031170800,88.7
17031170900,82.2
17031171000,87.6
17031171100,87.3
17031180100,90
17031190100,71.4
17031190200,71.4
17031190300,67.4
17031190401,82.3
17031190402,74.4
17031190601,71.9
