GEOID,perc_insured_2016
17031010100,87
17031010201,78
17031010202,80.8
17031010300,88.5
17031010400,93.2
17031010501,83.8
17031010502,83.6
17031010503,93.4
17031010600,77.3
17031010701,84.8
17031010702,77
17031020100,80.3
17031020200,88
17031020301,94
17031020302,86.5
17031020400,85.4
17031020500,72.4
17031020601,87.8
17031020602,76.1
17031020701,95.7
17031020702,82.1
17031020801,84.4
17031020802,77
17031020901,86
17031020902,82.8
17031030101,75.9
17031030102,78.3
17031030103,90
17031030104,83.8
17031030200,91.5
17031030300,77.6
17031030400,84.6
17031030500,89.5
17031030601,84.7
17031030603,72.5
17031030604,86.7
17031030701,82.7
17031030702,92.1
17031030703,88.9
17031030706,83
17031030800,96.3
17031030900,85.1
17031031000,90.5
17031031100,82.7
17031031200,83.8
17031031300,87.5
17031031400,92.3
17031031501,84.8
17031031502,76.4
17031031700,84.3
17031031800,82
17031031900,90.7
17031032100,91.8
17031040100,88.8
17031040201,85.5
17031040202,81.4
17031040300,94.2
17031040401,92.1
17031040402,90.6
17031040600,87.2
17031040700,87.4
17031040800,91.4
17031040900,92.4
17031050100,93.6
17031050200,95.4
17031050300,94.1
17031050500,94.2
17031050600,96.7
17031050700,97.9
17031050800,94.2
17031050900,88.6
17031051000,94.2
17031051100,93.7
17031051200,93.5
17031051300,97.7
17031051400,90.8
17031060100,97
17031060200,88.3
17031060300,92.1
17031060400,94.7
17031060500,94
17031060800,92.9
17031060900,92.8
17031061000,91.3
17031061100,93.6
17031061200,93.5
17031061500,97.6
17031061800,87.5
17031061901,94.7
17031061902,93.3
17031062000,94.2
17031062100,90.3
17031062200,99
17031062300,93.3
17031062400,96.8
17031062500,98.2
17031062600,93.8
17031062700,95.4
17031062800,97.8
17031062900,98.2
17031063000,91.4
17031063100,94.8
17031063200,94.9
17031063301,95.6
17031063302,94
17031063303,98.1
17031063400,96.2
17031070101,97.7
17031070102,90.4
17031070103,90.1
17031070200,96.3
17031070300,95.4
17031070400,96.9
17031070500,97.1
17031070600,99.7
17031070700,95.7
17031071000,94.4
17031071100,95.6
17031071200,98.1
17031071300,94
17031071400,93.6
17031071500,97.2
17031071600,98.1
17031071700,94.3
17031071800,97.4
17031080100,91.7
17031080201,87.7
17031080202,96.6
17031080300,97.1
17031080400,94.3
17031081000,93.7
17031081100,90.7
17031081201,97.8
17031081202,95.5
17031081300,97.8
17031081401,97
17031081402,96.5
17031081403,94.8
17031081500,95.5
17031081600,99.2
17031081700,98.2
17031081800,95.8
17031081900,88.3
17031090100,97.9
17031090200,94.3
17031090300,96.5
17031100100,91.8
17031100200,92.2
17031100300,95
17031100400,98.4
17031100500,99.6
17031100600,93.3
17031100700,92.3
17031110100,86.1
17031110200,85.9
17031110300,89.4
17031110400,85.4
17031110501,91.5
17031110502,84.1
17031120100,96.5
17031120200,96.4
17031120300,93.2
17031120400,94.8
17031130100,94.5
17031130200,93.2
17031130300,81.3
17031140100,67.7
17031140200,78.6
17031140301,62.7
17031140302,77.8
17031140400,87.2
17031140500,76.3
17031140601,72.5
17031140602,70.7
17031140701,75.3
17031140702,71.3
17031140800,80
17031150200,80
17031150300,86.8
17031150401,87
17031150402,79.8
17031150501,89.7
17031150502,88.1
17031150600,90.2
17031150700,85.9
17031150800,76
17031151001,81.1
17031151002,77.9
17031151100,78.7
17031151200,87.2
17031160100,78.2
17031160200,91.4
17031160300,81.1
17031160400,83.2
17031160501,72.2
17031160502,70.7
17031160601,76.9
17031160602,81.7
17031160700,81.6
17031160800,76.4
17031160900,88.8
17031161000,91.4
17031161100,98.1
17031161200,74.5
17031161300,67.8
17031170100,91.7
17031170200,81
17031170300,90.4
17031170400,87.6
17031170500,86.3
17031170600,91.4
17031170700,88.4
17031170800,83.4
17031170900,87.9
17031171000,77.4
17031171100,91.9
17031180100,81.8
17031190100,75.4
17031190200,81.6
17031190300,77.3
17031190401,81.1
17031190402,77.6
17031190601,81.3
17031190602,72.1
17031190701,74.4
17031190702,72
17031190800,77.9
17031190900,85.7
17031191000,79.2
17031191100,77.1
17031191200,69.2
17031191301,71.3
17031191302,79.4
17031200100,80.7
17031200200,78.3
17031200300,68.6
17031200401,74.1
17031200402,77.2
17031210100,78.5
17031210400,75.6
17031210501,61.7
17031210502,65.5
17031210601,74.5
17031210602,75.3
17031210700,81
17031210800,77.5
17031210900,78.9
17031220300,90.1
17031220400,86.7
17031220500,86.7
17031220601,86.4
17031220602,87.9
17031220701,71
17031220702,80.6
17031220901,78.5
17031220902,73
17031221000,79
17031221100,77.5
17031221200,84.4
17031221300,82.9
17031221400,82.3
17031221500,86.1
17031221600,91.8
17031222200,94.5
17031222500,82.5
17031222600,83.7
17031222700,84.8
17031222800,73.6
17031222900,82.7
17031230100,86.5
17031230200,71.8
17031230300,82.1
17031230400,67.1
17031230500,78.2
17031230600,74.5
17031230700,71.6
17031230800,80.7
17031230900,85.6
17031231100,83.2
17031231200,75.3
17031231500,73.5
17031240200,96.9
17031240300,97
17031240500,96.5
17031240600,88
17031240700,91
17031240800,75.2
17031240900,75.3
17031241000,88.7
17031241100,84.9
17031241200,92.2
17031241300,96.1
17031241400,96.9
17031241500,91.8
17031241600,84.6
17031242000,86.9
17031242100,90.3
17031242200,95.2
17031242300,94.9
17031242400,87.1
17031242500,83.7
17031242600,80.2
17031242700,86.7
17031242800,86.3
17031242900,84
17031243000,83.3
17031243100,85.4
17031243200,92.3
17031243300,86.2
17031243400,87.3
17031243500,95.3
17031250200,74.9
17031250300,82.3
17031250400,83.2
17031250500,92.5
17031250600,83.9
17031250700,77.1
17031250800,83.3
17031251000,83.7
17031251100,85.8
17031251200,83.3
17031251300,82.5
17031251400,83.6
17031251500,75.7
17031251600,86.7
17031251700,74.6
17031251800,84.7
17031251900,83
17031252000,78.9
17031252101,76.9
17031252102,82.9
17031252201,80
17031252202,83.8
17031260100,84.3
17031260200,82.8
17031260300,81.1
17031260400,86.3
17031260500,79.8
17031260600,83.9
17031260700,79.3
17031260800,84.9
17031260900,86.2
17031261000,80.4
17031270500,83.5
17031271200,84.3
17031271300,89.2
17031271400,90.4
17031271500,86.9
17031271800,87.5
17031280100,97.9
17031280400,91.3
17031280800,85.3
17031280900,94.4
17031281900,95.4
17031282700,86.9
17031282800,95.3
17031283100,91.5
17031283200,92
17031283800,89.3
17031290900,89.4
17031291200,89.1
17031291600,88.4
17031292200,81.9
17031292400,83.1
17031292500,84.1
17031300500,68.3
17031300600,74.2
17031300700,70.1
17031300800,76.6
17031300900,67.7
17031301100,68.1
17031301200,82
17031301600,77.2
17031301701,71.8
17031301702,69.6
17031301801,72.4
17031301802,64.2
17031301803,63
17031310200,78.6
17031310300,72.6
17031310400,84.5
17031310500,69.6
17031310600,69.2
17031310700,73.6
17031310800,68.5
17031310900,78.2
17031320100,96.1
17031320400,90.4
17031320600,98.6
17031330100,97.8
17031330200,95.3
17031340300,84.1
17031340400,78
17031340500,91.6
17031340600,89.9
17031350100,93.9
17031350400,90.3
17031351000,87.4
17031351100,88.1
17031351400,88.1
17031351500,90.6
17031360200,86.1
17031380100,97.4
17031380200,92.8
17031380500,92.4
17031380700,90.6
17031381200,88.7
17031381400,76.3
17031381500,89.6
17031381700,-
17031381800,76.4
17031381900,81.5
17031390100,88.3
17031390200,88.5
17031390300,91.3
17031390400,91.4
17031390500,89.9
17031390600,94.4
17031390700,94.5
17031400300,92.9
17031400400,86.2
17031400500,89
17031400800,87.1
17031410100,82.9
17031410200,94.5
17031410500,92.1
17031410600,93.8
17031410700,93.7
17031410800,89.8
17031410900,91.5
17031411000,87.2
17031411100,98.2
17031411200,99.2
17031420100,91.1
17031420200,93.7
17031420300,92.2
17031420400,93.5
17031420500,92.5
17031420600,86.6
17031420700,88.1
17031420800,81.5
17031421200,87.1
17031430101,78.7
17031430102,82.7
17031430200,91.2
17031430300,90.7
17031430400,86.8
17031430500,86.5
17031430600,92.3
17031430700,85.9
17031430800,79.7
17031430900,88
17031431200,85.4
17031431301,86.6
17031431302,77
17031431400,87.4
17031440101,82.7
17031440102,79.4
17031440201,90.4
17031440202,92.5
17031440300,85.3
17031440600,87.9
17031440700,78.3
17031440800,80.2
17031440900,85.3
17031450300,86.1
17031460100,78
17031460200,81
17031460301,78.3
17031460302,87.5
17031460400,92.3
17031460500,94.7
17031460600,74
17031460700,84.1
17031461000,90.8
17031470100,88
17031480100,89.3
17031480200,89.6
17031480300,79.7
17031480400,94.5
17031480500,88.8
17031490300,90.7
17031490400,90.5
17031490500,84.2
17031490600,88.4
17031490700,83.3
17031490800,88.9
17031490901,85.8
17031490902,90.7
17031491000,88.8
17031491100,89.3
17031491200,86.3
17031491300,77.6
17031491400,77.5
17031500100,86.8
17031500200,84.7
17031500300,81.5
17031510100,83.8
17031510200,86.9
17031510300,89.8
17031520100,79.5
17031520200,81.1
17031520300,84.1
17031520400,84.9
17031520500,94.1
17031520600,80.2
17031530100,79.6
17031530200,87.6
17031530300,90
17031530400,83.1
17031530501,85.5
17031530502,87.3
17031530503,87.5
17031530600,88
17031540101,84.7
17031540102,89.6
17031550100,87
17031550200,93.2
17031560100,87
17031560200,81
17031560300,83
17031560400,83.7
17031560700,86.2
17031560800,90.4
17031560900,92.9
17031561000,97.6
17031561100,92.9
17031570100,79.2
17031570200,79.5
17031570300,77.9
17031570400,67.4
17031570500,80.8
17031580100,70.1
17031580200,78
17031580300,78.5
17031580400,79.2
17031580501,63.8
17031580502,75.7
17031580600,76.3
17031580700,70.9
17031580800,72.6
17031590500,77.7
17031590600,80.8
17031590700,79.7
17031600400,79.1
17031600600,77.6
17031600700,82.6
17031600900,74.6
17031610300,74.5
17031610400,72.3
17031610800,91.8
17031611000,75.4
17031611100,66.1
17031611200,74.6
17031611300,77.1
17031611400,73.1
17031611500,69.1
17031611600,72.3
17031611700,77.8
17031611800,70.9
17031611900,78.7
17031612000,84.7
17031612100,91.1
17031620100,86.1
17031620200,80.9
17031620300,85.8
17031620400,84.7
17031630100,65.8
17031630200,84.3
17031630300,79.3
17031630400,75
17031630500,65
17031630800,78.7
17031630900,76.1
17031640100,89.7
17031640300,91.1
17031640400,86.8
17031640500,91
17031640600,89.1
17031640700,83.9
17031640800,86.3
17031650100,75.8
17031650200,82.7
17031650301,83.3
17031650302,83.2
17031650400,83.5
17031650500,85.1
17031660301,76.5
17031660302,76.6
17031660400,77
17031660500,72.9
17031660600,77.6
17031660700,81.3
17031660800,76.7
17031660900,80.1
17031661000,85.1
17031661100,81.3
17031670100,72.7
17031670200,80.5
17031670300,80.7
17031670400,82.8
17031670500,78.8
17031670600,71.9
17031670700,77.1
17031670800,76.5
17031670900,72.7
17031671100,93.7
17031671200,71
17031671300,83.4
17031671400,85
17031671500,84.2
17031671600,78.1
17031671800,87.4
17031671900,80.2
17031672000,81.4
17031680500,87.5
17031680600,82.3
17031680900,88.7
17031681000,85.6
17031681100,78
17031681200,83.8
17031681300,82.6
17031681400,81.9
17031690300,91.4
17031690400,79.2
17031690500,82.6
17031690900,82.9
17031691000,87.8
17031691100,84.6
17031691200,88.6
17031691300,86.2
17031691400,82.9
17031691500,83.6
17031700100,93.5
17031700200,83.1
17031700301,87.5
17031700302,87.9
17031700401,88.9
17031700402,90.1
17031700501,89.8
17031700502,94.6
17031710100,83.7
17031710200,85.2
17031710300,80.9
17031710400,89.2
17031710500,87.1
17031710600,84.7
17031710700,83.8
17031710800,83.5
17031710900,76.7
17031711000,78.8
17031711100,89
17031711200,87.3
17031711300,85.1
17031711400,79.4
17031711500,81
17031720100,96.9
17031720200,95.7
17031720300,97.8
17031720400,96
17031720500,98.1
17031720600,98.2
17031720700,90.3
17031730100,87.1
17031730201,88.2
17031730202,81.7
17031730300,86.4
17031730400,92.6
17031730500,92.3
17031730600,93
17031730700,93.6
17031740100,98.4
17031740200,98.1
17031740300,98.8
17031740400,93.9
17031750100,93.9
17031750200,89.9
17031750300,94.6
17031750400,94
17031750500,90.7
17031750600,91.2
17031760801,78
17031760802,94.7
17031760803,81.1
17031770201,94.6
17031770202,97.2
17031770300,93
17031770400,87.3
17031770500,70.3
17031770601,88
17031770602,75.3
17031770700,84
17031770800,86
17031770901,91.3
17031770902,90
17031800100,99.6
17031800200,97.6
17031800300,95.9
17031800400,98.7
17031800500,99.6
17031800600,98.3
17031800700,98.9
17031800800,97.6
17031800900,92.9
17031801000,97
17031801100,97.8
17031801200,97.4
17031801300,96
17031801400,97.1
17031801500,98.9
17031801601,96.4
17031801603,81.3
17031801605,99.4
17031801606,95.6
17031801607,88.2
17031801608,98.2
17031801701,98.1
17031801702,95.5
17031801800,98.2
17031801901,92.6
17031801902,96.2
17031802002,93.6
17031802003,93.2
17031802004,85.1
17031802100,98
17031802200,97.6
17031802300,96.6
17031802402,85.4
17031802403,95.3
17031802404,73.5
17031802503,94
17031802504,88
17031802505,75.2
17031802506,80
17031802605,95.8
17031802607,98.1
17031802608,88.9
17031802609,73.2
17031802610,92.1
17031802701,93.7
17031802702,95.9
17031802801,94.5
17031802802,93.5
