GEOID,perc_rental_housing_2018
17031010100,78.0656304
17031010201,71.3541667
17031010202,73.23049
17031010300,65.8873889
17031010400,78.7409701
17031010501,88
17031010502,80.9681698
17031010503,79.6487603
17031010600,75.2347826
17031010701,55.1062371
17031010702,78.7864078
17031020100,50.8997429
17031020200,29.0866511
17031020301,27.0123457
17031020302,41.8778802
17031020400,46.3750749
17031020500,71.381733
17031020601,56.2910561
17031020602,59.6059113
17031020701,38.5103011
17031020702,69.5689287
17031020801,59.4357077
17031020802,63.88291
17031020901,71.4591128
17031020902,44.3069307
17031030101,65.1771957
17031030102,62.6131222
17031030103,75
17031030104,60.0746269
17031030200,51.2974052
17031030300,70.7152497
17031030400,57.3833206
17031030500,52.6387937
17031030601,69.4838057
17031030603,91.1660777
17031030604,73.6026303
17031030701,75.0277469
17031030702,45.2764171
17031030703,76.0635281
17031030706,68.2768924
17031030800,55.361724
17031030900,51.9713262
17031031000,59.6009975
17031031100,77.6480761
17031031200,75.2923977
17031031300,66.3731964
17031031400,44.8424544
17031031501,83.3513514
17031031502,87.4684609
17031031700,63.7213254
17031031800,56.1076605
17031031900,64.3650794
17031032100,74
17031040100,51.4036182
17031040201,61.4449696
17031040202,68.6254644
17031040300,32.4858757
17031040401,42.2503726
17031040402,63.1186174
17031040600,64.6330681
17031040700,60.9974425
17031040800,58.488228
17031040900,61.4745587
17031050100,58.5689046
17031050200,36.8993654
17031050300,56.9863014
17031050500,41.749409
17031050600,45.7875458
17031050700,29.8529412
17031050800,57.4013158
17031050900,55.5555556
17031051000,42.8571429
17031051100,41.6528926
17031051200,62.0805369
17031051300,22.5314183
17031051400,36.3753213
17031060100,54.7001621
17031060200,74.3978591
17031060300,52.2984175
17031060400,52.5839793
17031060500,76.6578249
17031060800,51.4854718
17031060900,60.9615385
17031061000,68.3426443
17031061100,61.627907
17031061200,62.7400768
17031061500,65.470297
17031061800,80.6312769
17031061901,70.8751139
17031061902,71.7913043
17031062000,66.0413972
17031062100,64.7764449
17031062200,53.1604538
17031062300,45.9885387
17031062400,43.8888889
17031062500,48.4550562
17031062600,36.2139918
17031062700,44.9035813
17031062800,54.6270718
17031062900,58.8364435
17031063000,63.2459565
17031063100,67.5154321
17031063200,63.146654
17031063301,84.1390549
17031063302,68.7453875
17031063303,59.7574421
17031063400,68.7338501
17031070101,60.7728337
17031070102,73.4265734
17031070103,90.1080632
17031070200,63.7033399
17031070300,55.801105
17031070400,56.9708492
17031070500,37.4335611
17031070600,29.3089754
17031070700,48.9411765
17031071000,49.7497497
17031071100,51.6574586
17031071200,47.3415133
17031071300,51.4285714
17031071400,59.9358974
17031071500,66.5283899
17031071600,35.8592693
17031071700,40.6676783
17031071800,40.0892857
17031080100,51.9101124
17031080201,42.3859015
17031080202,45.6210903
17031080300,44.7887324
17031080400,69.1192266
17031081000,84.136042
17031081100,78.6076867
17031081201,54.8776284
17031081202,23.2276657
17031081300,35.5907359
17031081401,47.3017988
17031081402,58.0614507
17031081403,68.1470424
17031081500,57.7698309
17031081600,64.7014645
17031081700,72.1673904
17031081800,45.5832663
17031081900,44.2822384
17031090100,17.6512456
17031090200,25.2097775
17031090300,19.1146881
17031100100,34.965035
17031100200,24.6427327
17031100300,34.5692884
17031100400,5.9856345
17031100500,13.5205184
17031100600,22.4328594
17031100700,10.4657534
17031110100,36.703402
17031110200,48.4477124
17031110300,19.1205534
17031110400,40.6063887
17031110501,25.4738016
17031110502,52.7615335
17031120100,5.8708415
17031120200,16.8728909
17031120300,5.3416149
17031120400,21.656051
17031130100,49.6640827
17031130200,23.7804878
17031130300,55.4748603
17031140100,72.8308501
17031140200,81.0214742
17031140301,70.2319588
17031140302,49.8808578
17031140400,31.7819149
17031140500,50.0385505
17031140601,60.4121475
17031140602,62.2594662
17031140701,71.575985
17031140702,68.7861272
17031140800,50.6860055
17031150200,43.9848328
17031150300,43.9699351
17031150401,43.4167573
17031150402,30.8788599
17031150501,27.9463656
17031150502,35.8477971
17031150600,30.4878049
17031150700,39.1983696
17031150800,47.4060823
17031151001,47.0653378
17031151002,52.9036375
17031151100,53.5774648
17031151200,26.3763353
17031160100,47.1299094
17031160200,32.3358271
17031160300,54.9071618
17031160400,51.8052516
17031160501,57.1890145
17031160502,55.3846154
17031160601,51.6641452
17031160602,55.8945908
17031160700,54.1703248
17031160800,58.3015787
17031160900,49.1573034
17031161000,44.1069259
17031161100,29.044586
17031161200,39.3528184
17031161300,63.1724138
17031170100,29.0353391
17031170200,16.7360533
17031170300,36.7558711
17031170400,28.9980093
17031170500,23.3532934
17031170600,15.9836066
17031170700,18.8859878
17031170800,25.8692629
17031170900,29.6969697
17031171000,24.8840804
17031171100,23.400936
17031180100,22.0089286
17031190100,70.5669481
17031190200,41.1876184
17031190300,50.744559
17031190401,31.6734694
17031190402,41.5683962
17031190601,44.3256579
17031190602,28.5513361
17031190701,65.5172414
17031190702,69.1298343
17031190800,55.3286853
17031190900,61.0644258
17031191000,40.5255878
17031191100,44.1654357
17031191200,58.4390244
17031191301,55.32926
17031191302,51.9480519
17031200100,47.8425435
17031200200,54.7008547
17031200300,58.2089552
17031200401,50.7858546
17031200402,47.8771454
17031210100,52.0084567
17031210400,57.0990807
17031210501,76.4376997
17031210502,64.6443515
17031210601,58.579235
17031210602,58.0310881
17031210700,61.3932292
17031210800,61.9791667
17031210900,59.5983936
17031220300,58.1369248
17031220400,58.5321101
17031220500,60.2177554
17031220601,66.3768116
17031220602,75.6097561
17031220701,62.1722846
17031220702,66.6422824
17031220901,65.7520325
17031220902,58.8794926
17031221000,67.3247779
17031221100,69.1351631
17031221200,61.5823817
17031221300,76.5019011
17031221400,59.3912398
17031221500,67.1698113
17031221600,48.2661005
17031222200,50
17031222500,66.6034156
17031222600,65.4178674
17031222700,70.9638554
17031222800,74.5205479
17031222900,47.4320242
17031230100,67.1474359
17031230200,66.4484452
17031230300,69.9658703
17031230400,49.0254873
17031230500,75.8680556
17031230600,73.5064935
17031230700,55.5102041
17031230800,45.6582633
17031230900,67.9350867
17031231100,58.7431694
17031231200,71.0416667
17031231500,61.9469027
17031240200,46.9849246
17031240300,49.7418244
17031240500,29.6728972
17031240600,48.0392157
17031240700,63.67713
17031240800,64.2972536
17031240900,77.8004073
17031241000,73.0555556
17031241100,72.9249012
17031241200,66.2998624
17031241300,52.0475561
17031241400,68.262987
17031241500,58.0980684
17031241600,73.674476
17031242000,76.3033175
17031242100,51.3815403
17031242200,60.4205318
17031242300,56.2617999
17031242400,72.6356589
17031242500,67.8032787
17031242600,71.5255591
17031242700,74.327957
17031242800,35.5442177
17031242900,56.4943253
17031243000,62.1359223
17031243100,45.4244763
17031243200,56.9662921
17031243300,54.2190305
17031243400,46.6357309
17031243500,54.8044693
17031250200,40.7730673
17031250300,59.8563969
17031250400,48.6073184
17031250500,26.8108108
17031250600,29.3373045
17031250700,58.7643678
17031250800,36.0759494
17031251000,38.1231672
17031251100,65.5682582
17031251200,42.9809359
17031251300,49.2363636
17031251400,76.3248848
17031251500,75.8125472
17031251600,62.5818522
17031251700,52.7322404
17031251800,87.7600979
17031251900,77.8179626
17031252000,79.0738314
17031252101,81.6528926
17031252102,52.8525787
17031252201,66.6325486
17031252202,77.3359841
17031260100,88.3239171
17031260200,71.7460317
17031260300,83.9851024
17031260400,78.7634409
17031260500,74.1818182
17031260600,66.8449198
17031260700,75.3816794
17031260800,77.9931585
17031260900,61.2658228
17031261000,71.3432836
17031270500,91.0596026
17031271200,85.5297158
17031271300,79.4520548
17031271400,85.1441242
17031271500,65.9751037
17031271800,85.3211009
17031280100,62.8662109
17031280400,92.8449744
17031280800,78.7709497
17031280900,83.5978836
17031281900,75.4749079
17031282700,50.1950585
17031282800,66.9683258
17031283100,88.650043
17031283200,58.2952816
17031283800,58.6248492
17031290900,73.4782609
17031291200,86.1003861
