GEOID,unemployment_2019
17031010100,6.6
17031010201,3
17031010202,5.8
17031010300,4.8
17031010400,7
17031010501,7.7
17031010502,3.3
17031010503,7.9
17031010600,6.3
17031010701,3.9
17031010702,3.5
17031020100,6
17031020200,6.1
17031020301,5.3
17031020302,7.5
17031020400,4
17031020500,13.1
17031020601,14.2
17031020602,4.4
17031020701,6.1
17031020702,9.1
17031020801,5.9
17031020802,8.3
17031020901,2.9
17031020902,5.9
17031030101,7.5
17031030102,5.5
17031030103,9.3
17031030104,12.7
17031030200,5.3
17031030300,4.6
17031030400,5.2
17031030500,2.2
17031030601,2.9
17031030603,3.2
17031030604,3.6
17031030701,6.8
17031030702,4.4
17031030703,3
17031030706,10.4
17031030800,3.2
17031030900,4
17031031000,4.6
17031031100,4.3
17031031200,3.6
17031031300,2
17031031400,1.8
17031031501,4.8
17031031502,3.7
17031031700,3.9
17031031800,3.6
17031031900,6
17031032100,6.2
17031040100,0.9
17031040201,1.7
17031040202,7.5
17031040300,13.1
17031040401,6
17031040402,2.5
17031040600,1.9
17031040700,3.1
17031040800,2.6
17031040900,4.2
17031050100,2.6
17031050200,4
17031050300,3.4
17031050500,2
17031050600,2.3
17031050700,1.5
17031050800,5.7
17031050900,3.1
17031051000,0.6
17031051100,0.6
17031051200,1.9
17031051300,1.1
17031051400,4.7
17031060100,1.7
17031060200,2.5
17031060300,1.8
17031060400,5.2
17031060500,3.4
17031060800,3.9
17031060900,0.5
17031061000,3
17031061100,0.4
17031061200,1.8
17031061500,2.3
17031061800,4.8
17031061901,3
17031061902,7.8
17031062000,2.2
17031062100,4
17031062200,2.4
17031062300,1.4
17031062400,2.2
17031062500,4.8
17031062600,3.3
17031062700,1.1
17031062800,1.9
17031062900,2
17031063000,1.9
17031063100,4.5
17031063200,4.7
17031063301,1.1
17031063302,0.8
17031063303,4.6
17031063400,0.8
17031070101,7.7
17031070102,1.7
17031070103,1.2
17031070200,2.2
17031070300,3.1
17031070400,0
17031070500,4.9
17031070600,2.3
17031070700,1.3
17031071000,5.7
17031071100,3.4
17031071200,0.6
17031071300,2.3
17031071400,2.3
17031071500,1.9
17031071600,2.8
17031071700,1.4
17031071800,2.4
17031080100,5.1
17031080201,4.6
17031080202,1.9
17031080300,1.2
17031080400,8.2
17031081000,1.6
17031081100,3.7
17031081201,3
17031081202,3.2
17031081300,6
17031081401,2.5
17031081402,2.9
17031081403,2.4
17031081500,1.7
17031081600,1.3
17031081700,3.1
17031081800,1.2
17031081900,0
17031090100,2.6
17031090200,1.2
17031090300,0.7
17031100100,7.9
17031100200,4.5
17031100300,1.8
17031100400,3.9
17031100500,0.8
17031100600,1.8
17031100700,4.2
17031110100,5
17031110200,5.8
17031110300,3.4
17031110400,5.6
17031110501,5.1
17031110502,1.8
17031120100,3.1
17031120200,1.9
17031120300,4.5
17031120400,3.6
17031130100,3.7
17031130200,2.9
17031130300,7.9
17031140100,8.5
17031140200,2.9
17031140301,7.5
17031140302,5.6
17031140400,5
17031140500,6.2
17031140601,9
17031140602,6.9
17031140701,4.6
17031140702,5.8
17031140800,1.3
17031150200,7.7
17031150300,3.8
17031150401,4.8
17031150402,4.6
17031150501,7.3
17031150502,3.3
17031150600,2.8
17031150700,1.9
17031150800,8.5
17031151001,5.4
17031151002,4.9
17031151100,6.4
17031151200,5.6
17031160100,8.4
17031160200,3.5
17031160300,2.6
17031160400,2.7
17031160501,4.8
17031160502,5.5
17031160601,3.1
17031160602,1.6
17031160700,2.6
17031160800,3.9
17031160900,4.3
17031161000,3.3
17031161100,1.8
17031161200,5.9
17031161300,5.1
17031170100,6.3
17031170200,4.2
17031170300,1.9
17031170400,3.6
17031170500,2.7
17031170600,3.7
17031170700,5.1
17031170800,2.9
17031170900,5
17031171000,3.9
17031171100,2.1
17031180100,2.6
17031190100,3.2
17031190200,6.2
17031190300,3.9
17031190401,6.5
17031190402,5
17031190601,10.4
17031190602,6.4
17031190701,6.7
17031190702,5.6
17031190800,11.5
17031190900,4.8
17031191000,7.5
17031191100,3.8
17031191200,4.7
17031191301,3.3
17031191302,9.6
17031200100,5.6
17031200200,5.8
17031200300,6.2
17031200401,11.1
17031200402,5.2
17031210100,2.9
17031210400,6.4
17031210501,6.1
17031210502,4.7
17031210601,6.3
17031210602,2.9
17031210700,5.1
17031210800,3.2
17031210900,1
17031220300,4.3
17031220400,3.5
17031220500,0.7
17031220601,2.1
17031220602,4.6
17031220701,4.7
17031220702,6.2
17031220901,7.9
17031220902,2.9
17031221000,5.4
17031221100,4.8
17031221200,2.4
17031221300,2.6
17031221400,2.4
17031221500,2.3
17031221600,0.8
17031222200,5.7
17031222500,6.3
17031222600,3.7
17031222700,3.1
17031222800,6.9
17031222900,3.5
17031230100,2
17031230200,9.8
17031230300,9.1
17031230400,15.4
17031230500,9.7
