GEOID,vacancies_2018
17031010100,12.8
17031010201,9.9
17031010202,12.3
17031010300,10.7
17031010400,11.3
17031010501,8.6
17031010502,16
17031010503,23.1
17031010600,12.9
17031010701,14.4
17031010702,9.2
17031020100,10.4
17031020200,6.4
17031020301,9.4
17031020302,8.9
17031020400,9
17031020500,12.8
17031020601,8.9
17031020602,9.7
17031020701,15.1
17031020702,9
17031020801,6.8
17031020802,7.4
17031020901,14.8
17031020902,7.4
17031030101,21
17031030102,16.3
17031030103,22.6
17031030104,6
17031030200,8.6
17031030300,4.8
17031030400,7.8
17031030500,11.9
17031030601,8.4
17031030603,10.5
17031030604,11.8
17031030701,8.1
17031030702,13.2
17031030703,11.2
17031030706,10.2
17031030800,9.3
17031030900,10.6
17031031000,4.7
17031031100,4.7
17031031200,11.5
17031031300,7.1
17031031400,15.2
17031031501,8.9
17031031502,5.8
17031031700,9.3
17031031800,5.4
17031031900,5.2
17031032100,13.5
17031040100,10.8
17031040201,5.9
17031040202,8.2
17031040300,6.3
17031040401,7.4
17031040402,4.9
17031040600,13.2
17031040700,7.7
17031040800,3.6
17031040900,16
17031050100,10.2
17031050200,9
17031050300,4.8
17031050500,10.8
17031050600,8.4
17031050700,5
17031050800,3.9
17031050900,19
17031051000,9.4
17031051100,15.5
17031051200,8.6
17031051300,6.4
17031051400,43.9
17031060100,6.6
17031060200,5.3
17031060300,3.2
17031060400,6.7
17031060500,6.2
17031060800,12.2
17031060900,9.1
17031061000,6.5
17031061100,16.9
17031061200,15.4
17031061500,8.9
17031061800,5.2
17031061901,8.9
17031061902,9.4
17031062000,6.5
17031062100,9.6
17031062200,11
17031062300,3.1
17031062400,10
17031062500,9.5
17031062600,2.6
17031062700,14.5
17031062800,10.5
17031062900,8.8
17031063000,5
17031063100,1.4
17031063200,5.7
17031063301,3.9
17031063302,11.4
17031063303,15.7
17031063400,14.3
17031070101,11.8
17031070102,10
17031070103,9.4
17031070200,8.4
17031070300,10.4
17031070400,4.4
17031070500,4.8
17031070600,11.6
17031070700,17.7
17031071000,10.5
17031071100,2.1
17031071200,3.1
17031071300,7.4
17031071400,8.2
17031071500,7.7
17031071600,10.7
17031071700,6.9
17031071800,0
17031080100,14.3
17031080201,14.1
17031080202,18.5
17031080300,3.2
17031080400,7
17031081000,19.2
17031081100,13.5
17031081201,23.1
17031081202,22.3
17031081300,21.2
17031081401,16.8
17031081402,24.6
17031081403,15.2
17031081500,27
17031081600,14.9
17031081700,14
17031081800,4.6
17031081900,56.9
17031090100,4.5
17031090200,6.8
17031090300,8.5
17031100100,10.2
17031100200,4.4
17031100300,8.2
17031100400,1.7
17031100500,1.9
17031100600,4.4
17031100700,7.1
17031110100,10.5
17031110200,4.1
17031110300,3
17031110400,8.2
17031110501,6.1
17031110502,7.4
17031120100,4.6
17031120200,0.4
17031120300,4.1
17031120400,5.4
17031130100,4.5
17031130200,2.2
17031130300,8.3
17031140100,10.4
17031140200,12.4
17031140301,16.5
17031140302,10.8
17031140400,6
17031140500,6.2
17031140601,4.6
17031140602,12.2
17031140701,7.9
