GEOID,work_travel_time_2017
17031010100,80340
17031010201,112215
17031010202,36230
17031010300,117475
17031010400,77680
17031010501,83705
17031010502,59705
17031010503,33995
17031010600,150420
17031010701,66420
17031010702,107255
17031020100,52230
17031020200,91215
17031020301,56295
17031020302,70765
17031020400,75220
17031020500,89465
17031020601,67415
17031020602,62510
17031020701,24440
17031020702,102010
17031020801,101720
17031020802,116350
17031020901,101540
17031020902,67090
17031030101,71620
17031030102,57220
17031030103,35840
17031030104,45800
17031030200,115155
17031030300,60845
17031030400,54520
17031030500,160930
17031030601,79380
17031030603,43425
17031030604,62180
17031030701,35865
17031030702,19670
17031030703,55885
17031030706,74390
17031030800,82260
17031030900,62600
17031031000,90845
17031031100,117755
17031031200,100235
17031031300,155080
17031031400,98585
17031031501,56830
17031031502,76455
17031031700,145040
17031031800,44200
17031031900,53700
17031032100,155375
17031040100,72790
17031040201,148480
17031040202,132430
17031040300,54905
17031040401,69500
17031040402,120295
17031040600,60340
17031040700,68630
17031040800,38010
17031040900,47915
17031050100,57120
17031050200,83655
17031050300,48900
17031050500,124340
17031050600,51735
17031050700,34490
17031050800,31885
17031050900,27895
17031051000,36065
17031051100,30200
17031051200,31350
17031051300,58465
17031051400,34385
17031060100,57890
17031060200,57030
17031060300,73320
17031060400,92980
17031060500,23260
17031060800,116380
17031060900,195305
17031061000,50150
17031061100,38820
17031061200,50475
17031061500,45335
17031061800,33425
17031061901,83815
17031061902,77875
17031062000,71880
17031062100,83885
17031062200,67740
17031062300,37825
17031062400,31100
17031062500,38695
17031062600,46590
17031062700,49565
17031062800,85470
17031062900,93515
17031063000,70780
17031063100,56745
17031063200,146295
17031063301,62375
17031063302,107075
17031063303,19250
17031063400,60095
17031070101,77940
17031070102,69980
17031070103,39075
17031070200,96550
17031070300,75630
17031070400,57130
17031070500,58120
17031070600,66055
17031070700,82930
17031071000,45075
17031071100,54360
17031071200,35540
17031071300,64210
17031071400,82470
17031071500,127070
17031071600,21585
17031071700,27945
17031071800,38930
17031080100,126560
17031080201,69695
17031080202,54825
17031080300,98075
17031080400,58330
17031081000,97645
17031081100,77695
17031081201,61800
17031081202,38875
17031081300,54430
17031081401,26815
17031081402,69880
17031081403,121330
17031081500,67365
17031081600,63940
17031081700,60735
17031081800,167685
17031081900,16380
17031090100,52715
17031090200,123150
17031090300,22120
17031100100,80935
17031100200,122100
17031100300,74690
17031100400,47825
17031100500,75900
17031100600,83535
17031100700,80970
17031110100,75510
17031110200,45455
17031110300,90695
17031110400,82580
17031110501,103535
17031110502,65285
17031120100,56270
17031120200,69680
17031120300,97445
17031120400,59700
17031130100,52430
17031130200,26165
17031130300,81825
17031140100,62210
17031140200,114695
17031140301,44890
17031140302,70480
17031140400,132780
17031140500,58315
17031140601,46020
17031140602,108285
17031140701,51535
17031140702,123180
17031140800,149960
17031150200,156760
17031150300,155205
17031150401,90150
17031150402,73260
17031150501,73165
17031150502,64975
17031150600,78510
17031150700,75700
17031150800,102670
17031151001,47940
17031151002,80675
17031151100,111575
17031151200,65595
17031160100,41765
17031160200,55120
17031160300,74010
17031160400,73830
17031160501,70710
17031160502,64450
17031160601,71300
17031160602,72530
17031160700,115885
17031160800,90230
17031160900,45055
17031161000,33290
17031161100,32230
17031161200,50475
17031161300,63360
17031170100,26435
17031170200,81365
17031170300,101170
17031170400,72670
17031170500,105670
17031170600,39355
17031170700,54515
17031170800,84585
17031170900,34990
17031171000,141735
17031171100,73215
17031180100,117165
17031190100,42875
17031190200,88725
17031190300,96600
17031190401,71625
17031190402,100230
