,GEOID,grocery_stores_count
0,17031010100,6
1,17031010201,8
2,17031010202,6
3,17031010300,6
4,17031010400,9
5,17031010501,6
6,17031010502,6
7,17031010503,9
8,17031010600,9
9,17031010701,8
10,17031010702,6
11,17031020100,2
12,17031020200,2
13,17031020301,2
14,17031020302,2
15,17031020400,2
16,17031020500,14
17,17031020601,5
18,17031020602,5
19,17031020701,3
20,17031020702,5
21,17031020801,3
22,17031020802,5
23,17031020901,3
24,17031020902,6
25,17031030101,3
26,17031030102,3
27,17031030103,3
28,17031030104,3
29,17031030200,9
30,17031030300,3
31,17031030400,3
32,17031030500,3
33,17031030601,3
34,17031030603,3
35,17031030604,3
36,17031030701,12
37,17031030702,9
38,17031030703,9
39,17031030706,12
40,17031030800,12
41,17031030900,12
42,17031031000,9
43,17031031100,9
44,17031031200,9
45,17031031300,9
46,17031031400,14
47,17031031501,9
48,17031031502,14
49,17031031700,14
50,17031031800,9
51,17031031900,14
52,17031032100,5
53,17031040100,19
54,17031040201,4
55,17031040202,7
56,17031040300,4
57,17031040401,4
58,17031040402,13
59,17031040600,4
60,17031040700,4
61,17031040800,4
62,17031040900,13
63,17031050100,14
64,17031050200,9
65,17031050300,9
66,17031050500,9
67,17031050600,20
68,17031050700,20
69,17031050800,9
70,17031050900,9
71,17031051000,9
72,17031051100,9
73,17031051200,15
74,17031051300,26
75,17031051400,23
76,17031060100,5
77,17031060200,5
78,17031060300,5
79,17031060400,5
80,17031060500,5
81,17031060800,5
82,17031060900,11
83,17031061000,5
84,17031061100,5
85,17031061200,5
86,17031061500,11
87,17031061800,11
88,17031061901,6
89,17031061902,6
90,17031062000,6
91,17031062100,6
92,17031062200,6
93,17031062300,6
94,17031062400,6
95,17031062500,6
96,17031062600,17
97,17031062700,17
98,17031062800,17
99,17031062900,17
100,17031063000,17
101,17031063100,6
102,17031063200,6
103,17031063301,17
104,17031063302,17
105,17031063303,17
106,17031063400,17
107,17031070101,11
108,17031070102,11
109,17031070103,11
110,17031070200,11
111,17031070300,11
112,17031070400,11
113,17031070500,11
114,17031070600,11
115,17031070700,25
116,17031071000,11
117,17031071100,11
118,17031071200,11
119,17031071300,11
120,17031071400,11
121,17031071500,18
122,17031071600,11
123,17031071700,18
124,17031071800,18
125,17031080100,7
126,17031080201,7
127,17031080202,7
128,17031080300,7
129,17031080400,7
130,17031081000,9
131,17031081100,9
132,17031081201,11
133,17031081202,11
134,17031081300,4
135,17031081401,4
136,17031081402,4
137,17031081403,4
138,17031081500,6
139,17031081600,2
140,17031081700,9
141,17031081800,9
142,17031081900,9
143,17031090100,1
144,17031090200,1
145,17031090300,1
146,17031100100,3
147,17031100200,4
148,17031100300,6
149,17031100400,1
150,17031100500,3
151,17031100600,7
152,17031100700,7
153,17031110100,8
154,17031110200,8
155,17031110300,5
156,17031110400,5
157,17031110501,5
158,17031110502,5
159,17031120100,3
160,17031120200,3
161,17031120300,6
162,17031120400,8
163,17031130100,6
164,17031130200,8
165,17031130300,3
166,17031140100,4
167,17031140200,4
168,17031140301,9
169,17031140302,9
170,17031140400,5
171,17031140500,8
172,17031140601,18
173,17031140602,13
174,17031140701,4
175,17031140702,13
176,17031140800,13
177,17031150200,8
178,17031150300,13
179,17031150401,10
180,17031150402,5
181,17031150501,10
182,17031150502,10
183,17031150600,5
184,17031150700,8
