,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,31/1/2010,28/2/2010,31/3/2010,30/4/2010,31/5/2010,30/6/2010,31/7/2010,31/8/2010,30/9/2010,31/10/2010,30/11/2010,31/12/2010,31/1/2011,28/2/2011,31/3/2011,30/4/2011,31/5/2011,30/6/2011,31/7/2011,31/8/2011,30/9/2011,31/10/2011,30/11/2011,31/12/2011,31/1/2012,29/2/2012,31/3/2012,30/4/2012,31/5/2012,30/6/2012,31/7/2012,31/8/2012,30/9/2012,31/10/2012,30/11/2012,31/12/2012,31/1/2013,28/2/2013,31/3/2013,30/4/2013,31/5/2013,30/6/2013,31/7/2013,31/8/2013,30/9/2013,31/10/2013,30/11/2013,31/12/2013,31/1/2014,28/2/2014,31/3/2014,30/4/2014,31/5/2014,30/6/2014,31/7/2014,31/8/2014,30/9/2014,31/10/2014,30/11/2014,31/12/2014,31/1/2015,28/2/2015,31/3/2015,30/4/2015,31/5/2015,30/6/2015,31/7/2015,31/8/2015,30/9/2015,31/10/2015,30/11/2015,31/12/2015,31/1/2016,29/2/2016,31/3/2016,30/4/2016,31/5/2016,30/6/2016,31/7/2016,31/8/2016,30/9/2016,31/10/2016,30/11/2016,31/12/2016,31/1/2017,28/2/2017,31/3/2017,30/4/2017,31/5/2017,30/6/2017,31/7/2017,31/8/2017,30/9/2017,31/10/2017,30/11/2017,31/12/2017,31/1/2018,28/2/2018,31/3/2018,30/4/2018,31/5/2018,30/6/2018,31/7/2018,31/8/2018,30/9/2018,31/10/2018,30/11/2018,31/12/2018,31/1/2019,28/2/2019,31/3/2019,30/4/2019,31/5/2019,30/6/2019,31/7/2019,31/8/2019,30/9/2019,31/10/2019,30/11/2019,31/12/2019,31/1/2020,change,change_perc
1,84654,1,60657,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,427929,430502,428300,431808,430657,433596,427980,425198,419067,415385,409915,405815,403455,401954,402323,401378,402450,401538,403243,401964,400809,396025,395583,391311,389504,382436,383943,384302,387103,386682,384356,384133,383109,386618,388126,389336,392864,397331,402098,406272,410583,416423,420550,424709,426837,433669,436174,441186,442203,447324,449402,449620,449999,451155,450794,448233,448338,449226,450593,451643,452754,455050,457205,460565,462551,461837,460748,459593,458488,456838,455528,457392,460649,467728,472142,474501,473646,472910,474097,474860,475555,475972,478413,479879,482481,484221,488215,489841,490169,488397,487102,486632,487520,485975,484962,485798,491123,495598,496341,495057,493976,493552,492661,491738,492142,492666,494573,495639,494132,492308,490443,490347,489356,488303,488062,487091,486296,484816,484164,483685,483831,0.13063382,13.06338201
4,84616,4,60614,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,543934,545812,541652,545673,543697,547537,539623,536052,527460,522900,515890,509650,505583,501906,502435,501706,504689,504191,506852,505948,505094,498648,497405,492001,490319,481561,484300,485691,490504,490314,487316,486857,485015,489272,490921,493104,498371,504483,510694,515894,522029,530512,536355,541545,543965,551779,554109,559408,560884,567928,571026,571063,571843,574414,575429,573039,573302,574554,576522,578617,580595,584422,587914,593597,597123,597208,596786,596323,596057,594950,594355,596885,601025,609533,614874,617493,615476,613960,614110,614507,614557,614940,618055,619938,623217,625672,630957,634095,635055,633323,631682,630458,631354,628519,626625,627084,633558,639669,640738,639342,637499,636675,635550,634462,635221,635936,638341,639678,636974,634877,632677,633399,631942,630115,629103,628109,627389,626334,625589,624759,624636,0.148367265,14.83672651
9,84640,9,60640,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,283836,285321,283617,286023,284910,286343,280973,278387,273640,270831,266595,262007,258665,255808,256206,255293,255612,253796,253292,251510,249097,244634,241129,237101,235027,231558,231493,231136,231659,230841,229230,228107,226700,227765,228670,230103,231942,235029,237477,239699,241370,244254,247158,250171,251753,255564,256941,259409,260173,262865,265333,266442,268188,269150,269068,267498,267580,267809,268556,269453,270721,272365,273500,275051,275905,275415,275020,274360,274127,273423,273050,274111,275815,279297,281215,282541,282548,282792,283537,284286,285097,286125,288032,289809,292501,294221,296798,297787,298289,297723,297351,297027,297758,297049,297110,297664,301377,304352,304990,303924,303336,303694,304121,303996,304613,305090,307105,308166,306535,304548,302749,303769,304011,304381,304601,304994,304976,304639,304453,304483,304706,0.073528376,7.352837554
17,84646,18,60647,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,369703,371751,369522,372063,370820,373424,368020,364885,358956,355305,350868,346603,343487,339693,339459,338641,338917,336561,337000,335125,334317,330595,329879,325053,321591,315662,316582,317140,319753,319814,317904,317677,317712,322049,323903,325485,329739,335451,340621,344088,347989,353293,359362,364586,367935,373446,376460,381549,382012,385165,386025,387024,389623,393238,395251,395006,396900,398313,399616,401150,404477,408642,411460,414571,416249,415733,415141,414251,413398,412099,411821,414543,418632,425738,430591,434391,434713,436254,437519,439918,440936,442957,446343,447492,449331,449805,452668,453188,453115,451979,451166,450129,450570,449160,448621,450092,455399,460084,460702,459240,457801,457118,456169,455845,456793,457815,459991,461954,461817,460821,458989,458799,457209,456221,455957,456139,456352,455610,456155,456369,457375,0.237141706,23.71417056
27,84620,28,60618,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,394996,395503,391600,395497,394388,398032,392520,390392,384567,381093,376102,370818,366844,362439,362396,361194,362160,360515,362293,360935,359986,355696,355215,351210,347999,341858,342530,344470,347970,349734,348991,349063,347834,350535,351785,353845,357228,362504,366935,372077,377836,385110,392032,397692,402412,408091,411045,415219,416505,419869,421234,421405,424395,426899,427845,426052,427200,429244,429936,431252,433011,436909,439117,441402,441681,440058,439444,438353,437423,435730,435416,438243,442467,450173,455020,458360,458638,459611,460584,462336,463880,467255,471660,473887,477121,478241,482004,481907,480001,476658,474549,474411,475680,475801,477147,479986,485960,490319,490663,488753,486155,484380,482133,480992,481094,481522,483094,484679,484125,483331,481623,481296,479146,477468,476078,475013,473788,472316,471583,471513,473211,0.198014663,19.80146634
50,84615,51,60613,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,312652,313696,311503,313947,312804,314894,310286,308501,304030,301564,296937,292778,289811,287289,287181,285532,285711,283474,283583,281976,281356,277973,276780,273809,272747,269127,269843,270271,272271,271999,270135,268677,266688,267366,267711,268350,270549,273807,277027,279966,282524,285938,288544,291514,293510,298894,301117,304638,305257,308151,309859,309761,309957,309770,309490,307884,307756,307330,307396,308065,309396,311071,312682,314792,316402,316144,316045,315606,315431,314174,313315,314104,316335,321029,323939,325372,324654,324107,324686,325450,326173,326812,328670,330666,333781,335828,338940,340262,341096,340576,340263,340228,341141,340445,340353,341196,345109,348240,348576,347090,345478,344568,343882,343143,343367,343468,345140,346122,345514,344437,343361,343864,343635,343609,343623,343528,342908,341793,340890,340336,340486,0.089025498,8.9025498
56,84627,57,60625,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,335839,337046,333368,336703,334796,338592,332972,331872,326097,323410,317637,312723,308641,305174,304315,302620,302977,301843,302557,301248,299034,294899,292412,287942,285324,281103,283250,284715,287171,286914,285361,284590,283894,285570,286623,288255,291319,295369,298661,302346,306298,310364,313859,316677,319570,323667,325378,328392,329455,332695,334703,336535,339645,341844,342887,340966,341173,341206,341967,342563,343159,344558,345878,347575,348746,347872,348355,348040,348592,348385,349161,351638,354770,359978,363333,365324,365356,365273,366005,366893,368045,369858,372789,373607,375517,375964,379404,380251,381137,380415,380366,380007,381157,382269,384445,387434,392002,395819,397053,395859,393689,391477,389643,387767,387134,386374,387481,387578,387011,386384,385560,384504,382322,381259,380624,380542,379989,379830,380114,381458,383145,0.140859162,14.08591617
62,84630,63,60629,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,166072,165188,162367,163588,163222,164576,161434,159605,157054,155319,152720,149527,147381,144836,143460,140651,139683,137361,137322,136213,135605,133308,131603,128033,126624,123903,125296,125234,125784,124297,122520,121252,120539,121356,122539,123175,124145,124587,124677,125053,125548,127634,129447,131469,132344,134500,135164,136954,137522,139931,141606,142163,142775,143789,145735,146895,148619,149472,150034,150195,150535,151067,151562,152423,153371,153986,155286,156607,157509,157700,158178,159609,160770,162981,164421,166258,167336,168922,170643,171712,172417,173039,174339,175885,177441,179290,181423,183191,184193,184266,184453,184906,186012,186673,187621,189202,191608,193164,192967,192613,193104,193916,194511,194721,195940,197174,198772,200347,200828,201743,202333,204379,205396,206196,205698,205089,204342,204180,204484,204958,205821,0.239347994,23.93479936
69,84612,70,60610,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,394296,396163,393949,395641,394154,395478,389056,385544,379969,377205,373451,370105,367864,365654,364758,363957,364756,364089,364557,363186,361877,356889,355426,351135,349481,343244,344889,345794,348875,348459,347438,347977,348348,351564,352497,353703,356424,360612,364355,369125,373850,380528,384809,389129,391335,396439,398220,402014,403080,407925,410515,411717,412951,415135,416400,416156,416656,417827,418108,418726,418917,420573,422449,425399,427138,427253,427119,426648,425514,423551,422105,422605,424523,429748,433412,435822,435122,434348,434544,435190,436184,437053,439481,440451,442478,443780,447397,448369,448137,446035,445167,444384,445218,444420,444488,445634,449169,452314,452800,451684,450084,448237,446690,444934,444643,443762,444122,443404,440743,438383,435851,435384,435066,435054,435268,433856,432770,432093,431902,431801,431296,0.093838132,9.383813176
91,84621,92,60619,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,137520,137091,135264,136083,136519,138282,136880,135973,134396,134967,135315,134784,133104,131077,129934,128289,127309,125183,125172,124280,123987,121632,119982,117088,115870,113728,113601,112412,112909,111532,110326,106725,105089,103805,104298,102594,102443,101853,102965,103670,104877,106944,107985,109203,108068,108473,106720,106792,106132,106618,107419,108363,110883,112175,113505,114152,116066,117112,117906,117830,117421,117316,117255,117535,117401,117813,117929,117532,117081,115865,115732,115841,117772,120134,123082,125611,127511,128723,130746,132621,134411,134932,136613,138179,140979,143140,145139,145405,145352,145423,146096,147590,148912,150265,149714,150479,150350,151854,151920,152614,152060,151465,151677,153258,156382,158507,159757,160592,161062,163043,163599,166021,165884,166134,164198,163407,162538,162227,161944,161533,161643,0.175414485,17.54144852
