,GEOID,hospitals_count
0,17031030701,3
1,17031030702,3
2,17031030703,3
3,17031030706,3
4,17031030800,3
5,17031030900,3
6,17031031000,3
7,17031031100,3
8,17031031200,3
9,17031031300,3
10,17031031400,4
11,17031031501,3
12,17031031502,4
13,17031031700,4
14,17031031800,3
15,17031031900,4
16,17031032100,1
17,17031040100,4
18,17031040201,1
19,17031040202,1
20,17031040300,1
21,17031040401,1
22,17031040402,4
23,17031040600,1
24,17031040700,1
25,17031040800,1
26,17031040900,2
27,17031050100,2
28,17031050200,1
29,17031050300,1
30,17031050500,1
31,17031050600,4
32,17031050700,4
33,17031050800,1
34,17031050900,1
35,17031051000,1
36,17031051100,1
37,17031051200,3
38,17031051300,3
39,17031051400,1
40,17031060100,1
41,17031060200,1
42,17031060300,1
43,17031060400,1
44,17031060500,1
45,17031060800,1
46,17031060900,3
47,17031061000,1
48,17031061100,1
49,17031061200,1
50,17031061500,3
51,17031061800,3
52,17031061901,2
53,17031061902,2
54,17031062000,2
55,17031062100,2
56,17031062200,2
57,17031062300,2
58,17031062400,2
59,17031062500,2
60,17031062600,2
61,17031062700,2
62,17031062800,2
63,17031062900,2
64,17031063000,2
65,17031063100,2
66,17031063200,2
67,17031063301,2
68,17031063302,2
69,17031063303,2
70,17031063400,2
71,17031081201,3
72,17031081202,3
73,17031081300,3
74,17031081401,3
75,17031081402,3
76,17031081403,3
77,17031081500,3
78,17031090100,2
79,17031090200,2
80,17031090300,2
81,17031100200,2
82,17031100300,2
83,17031100400,2
84,17031100500,2
85,17031140100,1
86,17031140200,1
87,17031140301,1
88,17031140302,1
89,17031140500,1
90,17031140601,2
91,17031140602,2
92,17031140701,1
93,17031140702,2
94,17031140800,2
95,17031150200,1
96,17031150300,2
97,17031150401,1
98,17031150402,1
99,17031150501,1
100,17031150502,1
101,17031150600,1
102,17031150700,2
103,17031150800,1
104,17031151001,1
105,17031151002,1
106,17031151100,2
107,17031151200,1
108,17031160100,1
109,17031160200,1
110,17031160300,2
111,17031160400,2
112,17031160501,2
113,17031160502,1
114,17031160601,1
115,17031160602,1
116,17031160700,1
117,17031160800,1
118,17031160900,2
119,17031161000,2
120,17031161100,1
121,17031161200,1
122,17031161300,1
123,17031170100,1
124,17031170200,1
125,17031170300,1
126,17031170400,1
127,17031170500,1
128,17031170600,1
129,17031170700,1
130,17031170800,1
131,17031170900,2
132,17031171000,1
133,17031171100,1
134,17031180100,2
135,17031190100,1
136,17031190200,1
137,17031190300,2
138,17031190401,1
139,17031190402,1
140,17031200100,1
141,17031210100,1
142,17031210400,1
143,17031210501,2
144,17031210502,2
145,17031210601,1
146,17031210602,1
147,17031210700,1
148,17031210800,1
149,17031210900,1
150,17031231500,3
151,17031240200,3
152,17031240300,3
153,17031240900,3
154,17031241000,3
155,17031241100,3
156,17031241200,3
157,17031241300,3
158,17031241400,3
159,17031241500,3
160,17031241600,3
161,17031242000,3
162,17031242100,3
163,17031242200,3
164,17031242300,3
165,17031242400,3
166,17031242500,3
167,17031242600,3
168,17031242700,3
169,17031242800,7
170,17031242900,7
171,17031243000,7
172,17031243100,3
173,17031243200,3
174,17031243300,3
175,17031250500,1
176,17031251400,2
177,17031251500,2
178,17031251600,2
179,17031251700,2
180,17031251800,2
181,17031251900,2
182,17031252000,2
183,17031252101,2
184,17031252102,2
185,17031252201,2
186,17031252202,5
187,17031260100,3
188,17031260200,3
189,17031260300,3
190,17031260400,3
191,17031260500,3
192,17031260600,3
193,17031260700,3
194,17031260800,3
195,17031260900,3
196,17031261000,3
197,17031270500,3
198,17031271200,4
199,17031271300,7
200,17031271400,3
201,17031271500,3
202,17031271800,4
203,17031280400,4
204,17031280800,4
205,17031280900,4
206,17031282700,6
207,17031282800,6
208,17031283200,2
209,17031283800,2
210,17031290900,4
211,17031291200,4
212,17031291600,2
213,17031292200,1
214,17031292400,1
215,17031292500,1
216,17031300500,1
217,17031300600,1
218,17031300700,1
219,17031300800,1
220,17031300900,1
221,17031301100,3
222,17031301200,2
223,17031301600,1
224,17031301701,1
225,17031301702,1
226,17031301801,1
227,17031301802,1
228,17031301803,1
229,17031310200,3
230,17031310300,2
231,17031310400,2
232,17031310500,2
233,17031310600,2
234,17031310700,2
235,17031310800,2
236,17031310900,2
237,17031330100,1
238,17031330200,1
239,17031340300,1
240,17031340400,1
241,17031340500,1
242,17031340600,1
243,17031350100,1
244,17031350400,1
245,17031351000,1
246,17031351100,1
247,17031351400,1
248,17031351500,1
249,17031381200,1
250,17031381400,1
251,17031381800,1
252,17031381900,1
253,17031390400,1
254,17031390500,1
255,17031390600,1
256,17031390700,1
257,17031400300,2
258,17031400400,1
259,17031400500,2
260,17031400800,2
261,17031410100,1
262,17031410200,1
263,17031410500,1
264,17031410600,1
265,17031410700,1
266,17031410800,2
267,17031410900,1
268,17031411000,2
269,17031411100,2
270,17031411200,2
271,17031420100,1
272,17031420200,1
273,17031420300,1
274,17031420400,1
275,17031420500,1
276,17031420600,1
277,17031420700,1
278,17031420800,1
279,17031421200,1
280,17031430101,2
281,17031430102,2
282,17031430200,2
283,17031430300,3
284,17031430400,2
285,17031430500,2
286,17031430600,2
287,17031430700,2
288,17031430800,2
289,17031430900,2
290,17031431200,2
291,17031431301,2
292,17031431302,2
293,17031431400,2
294,17031450300,2
295,17031460100,4
296,17031460200,2
297,17031460301,2
298,17031460302,4
299,17031460400,4
