,census_tract,median_household_income_in_past_12_months
0,101,"32,474"
1,102.01,"45,639"
2,102.02,"41,486"
3,103,"41,250"
4,104,"39,700"
5,105.01,"39,730"
6,105.02,"39,388"
7,105.03,"18,516"
8,106,"50,882"
9,107.01,"60,167"
10,107.02,"44,583"
11,201,"48,841"
12,202,"94,115"
13,203.01,"56,973"
14,203.02,"77,500"
15,204,"65,917"
16,205,"44,926"
17,206.01,"38,177"
18,206.02,"57,045"
19,207.01,"97,250"
20,207.02,"49,167"
21,208.01,"54,052"
22,208.02,"46,219"
23,209.01,"52,254"
24,209.02,"39,484"
25,301.01,"48,207"
26,301.02,"42,123"
27,301.03,"57,985"
28,301.04,"35,988"
29,302,"74,434"
30,303,"41,109"
31,304,"57,500"
32,305,"90,955"
33,306.01,"34,861"
34,306.03,"42,059"
35,306.04,"47,500"
36,307.01,"39,464"
37,307.02,"58,299"
38,307.03,"43,553"
39,307.06,"43,512"
40,308,"95,688"
41,309,"107,148"
42,310,"82,902"
43,311,"78,822"
44,312,"41,389"
45,313,"39,064"
46,314,"70,237"
47,315.01,"36,917"
48,315.02,"28,403"
49,317,"56,448"
50,318,"84,758"
51,319,"69,265"
52,321,"64,702"
53,401,"96,467"
54,402.01,"73,475"
55,402.02,"47,367"
56,403,"88,125"
57,404.01,"105,121"
58,404.02,"87,479"
59,406,"90,167"
60,407,"86,125"
61,408,"85,577"
62,409,"77,250"
63,501,"113,352"
64,502,"94,821"
65,503,"79,892"
66,505,"162,616"
67,506,"116,595"
68,507,"134,583"
69,508,"116,488"
70,509,"103,750"
71,510,"126,250"
72,511,"145,000"
73,512,"141,944"
74,513,"188,697"
75,514,"123,214"
76,601,"94,800"
77,602,"83,598"
78,603,"112,574"
79,604,"132,143"
80,605,"38,571"
81,608,"87,552"
82,609,"63,610"
83,610,"110,739"
84,611,"117,500"
85,612,"138,000"
86,615,"123,409"
87,618,"72,308"
88,619.01,"65,882"
89,619.02,"76,792"
90,620,"77,222"
91,621,"91,438"
92,622,"128,102"
93,623,"140,556"
94,624,"133,897"
95,625,"150,240"
96,626,"164,286"
97,627,"172,850"
98,628,"156,875"
99,629,"131,900"
100,630,"95,897"
101,631,"90,978"
102,632,"72,457"
103,633.01,"60,361"
104,633.02,"81,638"
105,633.03,"92,250"
106,634,"105,735"
107,701.01,"75,804"
108,701.02,"71,373"
109,701.03,"61,118"
110,702,"91,723"
111,703,"145,855"
112,704,"114,902"
113,705,"152,850"
114,706,"170,750"
115,707,"121,298"
116,710,"147,552"
117,711,"160,662"
118,712,"114,286"
119,713,"122,621"
120,714,"117,150"
121,715,"99,510"
122,716,"147,031"
123,717,"187,614"
124,718,"131,734"
125,801,"125,880"
126,802.01,"91,961"
127,802.02,"86,419"
128,803,"138,173"
129,804,"41,250"
130,810,"64,640"
131,811,"77,605"
132,812.01,"94,288"
133,812.02,"136,010"
134,813,"86,207"
135,814.01,"79,960"
136,814.02,"119,387"
137,814.03,"115,642"
138,815,"107,847"
139,816,"130,673"
140,817,"101,758"
141,818,"149,135"
142,819,"194,167"
143,901,"98,446"
144,902,"108,583"
145,903,"108,563"
146,1001,"89,427"
147,1002,"80,817"
148,1003,"79,138"
149,1004,"99,710"
150,1005,"77,945"
151,1006,"77,813"
152,1007,"85,953"
153,1101,"77,813"
154,1102,"85,474"
155,1103,"82,634"
156,1104,"68,996"
157,1105.01,"84,273"
158,1105.02,"62,155"
159,1201,"140,417"
160,1202,"123,594"
161,1203,"127,473"
162,1204,"99,306"
163,1301,"47,875"
164,1302,"75,875"
165,1303,"58,824"
166,1401,"54,394"
167,1402,"46,761"
168,1403.01,"50,667"
169,1403.02,"75,789"
170,1404,"69,203"
171,1405,"66,818"
172,1406.01,"43,988"
173,1406.02,"67,237"
174,1407.01,"71,125"
175,1407.02,"57,708"
176,1408,"73,875"
177,1502,"67,623"
178,1503,"77,877"
179,1504.01,"63,125"
180,1504.02,"87,708"
181,1505.01,"75,956"
182,1505.02,"63,813"
183,1506,"67,957"
184,1507,"75,545"
185,1508,"59,919"
186,1510.01,"65,417"
187,1510.02,"62,483"
188,1511,"64,063"
189,1512,"76,885"
190,1601,"68,750"
191,1602,"85,216"
192,1603,"57,568"
193,1604,"61,815"
194,1605.01,"60,349"
195,1605.02,"56,875"
196,1606.01,"69,375"
197,1606.02,"66,776"
198,1607,"72,317"
199,1608,"63,007"
200,1609,"86,060"
201,1610,"88,750"
202,1611,"143,438"
203,1612,"67,903"
204,1613,"51,578"
205,1701,"54,625"
206,1702,"70,625"
207,1703,"67,298"
208,1704,"63,542"
209,1705,"88,684"
210,1706,"69,271"
211,1707,"65,233"
212,1708,"62,955"
