GEOID,perc_below_poverty_2018
17031010100,35.8
17031010201,36.8
17031010202,18.5
17031010300,16.1
17031010400,19.1
17031010501,20.7
17031010502,30
17031010503,48
17031010600,24.4
17031010701,20.8
17031010702,24.2
17031020100,14.2
17031020200,13.5
17031020301,13.6
17031020302,22.8
17031020400,17.9
17031020500,26.3
17031020601,24.3
17031020602,22
17031020701,6.6
17031020702,22.1
17031020801,16.5
17031020802,26.2
17031020901,28.9
17031020902,26.7
17031030101,14.7
17031030102,16.2
17031030103,16.6
17031030104,27.9
17031030200,14.3
17031030300,24
17031030400,15.9
17031030500,5.5
17031030601,17.6
17031030603,23.9
17031030604,24.4
17031030701,26.3
17031030702,13.1
17031030703,25.1
17031030706,13.3
17031030800,8.9
17031030900,9.4
17031031000,6.8
17031031100,12.3
17031031200,26.9
17031031300,22.1
17031031400,10.6
17031031501,46.9
17031031502,32.3
17031031700,24
17031031800,7.1
17031031900,11.4
17031032100,23.7
17031040100,11.4
17031040201,8.1
17031040202,18.5
17031040300,1.4
17031040401,3.7
17031040402,6.5
17031040600,3.8
17031040700,6.9
17031040800,5.9
17031040900,8.4
17031050100,4.9
17031050200,3.3
17031050300,9.7
17031050500,3
17031050600,8.1
17031050700,3.5
17031050800,4.4
17031050900,4.8
17031051000,5.4
17031051100,3.3
17031051200,4.6
17031051300,2.4
17031051400,7.9
17031060100,6.4
17031060200,15.3
17031060300,1.1
17031060400,10.7
17031060500,22.6
17031060800,4.9
17031060900,8.9
17031061000,14.4
17031061100,6.7
17031061200,8.2
17031061500,6.6
17031061800,12.5
17031061901,10.2
17031061902,11.9
17031062000,5.8
17031062100,14.8
17031062200,6.7
17031062300,4.2
17031062400,3.7
17031062500,13
17031062600,1.6
17031062700,4.3
17031062800,5.1
17031062900,7.4
17031063000,8.1
17031063100,8
17031063200,8.4
17031063301,15.3
17031063302,7.3
17031063303,5.9
17031063400,5.7
17031070101,15.9
17031070102,6.6
17031070103,10.1
17031070200,9.6
17031070300,7.7
17031070400,10.2
17031070500,4.7
17031070600,4.7
17031070700,16.7
17031071000,9.5
17031071100,10.1
17031071200,8.9
17031071300,8.8
17031071400,16.4
17031071500,4.7
17031071600,8.8
17031071700,2.4
17031071800,4.6
17031080100,8.1
17031080201,1.2
17031080202,9.5
17031080300,5.2
17031080400,23
17031081000,19.9
17031081100,16.2
17031081201,6.7
17031081202,4.2
17031081300,12.3
17031081401,12.3
17031081402,11.1
17031081403,10.8
17031081500,9.7
17031081600,8
17031081700,7.2
17031081800,2.6
