,GEOID,public_schools_count
0,17031010100,7
1,17031010201,12
2,17031010202,7
3,17031010300,7
4,17031010400,13
5,17031010501,7
6,17031010502,7
7,17031010503,13
8,17031010600,13
9,17031010701,12
10,17031010702,7
11,17031020100,5
12,17031020200,5
13,17031020301,5
14,17031020302,5
15,17031020400,5
16,17031020500,24
17,17031020601,11
18,17031020602,11
19,17031020701,6
20,17031020702,11
21,17031020801,6
22,17031020802,11
23,17031020901,6
24,17031020902,12
25,17031030101,6
26,17031030102,6
27,17031030103,6
28,17031030104,6
29,17031030200,13
30,17031030300,6
31,17031030400,6
32,17031030500,6
33,17031030601,6
34,17031030603,6
35,17031030604,6
36,17031030701,11
37,17031030702,5
38,17031030703,5
39,17031030706,11
40,17031030800,11
41,17031030900,11
42,17031031000,5
43,17031031100,5
44,17031031200,5
45,17031031300,5
46,17031031400,12
47,17031031501,5
48,17031031502,12
49,17031031700,12
50,17031031800,5
51,17031031900,12
52,17031032100,7
53,17031040100,31
54,17031040201,14
55,17031040202,20
56,17031040300,14
57,17031040401,14
58,17031040402,19
59,17031040600,14
60,17031040700,14
61,17031040800,14
62,17031040900,31
63,17031050100,24
64,17031050200,17
65,17031050300,17
66,17031050500,17
67,17031050600,30
68,17031050700,30
69,17031050800,17
70,17031050900,17
71,17031051000,17
72,17031051100,17
73,17031051200,23
74,17031051300,30
75,17031051400,31
76,17031060100,7
77,17031060200,7
78,17031060300,7
79,17031060400,7
80,17031060500,7
81,17031060800,7
82,17031060900,13
83,17031061000,7
84,17031061100,7
85,17031061200,7
86,17031061500,13
87,17031061800,13
88,17031061901,6
89,17031061902,6
90,17031062000,6
91,17031062100,6
92,17031062200,6
93,17031062300,6
94,17031062400,6
95,17031062500,6
96,17031062600,13
97,17031062700,13
98,17031062800,13
99,17031062900,13
100,17031063000,13
101,17031063100,6
102,17031063200,6
103,17031063301,13
104,17031063302,13
105,17031063303,13
106,17031063400,13
107,17031070101,7
108,17031070102,7
109,17031070103,7
110,17031070200,7
111,17031070300,7
112,17031070400,7
113,17031070500,7
114,17031070600,7
115,17031070700,21
116,17031071000,7
117,17031071100,7
118,17031071200,7
119,17031071300,7
120,17031071400,7
121,17031071500,14
122,17031071600,7
123,17031071700,14
124,17031071800,14
125,17031080100,7
126,17031080201,7
127,17031080202,7
128,17031080300,7
129,17031080400,7
130,17031081000,7
131,17031081100,7
132,17031081201,7
133,17031081202,7
134,17031081700,7
135,17031081800,7
136,17031081900,7
137,17031090100,8
138,17031090200,8
139,17031090300,8
140,17031100100,4
141,17031100200,12
142,17031100300,16
143,17031100400,8
144,17031100500,12
145,17031100600,8
146,17031100700,8
147,17031110100,8
148,17031110200,8
149,17031110300,4
150,17031110400,4
151,17031110501,4
