,GEOID,restaurants_count
0,17031010201,146
1,17031020200,59
2,17031020602,186
3,17031030706,137
4,17031040402,243
5,17031040800,278
6,17031051000,318
7,17031063302,411
8,17031070400,398
9,17031081100,203
10,17031081500,350
11,17031090300,71
12,17031100100,66
13,17031100500,30
14,17031130200,120
15,17031151100,175
16,17031160300,162
17,17031221200,360
18,17031241200,345
19,17031250700,82
20,17031252102,67
21,17031280100,387
22,17031282800,246
23,17031292200,160
24,17031320100,209
25,17031320400,161
26,17031351400,225
27,17031390400,53
28,17031390500,93
29,17031430200,69
30,17031440700,128
31,17031460100,148
32,17031530400,95
33,17031540102,113
34,17031550100,18
35,17031560100,201
36,17031630100,159
37,17031650500,255
38,17031670100,69
39,17031691100,41
40,17031710400,121
41,17031740100,33
42,17031820502,156
43,17031830700,238
44,17031831500,295
45,17031832300,117
46,17031834400,81
47,17031836800,54
48,17031837400,99
49,17031838200,313
50,17031839100,300
51,17031842300,292
52,17031980000,107
