GEOID,unemployment_2017
17031010100,8.1
17031010201,8.1
17031010202,7.1
17031010300,6.9
17031010400,8.7
17031010501,10.4
17031010502,4.3
17031010503,6
17031010600,11.2
17031010701,4.8
17031010702,5.5
17031020100,12.8
17031020200,7.6
17031020301,7.3
17031020302,12.6
17031020400,6.9
17031020500,12.9
17031020601,9.9
17031020602,9.7
17031020701,6.5
17031020702,8.1
17031020801,7.2
17031020802,6.7
17031020901,6
17031020902,5.7
17031030101,7.9
17031030102,6.4
17031030103,9
17031030104,13.5
17031030200,6.3
17031030300,7.6
17031030400,13.9
17031030500,2.1
17031030601,2.4
17031030603,3.2
17031030604,5.1
17031030701,7.9
17031030702,11.4
17031030703,5.4
17031030706,8.4
17031030800,2.6
17031030900,3.8
17031031000,4.9
17031031100,5.3
17031031200,4.4
17031031300,5.7
17031031400,2.9
17031031501,12.5
17031031502,11.1
17031031700,9.6
17031031800,3.1
17031031900,6.9
17031032100,6.1
17031040100,2.5
17031040201,4.1
17031040202,3
17031040300,9.9
17031040401,5.2
17031040402,2.4
17031040600,7
17031040700,4.3
17031040800,2.1
17031040900,1.2
17031050100,4.9
17031050200,3.5
17031050300,8.3
17031050500,2.5
17031050600,3.5
17031050700,1.2
17031050800,5.6
17031050900,3.5
17031051000,1.1
17031051100,0.6
17031051200,3
17031051300,3.4
17031051400,4.3
17031060100,1.4
17031060200,4.1
17031060300,3.1
17031060400,2.7
17031060500,2.7
17031060800,4.5
17031060900,5.2
17031061000,2
17031061100,1
17031061200,2.5
17031061500,3
17031061800,4.6
17031061901,4.6
17031061902,5.9
17031062000,2.3
17031062100,3.4
17031062200,4.2
17031062300,3.4
17031062400,2.9
17031062500,2
17031062600,4.8
17031062700,1.3
17031062800,1.9
17031062900,2.1
17031063000,3.6
17031063100,2.8
17031063200,2.6
17031063301,0.5
17031063302,0.6
17031063303,3.8
17031063400,1.4
17031070101,4.6
17031070102,2.9
17031070103,4.4
17031070200,2
17031070300,3.3
17031070400,0
17031070500,4
17031070600,2
17031070700,2.4
17031071000,6.5
17031071100,3.8
17031071200,1.4
17031071300,2.8
17031071400,1.9
17031071500,1.9
17031071600,7.9
17031071700,3.1
17031071800,3.2
17031080100,4.5
17031080201,6.5
17031080202,5.2
17031080300,1.9
17031080400,10.7
17031081000,3.9
17031081100,5.1
17031081201,4.4
17031081202,3.8
17031081300,4.4
17031081401,4.5
17031081402,2.7
17031081403,3.2
17031081500,2.5
17031081600,3.9
17031081700,4.3
17031081800,2.1
17031081900,1.9
17031090100,2.5
17031090200,3.5
17031090300,0.6
17031100100,10.2
17031100200,3.2
17031100300,2
17031100400,5.7
17031100500,0.7
17031100600,6.2
17031100700,5.3
17031110100,8.7
17031110200,9.1
17031110300,2.3
17031110400,6
17031110501,4.7
17031110502,5.1
17031120100,0.5
17031120200,5
17031120300,3.8
17031120400,5.6
17031130100,2.1
17031130200,6.9
17031130300,11.8
17031140100,9.3
17031140200,3.5
17031140301,5.2
17031140302,8.8
17031140400,6.2
17031140500,8.9
17031140601,9.1
17031140602,8.8
17031140701,6.5
17031140702,8.4
17031140800,5.8
17031150200,8
17031150300,3.7
17031150401,6.2
17031150402,7.6
17031150501,9.9
17031150502,9
17031150600,5.1
17031150700,5.1
17031150800,7.9
17031151001,5.9
