ZIP,TRACT
60002,17097866000
60002,17097860806
60002,17097860809
60002,17097860805
60002,17097860810
60002,17097860808
60002,17097860811
60002,17097861012
60002,17097860807
60002,17097861007
60004,17031803200
60004,17031802900
60004,17031803017
60004,17031803016
60004,17031803901
60004,17031803400
60004,17031803606
60004,17031803012
60004,17031803007
60004,17031802608
60004,17031803100
60004,17031803010
60004,17031803612
60004,17031803015
60004,17031805111
60004,17031803300
60004,17031803008
60004,17031803005
60004,17031802801
60004,17031802503
60005,17031805107
60005,17031803300
60005,17031803901
60005,17031805112
60005,17031805106
60005,17031805110
60005,17031805108
60005,17031803200
60005,17031803500
60005,17031805111
60005,17031803400
60005,17031805109
60006,17031803300
60007,17031804610
60007,17043840101
60007,17031770400
60007,17031770202
60007,17031980000
60007,17031770201
60007,17043840000
60007,17031770300
60007,17031804606
60007,17031770500
60007,17031804607
60008,17031804108
60008,17031805107
60008,17031803902
60008,17031803901
60008,17031805105
60008,17031804109
60008,17031770300
60008,17031804106
60008,17031770202
60008,17031803500
60008,17031804603
60008,17031804000
60009,17031770300
60010,17097864411
60010,17097864407
60010,17111870812
60010,17031803603
60010,17031804105
60010,17111871404
60010,17111871305
60010,17089850101
60010,17111871402
60010,17031803608
60010,17097864206
60010,17031804201
60010,17097864306
60010,17097864412
60010,17097864308
60010,17111871600
60010,17097864204
60010,17097864409
60010,17031804104
60010,17097864408
60010,17097864303
60010,17097864305
60010,17097864307
60010,17031804202
60010,17097864403
60011,17097864308
60011,17031804202
60012,17111870808
60012,17111870803
60012,17111870810
60012,17111870807
60012,17111870809
60012,17111870902
60013,17111871307
60013,17111870812
60013,17111870809
60013,17111871600
60013,17111871306
60013,17111871304
60013,17111871305
60013,17097864303
60013,17111870810
60014,17111870902
60014,17111870807
60014,17111871304
60014,17111871208
60014,17111871107
60014,17111870810
60014,17111871311
60014,17111870808
60014,17111871108
60014,17111871301
60014,17111871202
60014,17111871201
60014,17111871209
60014,17111871106
60014,17111870809
60014,17111871105
60014,17111871306
60015,17031801500
60015,17097864505
60015,17097864901
60015,17031801601
60015,17097864802
60015,17097864904
60015,17097864522
60015,17097864903
60015,17097864801
60015,17097865802
60016,17031806400
60016,17031806104
60016,17031806001
60016,17031806202
60016,17031805111
60016,17031802702
60016,17031804902
60016,17031806002
60016,17031805901
60016,17031804901
60016,17031806102
60016,17031806300
60016,17031806201
60016,17031806003
60016,17031806103
60016,17031806004
60016,17031770601
60016,17031805112
60017,17031770601
60018,17031770500
60018,17031806600
60018,17031806400
60018,17031806502
60018,17031980000
60018,17031770700
60018,17031770601
60018,17031805112
60018,17031770800
60018,17031806501
60018,17031770602
60020,17097860904
60020,17097860905
60020,17097860906
60020,17097860807
60020,17111870102
60020,17097860903
60021,17097864303
60021,17111871402
60021,17111871600
60022,17031800200
60022,17031801800
60022,17031800300
60022,17031800100
60025,17031801902
60025,17031802200
60025,17031802003
60025,17031806001
60025,17031805202
60025,17031805201
60025,17031801603
60025,17031802004
60025,17031800900
60025,17031801607
60025,17031802002
60025,17031801400
60025,17031802300
60025,17031801901
60025,17031808600
60025,17031802100
60026,17031802002
60026,17031802300
60026,17031802100
60026,17031801608
60026,17031801606
60026,17031802003
60026,17031801603
60026,17031801607
60029,17031808600
60030,17097861607
60030,17097861108
60030,17097861014
60030,17097864101
60030,17097864205
60030,17097861106
60030,17097861610
60030,17097861402
60030,17097861105
60030,17097861611
60030,17097861608
60030,17097861603
60030,17097861404
60030,17097863601
60030,17097861107
60030,17097861202
60031,17097861604
60031,17097861603
60031,17097861609
60031,17097861506
60031,17097861902
60031,17097861510
60031,17097861610
60031,17097861509
60031,17097861508
60031,17097862603
60031,17097861611
60031,17097861505
60031,17097861507
60031,17097861504
60033,17111871003
60033,17111870302
60033,17007010601
60033,17111870200
60033,17111870301
60033,17111870101
60034,17111870401
60034,17111870200
60034,17111870101
60035,17097865502
60035,17097864700
60035,17097865200
60035,17097865400
60035,17097864602
60035,17097865801
60035,17097865501
60035,17097865300
60035,17097865802
60035,17097865600
60035,17097864904
60035,17097865700
60037,17097865501
60038,17031803901
60039,17111871301
60040,17097865501
60040,17097865400
60040,17097865200
60041,17097860905
60041,17097861010
60041,17097860904
60041,17097860903
60041,17097861301
60041,17097860906
60042,17097864203
60042,17097864204
60042,17111870812
60042,17111870811
60043,17031800500
60043,17031800600
60044,17097863202
60044,17097866200
60044,17097863300
60044,17097863702
60045,17097863500
60045,17097863400
60045,17097865300
60045,17097865000
60045,17097864602
60045,17097864601
60045,17097866200
60046,17097861009
60046,17097861106
60046,17097860905
60046,17097861013
60046,17097861008
60046,17097860811
60046,17097861609
60046,17097861611
60046,17097861202
60046,17097861014
60046,17097861604
60046,17097860809
60046,17097861012
60046,17097861007
60046,17097861010
60046,17097861011
60047,17097864512
60047,17097864408
60047,17097864101
60047,17097864517
60047,17097864511
60047,17097864411
60047,17097864412
60047,17097864409
60047,17097864407
60047,17097864515
60047,17097864410
60047,17097864403
60047,17097864518
60047,17097864402
60048,17097861608
60048,17097861603
60048,17097863702
60048,17097863604
60048,17097864514
60048,17097863904
60048,17097866200
60048,17097863603
60048,17097863801
60048,17097863701
60048,17097864106
60048,17097864101
60048,17097863903
60048,17097863601
60050,17111870603
60050,17111870809
60050,17111870606
60050,17111870500
60050,17111870810
60050,17111870605
60050,17111870811
60050,17111870604
60050,17111870803
60050,17111870704
60050,17097860904
60051,17097864204
60051,17111870704
60051,17111870812
60051,17111870102
60051,17111870811
60051,17097860904
60051,17111870702
60051,17111870605
60051,17097864203
60051,17111870703
60051,17111870604
60053,17031808301
60053,17031808400
60053,17031808500
60053,17031808600
60053,17031805302
60053,17031808302
60053,17031808200
60053,17031805301
60055,17031803603
60056,17031802608
60056,17031805002
60056,17031805111
60056,17031802605
60056,17031802610
60056,17031805001
60056,17031805109
60056,17031806103
60056,17031804901
60056,17031805107
60056,17031802702
60056,17031802802
60056,17031802801
60056,17031802701
60056,17031805110
60056,17031806104
60056,17031805108
60056,17031804902
60060,17097864511
60060,17097864106
60060,17097864510
60060,17097864001
60060,17097864407
60060,17097864002
60060,17097864101
60060,17097864108
60060,17097864402
60060,17097864105
60060,17097863902
60060,17097864107
60061,17097866200
60061,17097863904
